index,y
00000,5.34432
00001,3.33390
00002,1.85029
00003,5.50347
00004,3.99268
00005,3.96965
00006,-0.29373
00007,2.17601
00008,3.14330
00009,2.13079
00010,3.57965
00011,4.46915
00012,2.23335
00013,1.25504
00014,7.10310
00015,2.74803
00016,0.92331
00017,0.47617
00018,4.16560
00019,0.50479
00020,-0.19924
00021,1.04069
00022,11.43596
00023,8.08700
00024,-1.46363
00025,7.56244
00026,6.77095
00027,-2.32816
00028,13.39093
00029,17.24856
00030,22.06344
00031,5.86714
00032,-2.78022
00033,5.59067
00034,4.72340
00035,-1.29983
00036,1.78519
00037,3.00985
00038,-2.17538
00039,11.58402
00040,35.35652
00041,5.72262
00042,6.98844
00043,14.51209
00044,13.40211
00045,7.44328
00046,12.38814
00047,37.56065
00048,23.85495
00049,-0.15624
00050,-0.40344
00051,5.02533
00052,8.62262
00053,-5.36122
00054,20.40207
00055,28.23732
00056,-2.85782
00057,2.16035
00058,-0.74402
00059,1.17635
00060,0.94293
00061,17.53367
00062,29.03962
00063,4.87489
00064,1.83233
00065,-0.34184
00066,2.56270
00067,14.82974
00068,13.56597
00069,2.81424
00070,0.72389
00071,-2.41662
00072,12.85853
00073,13.47355
00074,9.39926
00075,18.07614
00076,-3.27510
00077,12.01769
00078,30.46853
00079,-1.67090
00080,17.86573
00081,28.57198
00082,-0.76012
00083,2.28688
00084,1.28792
00085,2.94342
00086,10.19348
00087,0.43064
00088,3.62263
00089,9.08736
00090,27.08829
00091,20.61264
00092,-3.13241
00093,9.34090
00094,27.38323
00095,8.26134
00096,-0.24916
00097,0.22614
00098,0.10517
00099,-0.48160
00100,3.71788
00101,30.84950
00102,27.28875
00103,13.72283
00104,-0.41275
00105,0.16101
00106,14.77004
00107,14.85772
00108,-0.55420
00109,0.32494
00110,7.50584
00111,12.89283
00112,6.05216
00113,5.43365
00114,56.20440
00115,46.75340
00116,2.75078
00117,-0.05195
00118,0.47886
00119,0.00622
00120,27.68562
00121,24.73990
00122,-2.51258
00123,1.05263
00124,0.04764
00125,-1.00512
00126,28.01870
00127,65.93571
00128,21.56306
00129,2.10267
00130,0.34068
00131,9.51491
00132,9.99221
00133,-2.91475
00134,3.47212
00135,3.37121
00136,-1.20276
00137,43.15472
00138,26.23498
00139,30.45565
00140,21.72783
00141,11.14505
00142,5.79590
00143,-1.01930
00144,16.26209
00145,22.53339
00146,-5.04137
00147,14.66097
00148,22.93370
00149,-1.01726
00150,1.98713
00151,44.99942
00152,13.79868
00153,50.45362
00154,106.56172
00155,14.37790
00156,-1.32107
00157,0.45212
00158,1.40637
00159,3.06049
00160,-0.12934
00161,-0.03804
00162,1.81569
00163,-2.89732
00164,10.61905
00165,10.42425
00166,30.72684
00167,17.57118
00168,20.88886
00169,17.47319
00170,-5.30226
00171,10.97843
00172,11.99377
00173,-2.11730
00174,2.01838
00175,-2.39590
00176,9.52050
00177,31.42220
00178,6.92205
00179,23.92602
00180,18.91150
00181,-1.50838
00182,0.82162
00183,1.98073
00184,6.82591
00185,0.27560
00186,19.45661
00187,27.15198
00188,7.92948
00189,-5.90266
00190,29.78908
00191,41.63691
00192,16.50018
00193,4.76602
00194,-1.50497
00195,2.65236
00196,15.64056
00197,1.74647
00198,-0.07514
00199,2.30598
00200,-1.77720
00201,20.55285
00202,18.04356
00203,22.88763
00204,15.76287
00205,0.66393
00206,0.08597
00207,4.81880
00208,-1.12266
00209,17.32024
00210,36.70718
00211,-3.59079
00212,11.14155
00213,38.61853
00214,0.70836
00215,-0.47803
00216,30.08330
00217,25.87840
00218,-3.06180
00219,3.92850
00220,37.56486
00221,18.45448
00222,9.64880
00223,22.05516
00224,-0.52565
00225,1.95554
00226,-0.64980
00227,4.76495
00228,7.47671
00229,0.25252
00230,18.12484
00231,2.38826
00232,-0.49329
00233,0.67638
00234,1.37284
00235,54.90711
00236,31.60734
00237,-5.64067
00238,14.65832
00239,18.28449
00240,0.82648
00241,1.47915
00242,5.21803
00243,-0.95505
00244,2.22774
00245,-3.67650
00246,38.71172
00247,26.83994
00248,-1.37356
00249,12.20699
00250,22.26736
00251,34.45329
00252,20.60254
00253,9.75263
00254,-1.96266
00255,0.94292
00256,-0.34449
00257,0.37391
00258,0.13494
00259,0.02116
00260,2.48816
00261,-2.93743
00262,10.12740
00263,23.49472
00264,22.07187
00265,40.22303
00266,10.37880
00267,30.31307
00268,22.73397
00269,-4.74182
00270,9.13370
00271,12.47968
00272,-2.21042
00273,2.60752
00274,-1.24409
00275,17.77064
00276,29.86841
00277,25.72719
00278,34.42174
00279,7.21981
00280,-2.10605
00281,10.93978
00282,10.71815
00283,0.34630
00284,-1.61676
00285,12.33377
00286,14.94357
00287,-1.23472
00288,0.66750
00289,-0.18522
00290,-0.01444
00291,3.35239
00292,1.61247
00293,-0.85508
00294,6.51761
00295,29.12296
00296,10.88746
00297,-1.72948
00298,1.22641
00299,15.96031
00300,32.48258
00301,24.55035
00302,0.92462
00303,3.46425
00304,17.90708
00305,22.52168
00306,7.54614
00307,27.30216
00308,9.35511
00309,-2.51525
00310,1.76900
00311,-1.02719
00312,1.06675
00313,-1.58242
00314,9.94993
00315,46.50677
00316,15.58346
00317,-1.21328
00318,-0.71012
00319,17.04842
00320,47.37599
00321,11.16420
00322,7.16227
00323,3.50841
00324,-1.59820
00325,1.40220
00326,0.15780
00327,29.37563
00328,18.73368
00329,-0.38444
00330,11.12717
00331,17.98664
00332,27.43115
00333,24.48820
00334,14.72226
00335,5.84269
00336,-1.00934
00337,0.53852
00338,0.56535
00339,-1.70779
00340,9.89887
00341,40.31135
00342,8.17674
00343,-2.14571
00344,2.07965
00345,-3.26780
00346,22.33434
00347,34.73574
00348,16.21745
00349,7.94297
00350,-0.92707
00351,0.31989
00352,11.31669
00353,6.72637
00354,0.94756
00355,0.22806
00356,-0.37638
00357,0.69226
00358,0.61420
00359,14.51875
00360,13.44448
00361,-2.19867
00362,2.78096
00363,15.65848
00364,15.25920
00365,0.29244
00366,2.73361
00367,2.81329
00368,5.52423
00369,-0.58239
00370,7.10117
00371,4.47868
00372,1.10047
00373,10.95644
00374,20.72635
00375,39.41288
00376,5.65513
00377,-0.70320
00378,0.92150
00379,13.84565
00380,7.18602
00381,-1.11659
00382,1.98547
00383,3.15400
00384,-1.48442
00385,14.86443
00386,13.91776
00387,-4.93432
00388,18.01279
00389,41.16308
00390,27.30602
00391,5.60427
00392,0.73175
00393,-0.28390
00394,0.67140
00395,-0.90564
00396,8.39172
00397,12.89970
00398,4.81047
00399,-0.83835
00400,9.27295
00401,19.82624
00402,13.23171
00403,8.22800
00404,3.74253
00405,-1.03373
00406,1.02051
00407,3.23115
00408,-0.34810
00409,3.82094
00410,16.05313
00411,4.41682
00412,-0.98065
00413,7.65521
00414,26.00323
00415,6.88523
00416,-1.87494
00417,3.13710
