index,y
00000,-0.07570
00001,0.14838
00002,-0.31351
00003,1.36138
00004,0.66971
00005,-0.23850
00006,0.11871
00007,-0.05975
00008,0.02628
00009,0.00000
00010,0.00000
00011,0.00000
00012,0.00000
00013,0.00000
00014,0.00000
00015,0.00000
00016,0.00000
00017,0.00000
00018,0.01418
00019,-0.01610
00020,0.05034
00021,-0.09729
00022,0.47790
00023,0.68369
00024,0.86391
00025,0.89846
00026,0.14836
00027,-0.03757
00028,0.02214
00029,-0.00814
00030,0.01051
00031,-0.00000
00032,0.02127
00033,0.28560
00034,0.10321
00035,-0.21838
00036,0.87618
00037,0.27642
00038,0.40145
00039,0.33911
00040,-0.13125
00041,0.06325
00042,-0.00288
00043,0.00475
00044,0.04165
00045,-0.09409
00046,0.33816
00047,3.43684
00048,3.96332
00049,4.04180
00050,-0.09258
00051,-0.14194
00052,1.91746
00053,0.14398
00054,1.18604
00055,1.60213
00056,2.10171
00057,2.36356
00058,0.03362
00059,3.97060
00060,5.09908
00061,5.93367
00062,6.55219
00063,5.46598
00064,4.37162
00065,5.75146
00066,2.93428
00067,2.34456
00068,3.57261
00069,1.19051
00070,3.27226
00071,4.77669
00072,2.87668
00073,2.86730
00074,2.76213
00075,5.32142
00076,6.31647
00077,2.75869
00078,3.34355
00079,2.22337
00080,3.10661
00081,2.73112
00082,3.06289
00083,0.26913
00084,3.64232
00085,2.81716
00086,1.73487
00087,8.27516
00088,9.26935
00089,5.93207
00090,3.60935
00091,-0.98822
00092,1.13475
00093,5.54196
00094,4.60418
00095,5.67405
00096,5.67483
00097,8.90528
00098,5.19019
00099,5.40016
00100,6.12215
00101,5.49080
00102,9.76198
00103,11.34073
00104,15.10300
00105,15.72852
00106,14.12525
00107,13.06282
00108,14.34718
00109,13.54961
00110,12.61547
00111,13.26185
00112,14.75721
00113,17.38009
00114,16.72234
00115,10.61204
00116,16.22844
00117,17.94724
00118,18.26631
00119,14.66622
00120,20.58339
00121,12.61423
00122,18.66961
00123,15.01503
00124,16.47894
00125,21.81182
00126,15.00433
00127,11.16558
00128,14.35098
00129,14.82339
00130,14.18172
00131,14.85215
00132,13.10100
00133,19.98442
00134,14.75114
00135,13.37704
00136,18.04755
00137,15.46325
00138,15.31086
00139,18.58889
00140,17.15772
00141,14.92557
00142,12.95919
00143,17.70987
00144,14.08082
00145,13.84649
00146,15.71490
00147,16.09543
00148,16.09284
00149,21.25868
00150,21.24917
00151,23.24905
00152,20.81367
00153,20.69440
00154,25.10306
00155,21.64959
00156,20.82357
00157,22.54040
00158,17.43500
00159,20.95809
00160,22.54012
00161,22.34406
00162,18.07929
00163,14.14435
00164,21.46253
00165,25.12048
00166,22.54941
00167,24.45095
00168,23.53520
00169,21.72763
00170,17.48701
00171,19.42170
00172,24.26216
00173,20.57627
00174,20.60612
00175,19.22525
00176,16.95135
00177,19.19004
00178,21.54978
00179,25.41587
00180,22.75457
00181,18.29461
00182,19.85001
00183,18.41279
00184,18.33626
00185,17.72400
