index,y
00000,10.85114
00001,7.00316
00002,7.55022
00003,12.95381
00004,13.33476
00005,5.55291
00006,0.10864
00007,-0.74784
00008,1.75748
00009,-2.71072
00010,49.26631
00011,47.33614
00012,1.62382
00013,8.67843
00014,2.03096
00015,10.15021
00016,89.74512
00017,29.84528
00018,-5.34159
00019,2.82256
00020,-1.77100
00021,4.23952
00022,26.92011
00023,29.63810
00024,6.84472
00025,10.10322
00026,-2.10839
00027,2.47240
00028,-3.59996
00029,30.86408
00030,53.79437
00031,-0.80759
00032,5.01855
00033,27.40776
00034,1.44429
00035,0.57797
00036,-0.27902
00037,17.47881
00038,25.72096
00039,20.48681
00040,16.23381
00041,0.61515
00042,16.69504
00043,8.16151
00044,55.22937
00045,43.58273
00046,4.33838
00047,5.88072
00048,-0.70722
00049,-0.47841
00050,8.96722
00051,62.87445
00052,15.43871
00053,-4.15268
00054,22.59874
00055,7.09715
00056,-2.21488
00057,2.78846
00058,-3.83882
00059,35.25544
00060,10.54946
00061,4.32983
00062,28.07298
00063,-0.66247
00064,0.93874
00065,0.11921
00066,0.27865
00067,0.87181
00068,15.34080
00069,48.24576
00070,43.63968
00071,16.04534
00072,30.32929
00073,10.30123
00074,0.42175
00075,0.69953
00076,-1.14118
00077,3.56995
00078,-1.49722
00079,14.06452
00080,7.65184
00081,-1.06564
00082,-1.58287
00083,17.94854
00084,24.23425
00085,50.58112
00086,38.49433
00087,-0.06702
00088,1.29860
00089,-0.27100
00090,-0.13242
00091,1.20009
00092,0.73154
00093,24.39995
00094,22.15761
00095,-1.43068
00096,2.03578
00097,54.48164
00098,9.04607
00099,2.46318
00100,16.80064
00101,-2.84474
00102,2.00575
00103,-1.61015
00104,9.56996
00105,14.83362
00106,-1.60062
00107,5.25595
00108,0.69598
00109,0.77235
00110,59.53681
00111,65.15907
00112,-1.01341
00113,1.35054
00114,-0.40116
00115,-0.30499
00116,1.66008
00117,-2.92454
00118,10.77542
00119,20.47088
00120,-2.65674
00121,1.47218
00122,-0.49121
00123,-0.16421
00124,0.89068
00125,0.15965
00126,36.26723
00127,14.10134
00128,-5.09285
00129,15.21197
00130,5.98728
00131,-2.69854
00132,19.87032
00133,29.57204
00134,3.40031
00135,-0.10978
00136,0.13042
00137,17.23027
00138,0.27169
00139,10.56018
00140,26.92578
00141,-1.35671
00142,0.55720
00143,13.09040
00144,3.19627
00145,0.81950
00146,20.17442
00147,1.95010
00148,-1.14982
00149,8.07679
00150,4.46278
00151,-1.57580
00152,44.57198
00153,44.09139
00154,4.31175
00155,25.05847
00156,9.11676
00157,-3.42688
00158,36.81513
00159,12.88727
00160,-6.67404
00161,23.13342
00162,14.06547
00163,1.92131
00164,28.17129
00165,1.32403
00166,1.11531
00167,1.27543
00168,-0.66488
00169,2.19164
00170,35.85005
00171,30.52622
00172,31.42918
00173,14.40279
00174,-2.00176
00175,1.19586
00176,-0.52116
00177,0.58878
00178,-0.17802
00179,12.38727
00180,18.71220
00181,-0.62606
00182,5.60509
00183,5.11128
00184,4.07897
00185,19.02280
00186,-2.05178
00187,0.60377
00188,0.90522
00189,2.44064
00190,7.72823
00191,6.71598
00192,5.93829
00193,33.95640
00194,23.15347
00195,21.66331
00196,37.61184
00197,10.40066
00198,-0.66652
00199,12.43208
00200,4.56737
00201,-1.40321
00202,2.08009
00203,-2.45035
00204,37.61276
00205,37.96587
00206,38.52508
00207,52.97667
00208,5.88242
00209,-2.02380
00210,26.23801
00211,13.28304
00212,-2.15679
00213,1.25251
00214,-0.62985
00215,0.35201
00216,2.05958
00217,30.87561
00218,17.30179
00219,-3.37084
00220,40.40626
00221,19.90397
00222,34.52669
00223,33.91444
00224,-7.47456
00225,53.26501
00226,34.35526
00227,-5.92329
00228,22.87704
00229,4.33625
00230,3.58793
00231,37.71111
00232,12.29241
00233,24.69331
00234,38.04203
00235,25.25525
00236,9.29171
00237,20.45535
00238,-1.92247
00239,18.12276
00240,58.71054
00241,27.52396
00242,5.87405
00243,1.28243
00244,-3.20876
00245,22.09279
00246,22.41879
00247,-2.77511
00248,34.31724
00249,43.85696
00250,20.80562
00251,4.32957
00252,18.74493
00253,23.58898
00254,23.92147
00255,5.52938
00256,7.57934
00257,12.24329
00258,21.75149
00259,7.01937
00260,-1.51900
00261,6.01914
00262,-1.88549
00263,17.76220
00264,53.28710
00265,11.72582
00266,22.85078
00267,45.44767
00268,3.65285
00269,7.07906
00270,26.64164
00271,33.13889
00272,32.56374
00273,4.24057
00274,22.17135
00275,41.78759
00276,0.50845
00277,3.03107
