index,y
00000,3.70007
00001,5.91583
00002,5.26632
00003,1.52793
00004,2.63010
00005,7.16841
00006,3.89689
00007,8.50298
00008,9.59476
00009,3.24964
00010,0.84289
00011,0.38657
00012,2.38978
00013,5.31402
00014,8.94176
00015,7.59606
00016,1.53799
00017,1.32011
00018,1.18288
00019,1.58870
00020,5.25794
00021,1.45736
00022,3.94101
00023,9.04966
00024,11.85367
00025,9.08938
00026,2.20216
00027,6.46390
00028,2.04686
00029,-0.19007
00030,3.05370
00031,3.21744
00032,2.76180
00033,4.43925
00034,6.44988
00035,2.18436
00036,-0.23354
00037,0.37750
00038,0.13488
00039,2.75080
00040,5.61514
00041,5.26207
00042,3.54014
00043,3.68690
00044,3.80738
00045,2.59512
00046,2.61139
00047,2.14263
00048,1.93460
00049,5.28442
00050,7.00145
00051,11.65811
00052,10.51528
00053,3.55404
00054,3.42212
00055,2.45482
00056,2.93695
00057,4.46523
00058,6.66395
00059,5.64696
00060,1.99203
00061,-0.16125
00062,1.93197
00063,3.95765
00064,0.36670
00065,3.18293
00066,4.51955
00067,1.05251
00068,8.74269
00069,6.60146
00070,6.26398
00071,7.54676
00072,5.76575
00073,4.24874
00074,6.59746
00075,9.06195
00076,4.51996
00077,3.46863
00078,1.40704
00079,0.45233
00080,0.97265
00081,4.52592
00082,5.48528
00083,1.46757
00084,2.47892
00085,1.23763
00086,1.32795
00087,0.17608
00088,-0.09692
00089,1.14732
00090,1.15376
00091,4.02501
00092,3.87242
00093,8.71338
00094,3.13983
00095,2.93664
00096,1.06850
00097,7.05457
00098,8.08995
00099,2.77510
00100,5.49248
00101,1.68100
00102,3.50721
00103,0.26651
00104,-0.46133
00105,6.59725
00106,5.83708
00107,4.90466
00108,4.37019
00109,4.43149
00110,9.63143
00111,9.14346
00112,7.24780
00113,3.68902
00114,0.08451
00115,1.43671
00116,2.70449
00117,3.20447
00118,1.96345
00119,1.13741
00120,2.62529
00121,2.85377
00122,1.55845
00123,0.84128
00124,5.42019
00125,10.21183
00126,5.75548
00127,2.90615
00128,2.59414
00129,4.64277
00130,3.82070
00131,2.13543
00132,1.20676
00133,2.19631
00134,5.39737
00135,1.69167
00136,3.42730
00137,5.45906
00138,3.89538
00139,3.17580
00140,2.15970
00141,-0.34947
00142,1.66472
00143,2.73625
00144,0.91527
00145,0.80833
00146,-0.27767
00147,1.20243
00148,4.85916
00149,4.43007
00150,3.44574
00151,1.41593
00152,5.40701
00153,3.98950
00154,6.32410
00155,8.13278
00156,1.59711
00157,2.67086
00158,4.08250
00159,7.29992
00160,4.92301
00161,6.17666
00162,10.63951
00163,7.18671
00164,6.33389
00165,3.45370
00166,9.71504
00167,6.01999
00168,2.36317
00169,5.81450
00170,5.98533
00171,5.42089
00172,3.99681
00173,0.54816
00174,-0.06614
00175,0.05624
00176,0.38981
00177,6.39540
00178,8.85660
00179,1.53430
00180,4.12186
00181,0.82124
00182,4.29607
00183,3.80409
00184,0.82120
00185,5.37724
00186,2.47702
00187,3.64651
00188,7.47237
00189,6.29307
00190,4.55857
00191,2.17998
00192,1.04604
00193,1.80278
00194,3.24133
00195,5.61069
00196,1.27916
00197,4.98166
00198,4.41623
00199,2.17475
00200,3.53324
00201,5.76448
00202,2.75980
00203,-0.85765
00204,2.52588
00205,3.60287
00206,0.19162
00207,5.11352
00208,7.22756
00209,3.58110
00210,6.91616
00211,0.57414
00212,3.53731
00213,4.97053
00214,3.02337
00215,2.81848
00216,6.20281
00217,7.20793
00218,6.98492
00219,9.73908
00220,3.95708
00221,5.01065
00222,5.88678
00223,3.72215
00224,7.43003
00225,4.84749
00226,5.81728
00227,6.23510
00228,0.77778
00229,0.40784
00230,3.33830
00231,2.42306
00232,2.61851
00233,0.72179
00234,1.96097
00235,5.33795
00236,1.12606
00237,4.21366
00238,3.05163
00239,1.22177
00240,0.46907
00241,2.63911
00242,3.01271
00243,2.32038
00244,0.88377
00245,3.47960
00246,7.67454
00247,3.96170
00248,1.19116
00249,2.34560
00250,3.26481
00251,3.34709
00252,1.44679
00253,2.07676
00254,3.17745
00255,2.02274
00256,1.84235
00257,3.09066
00258,6.89777
00259,7.06162
00260,6.79621
00261,3.67923
00262,2.30199
00263,1.48432
00264,3.70668
00265,7.57684
00266,7.78247
00267,7.65155
00268,5.62321
00269,1.28730
00270,3.58149
00271,4.98326
00272,10.45605
00273,6.31015
00274,0.53398
00275,3.04013
00276,3.41711
00277,0.78975
00278,6.20819
00279,5.87197
00280,1.24196
00281,2.48278
00282,0.86812
00283,7.18093
00284,4.32359
00285,1.56525
00286,1.80313
00287,0.48854
00288,1.93232
00289,5.63244
00290,7.26417
00291,3.87057
00292,4.29031
00293,4.67207
00294,7.49141
00295,4.14154
00296,3.66356
00297,8.20875
00298,5.52068
00299,3.25969
00300,1.53916
00301,3.02641
00302,2.37956
00303,2.30240
00304,5.20572
00305,3.78968
00306,0.29717
00307,0.24241
00308,0.11408
00309,1.05101
00310,3.03889
00311,0.54742
00312,2.00242
00313,5.09388
00314,1.46665
00315,3.98419
00316,8.57891
00317,7.08865
00318,4.24979
00319,2.45932
00320,3.36370
00321,8.10675
00322,4.95067
00323,3.14832
00324,1.17527
00325,0.48079
00326,4.76763
00327,2.16177
00328,0.44271
00329,1.45887
00330,-0.31575
00331,9.16225
00332,8.81261
00333,4.96250
00334,3.23925
00335,0.82552
00336,2.80272
00337,3.98582
00338,-0.05146
00339,2.12872
00340,8.88950
00341,8.01551
00342,7.65219
00343,2.27613
00344,1.64856
00345,2.13985
00346,3.11925
00347,3.30300
00348,2.90430
00349,3.15019
00350,6.45644
00351,5.03559
00352,0.68445
00353,1.67161
00354,2.93009
00355,3.32312
00356,7.99473
00357,3.38120
00358,5.37883
00359,4.29302
00360,0.32807
00361,6.44226
00362,7.13154
00363,2.22054
00364,0.71062
00365,6.98095
00366,6.09773
00367,6.35864
00368,6.43220
00369,8.88330
00370,3.84581
00371,3.68969
00372,5.19177
00373,1.68962
00374,1.90678
00375,0.37303
00376,-0.76836
00377,7.16298
00378,9.30965
00379,5.96782
00380,2.41497
00381,2.53921
00382,2.87468
00383,0.89063
00384,1.75781
00385,2.07687
00386,3.15440
00387,4.26417
00388,8.86721
00389,9.65423
00390,6.84078
00391,0.82260
00392,1.84522
00393,1.71900
