index,y
00000,1.07593
00001,-0.13099
00002,0.09529
00003,-0.05853
00004,0.73193
00005,0.32234
00006,2.22333
00007,0.67518
00008,1.37643
00009,0.87320
00010,0.07673
00011,0.74242
00012,0.32975
00013,0.13719
00014,0.20175
00015,0.16072
00016,-0.40694
00017,1.91001
00018,0.89021
00019,0.51315
00020,3.19894
00021,1.19586
00022,-0.09207
00023,1.41345
00024,1.38130
00025,0.23659
00026,-0.01883
00027,0.11287
00028,-0.12308
00029,0.49118
00030,1.21806
00031,4.68289
00032,6.27574
00033,1.22244
00034,-0.23024
00035,0.19454
00036,2.27111
00037,0.55126
00038,0.72240
00039,1.90513
00040,-0.10497
00041,1.05991
00042,-0.29424
00043,0.13845
00044,-0.00688
00045,0.59689
00046,0.43243
00047,3.04300
00048,2.13495
00049,2.78703
00050,1.27017
00051,2.72621
00052,5.02626
00053,4.07826
00054,-0.08376
00055,0.76527
00056,-0.02433
00057,0.18919
00058,0.31827
00059,1.53256
00060,-0.23033
00061,0.17491
00062,-0.20573
00063,0.63095
00064,0.46879
00065,0.60213
00066,0.79829
00067,0.55300
00068,0.36059
00069,0.29985
00070,1.01352
00071,1.20383
00072,0.43740
00073,1.92997
00074,0.55211
00075,-0.10108
00076,2.37577
00077,0.65040
00078,1.98054
00079,1.38344
00080,1.91745
00081,0.76864
00082,0.50680
00083,1.10118
00084,2.18722
00085,1.72103
00086,0.81606
00087,2.31233
00088,3.14731
00089,2.00122
00090,0.30940
00091,0.72569
00092,0.87553
00093,0.94259
00094,0.10418
00095,3.25210
00096,2.93534
00097,-0.44901
00098,0.36073
00099,1.19496
00100,2.64989
00101,2.08627
00102,3.88512
00103,5.09329
00104,1.67628
00105,5.38321
00106,5.15208
00107,0.90336
00108,0.33748
00109,0.39961
00110,4.07873
00111,2.14749
00112,2.29109
00113,5.17900
00114,3.13579
00115,4.97628
00116,2.10271
00117,1.32405
00118,2.80098
00119,2.53444
00120,3.90649
00121,4.51484
00122,4.83552
00123,4.96499
00124,5.26914
00125,4.29436
00126,2.93712
00127,6.42931
00128,3.95095
00129,2.88391
00130,2.75769
00131,3.40315
00132,5.46730
00133,7.52860
00134,4.76630
00135,4.48714
00136,6.62781
00137,1.35137
00138,1.77806
00139,4.03771
00140,9.46674
00141,5.93719
00142,5.00152
00143,5.78920
00144,4.95040
00145,6.63187
00146,10.13053
00147,9.92303
00148,10.08746
00149,8.75278
00150,7.76598
00151,10.08427
00152,9.96800
00153,13.75206
00154,14.07953
00155,12.58709
00156,10.03376
00157,11.74006
00158,10.79208
00159,15.11754
00160,11.34742
00161,10.26702
00162,7.69792
00163,11.85073
00164,10.66830
00165,7.93703
00166,14.47954
00167,17.81328
00168,13.30411
00169,15.76337
00170,14.76374
00171,13.71361
00172,10.51386
00173,14.70566
00174,14.07758
00175,12.42712
00176,15.25829
00177,14.04795
00178,11.62008
00179,13.13163
00180,11.62235
00181,13.08253
00182,8.87193
00183,8.62364
00184,13.94476
00185,13.39695
00186,6.27869
00187,5.32614
00188,11.03424
00189,11.98004
00190,11.38634
