index,y
00000,0.78914
00001,2.87881
00002,3.39879
00003,3.15119
00004,3.21916
00005,6.98544
00006,2.14327
00007,1.25779
00008,1.30791
00009,0.54890
00010,-0.16089
00011,1.08652
00012,0.87420
00013,0.61963
00014,-0.28975
00015,2.80808
00016,0.68605
00017,0.61951
00018,3.45883
00019,1.47235
00020,0.95036
00021,5.08375
00022,2.95165
00023,0.91935
00024,1.16620
00025,-0.11493
00026,0.10850
00027,0.47448
00028,0.05135
00029,0.87547
00030,0.62802
00031,1.02556
00032,1.16128
00033,3.97821
00034,5.16899
00035,4.01446
00036,5.05207
00037,2.50082
00038,3.45732
00039,8.65047
00040,3.94523
00041,0.39671
00042,1.25102
00043,1.40474
00044,4.81065
00045,1.21176
00046,0.35335
00047,3.08159
00048,2.02216
00049,2.81697
00050,3.99917
00051,2.33002
00052,2.01187
00053,0.83868
00054,2.73740
00055,6.35327
00056,1.58195
00057,2.26658
00058,5.70145
00059,4.96434
00060,7.90683
00061,3.87547
00062,5.25015
00063,8.37592
00064,11.28185
00065,4.31504
00066,7.11202
00067,6.67446
00068,4.64439
00069,4.63192
00070,8.21549
00071,6.16039
00072,6.13220
00073,9.77971
00074,6.83459
00075,7.41797
00076,6.47458
00077,4.26650
00078,2.58320
00079,5.00093
00080,5.40970
00081,4.98541
00082,3.60963
00083,6.95532
00084,9.32056
00085,8.67001
00086,8.44869
00087,8.13811
00088,11.51410
00089,11.15167
00090,8.80256
00091,7.65808
00092,5.22702
00093,7.19055
00094,10.31664
00095,6.08665
00096,6.26122
00097,13.74087
00098,11.48083
00099,10.25134
00100,9.98761
00101,6.77098
00102,5.17683
00103,11.06171
00104,6.27151
00105,4.53668
00106,5.06796
00107,2.86482
00108,6.19270
00109,9.12019
00110,8.63881
00111,7.86902
00112,7.40357
00113,6.13667
00114,3.88012
00115,8.83702
00116,7.79359
00117,5.51802
00118,3.22665
00119,5.78399
00120,8.83128
00121,5.68139
00122,8.99552
00123,4.98488
00124,5.60301
00125,4.78861
00126,3.06212
00127,4.47448
00128,1.84813
00129,1.12464
00130,1.98039
00131,2.67976
00132,1.65783
00133,1.46814
00134,2.65518
00135,6.33750
00136,5.62182
00137,4.12332
00138,2.82199
00139,5.75378
00140,3.71117
00141,1.16165
00142,1.13687
00143,1.23004
00144,2.30054
00145,3.30876
00146,1.72368
00147,0.93439
00148,3.77875
00149,1.81653
00150,0.91439
00151,0.53333
00152,2.53126
00153,3.96005
00154,0.31082
00155,0.11580
00156,1.09297
00157,0.50813
00158,0.39401
00159,1.73707
00160,0.83648
00161,0.58912
00162,2.29516
00163,1.11516
00164,0.67243
00165,2.61947
00166,2.96969
00167,1.28582
00168,2.38284
00169,4.98696
00170,1.62182
00171,1.74772
00172,2.54058
00173,1.41569
00174,-1.63469
00175,4.09865
00176,-7.48273
00177,54.40306
00178,30.81060
00179,-6.83012
00180,2.81206
00181,2.44587
00182,2.74802
00183,29.56164
00184,20.81618
00185,-2.03073
00186,2.45912
00187,-0.90311
00188,25.99287
00189,17.70781
00190,-2.36529
00191,1.33252
00192,-0.65334
00193,1.67037
00194,23.63336
00195,7.19071
00196,-0.75035
00197,1.65080
00198,-0.30336
00199,10.22278
00200,15.03338
00201,6.12825
00202,0.35778
00203,0.11113
00204,1.37328
00205,5.08706
00206,7.13419
00207,3.85124
00208,2.57340
00209,1.20600
00210,1.24871
00211,5.86244
00212,14.34878
00213,6.25786
00214,1.43864
00215,4.84683
00216,3.97348
00217,6.06603
00218,9.86137
00219,6.83921
00220,2.34034
00221,2.21480
00222,3.23239
00223,7.52875
00224,5.98754
00225,2.45682
00226,0.72981
00227,5.90997
00228,8.06175
00229,5.61842
00230,10.83510
00231,6.75584
00232,1.07377
00233,5.31155
00234,7.68067
00235,5.61940
00236,9.88357
00237,3.45551
00238,3.76259
00239,10.66297
00240,6.69881
00241,7.48075
00242,5.27710
00243,6.39949
00244,5.30534
00245,8.46825
00246,5.51719
00247,3.94034
00248,7.89613
00249,5.14247
00250,0.92220
00251,5.24549
00252,7.01953
00253,6.55364
00254,5.51418
00255,6.32776
00256,5.96469
00257,8.09721
00258,11.28007
00259,6.82412
00260,8.99630
00261,11.47249
00262,11.21211
00263,7.02326
00264,10.55604
00265,9.30435
00266,9.19881
00267,5.43182
00268,6.56470
00269,8.50537
00270,5.11829
00271,5.99564
00272,5.50722
00273,3.64000
00274,4.65422
00275,8.73215
00276,5.89187
00277,3.07638
00278,5.31939
00279,8.58762
00280,4.81447
00281,3.98835
00282,4.18003
00283,3.63520
00284,6.71945
00285,4.31124
00286,5.63001
00287,3.51964
00288,4.37278
00289,5.03100
00290,6.01494
00291,6.17319
00292,3.38204
00293,4.31077
00294,3.04472
00295,3.83290
00296,3.76689
00297,2.49150
00298,3.97263
00299,0.10915
00300,1.95027
00301,2.24934
00302,3.73795
00303,3.55908
00304,2.03907
00305,3.07169
00306,4.19872
00307,3.72185
00308,4.61675
00309,3.73983
00310,1.29471
00311,4.07417
00312,5.36284
00313,0.97649
00314,1.22993
00315,2.28127
00316,3.65544
00317,4.10522
00318,2.83359
00319,1.36201
00320,2.31817
00321,1.77128
00322,2.29252
00323,1.93192
00324,1.00731
00325,2.29343
00326,1.39648
00327,0.51407
00328,0.75378
00329,0.90813
00330,4.23245
00331,2.46516
00332,-0.48273
00333,1.09428
00334,2.51356
00335,4.36149
00336,3.18033
00337,1.08141
00338,0.36781
00339,1.32863
00340,3.12255
00341,1.78621
00342,-0.07609
00343,1.76029
00344,2.54896
00345,1.08646
00346,0.73251
00347,1.01730
00348,1.86897
00349,1.88594
00350,1.26894
00351,0.80932
00352,3.45178
00353,2.38697
00354,1.31714
00355,1.47158
00356,3.58393
00357,3.62395
00358,2.06132
00359,3.17370
00360,1.68749
00361,1.12382
00362,2.25722
00363,4.01303
00364,3.78746
00365,3.40142
00366,1.30738
00367,1.87810
00368,0.30251
00369,3.04692
00370,3.31134
00371,1.42531
00372,3.99798
00373,7.34558
00374,4.01994
00375,1.93430
00376,3.65212
00377,1.72407
00378,3.51741
00379,2.97218
00380,4.18994
00381,5.59937
00382,7.96393
00383,5.61865
00384,9.56156
00385,8.67768
00386,5.51904
00387,7.77772
00388,8.32106
00389,8.44597
00390,3.66902
00391,5.28565
00392,9.37193
00393,4.92810
00394,4.29897
00395,11.41140
00396,9.13817
00397,9.10919
00398,13.02059
00399,6.37225
00400,6.96710
00401,11.28713
00402,7.34204
00403,10.00566
00404,11.78668
00405,10.41105
00406,5.69396
00407,6.57073
00408,10.88127
00409,9.64565
00410,10.66087
00411,8.20133
00412,5.62888
00413,8.40018
00414,10.53070
00415,7.63970
00416,6.69214
00417,6.24727
00418,5.75564
00419,6.82481
00420,7.08036
00421,7.63521
00422,9.11849
00423,9.06716
00424,4.58400
00425,4.21267
00426,7.66217
00427,9.46521
00428,9.39153
00429,7.72303
00430,8.65583
00431,11.53601
00432,13.79050
00433,8.36448
00434,6.97537
00435,7.77445
00436,6.00776
00437,3.81644
00438,3.10698
00439,3.90936
00440,4.84942
00441,2.89318
00442,2.21184
00443,4.72578
00444,5.71115
00445,5.43667
00446,4.49528
00447,2.08063
00448,3.24431
00449,1.72148
00450,1.42065
00451,3.03632
00452,4.30643
00453,5.45588
00454,4.81103
00455,2.50007
00456,3.53898
00457,4.61022
00458,5.00608
00459,3.99727
00460,2.50293
00461,4.69522
00462,0.71876
00463,2.49773
00464,2.15537
00465,1.51790
00466,2.41551
00467,2.84059
00468,3.22919
00469,2.34017
00470,1.93227
00471,1.49420
