index,y
00000,4.77409
00001,5.03945
00002,3.82942
00003,6.27596
00004,4.71510
00005,6.57754
00006,8.51800
00007,-1.34809
00008,9.74460
00009,16.26849
00010,-1.54722
00011,1.97450
00012,8.72155
00013,18.11512
00014,3.11411
00015,8.10633
00016,10.48190
00017,10.51917
00018,-9.08304
00019,242.21204
00020,201.92873
00021,-41.39843
00022,62.62127
00023,9.98015
00024,14.20623
00025,265.29935
00026,33.88740
00027,-12.79788
00028,172.15611
00029,53.64503
00030,4.45282
00031,-4.27984
00032,65.90259
00033,156.20671
00034,-6.74737
00035,-7.13233
00036,55.55813
00037,84.93564
00038,6.84056
00039,8.34736
00040,97.89524
00041,0.52251
00042,69.92258
00043,75.40170
00044,-27.65555
00045,59.79542
00046,173.18501
00047,-5.85175
00048,12.78605
00049,-3.64102
00050,46.76369
00051,137.65833
00052,33.07604
00053,-10.85497
00054,44.89695
00055,86.21218
00056,5.18271
00057,0.78901
00058,14.41195
00059,49.69678
00060,29.66931
00061,8.79212
00062,0.58925
00063,17.40814
00064,52.41226
00065,-7.77389
00066,15.92541
00067,29.56288
00068,-6.03028
00069,12.25816
00070,8.11246
00071,4.38018
00072,21.92082
00073,19.93822
00074,15.82571
00075,29.20265
00076,-0.71296
00077,44.95357
00078,14.34488
00079,-1.55334
00080,12.24673
00081,9.90394
00082,-0.47973
00083,9.24118
00084,10.82552
00085,-3.84550
00086,20.55791
00087,34.37320
00088,65.00397
00089,11.40722
00090,7.91710
00091,35.68813
00092,9.82254
00093,-1.86096
00094,7.24114
00095,-3.87886
00096,41.38236
00097,32.57768
00098,-10.65017
00099,25.24852
00100,52.35315
00101,12.01790
00102,21.95937
00103,0.96966
00104,-0.85708
00105,8.48963
00106,7.91231
00107,2.12650
00108,32.09955
00109,21.10807
00110,-4.83942
00111,12.56314
00112,9.57632
00113,22.03027
00114,34.55896
00115,-5.23240
00116,0.75585
00117,30.38503
00118,24.88620
00119,-1.68022
00120,5.54810
00121,-8.24517
00122,36.02595
00123,52.34101
00124,-9.15293
00125,13.02926
00126,4.46274
00127,38.79524
00128,14.10869
00129,19.99545
00130,24.65664
00131,-10.91860
00132,25.98684
00133,30.69707
00134,-2.18552
00135,46.67839
00136,12.61854
00137,2.60103
00138,19.53370
00139,-1.65718
00140,6.06958
00141,17.25781
00142,3.80588
00143,0.09409
00144,8.14001
00145,1.56878
00146,3.35491
00147,30.47744
00148,14.47164
00149,-2.99865
00150,22.87962
00151,3.62940
00152,4.47722
00153,7.68250
00154,1.76589
00155,-0.16676
00156,3.51687
00157,6.48919
00158,10.52944
00159,14.10884
00160,14.00389
00161,2.75501
00162,3.78105
00163,34.09529
00164,9.26436
00165,0.76057
00166,13.40798
00167,2.66697
00168,15.27382
00169,2.59242
00170,-0.02080
00171,25.91428
00172,11.44277
00173,-4.19645
00174,14.62023
00175,13.27666
00176,-2.37287
00177,16.27030
00178,6.92043
00179,-0.81597
00180,16.51837
00181,14.75660
00182,1.66344
00183,-0.12071
00184,5.00253
00185,4.42663
00186,16.13652
00187,6.40762
00188,-1.75560
00189,8.82357
00190,15.30296
00191,1.05593
00192,0.19110
00193,0.64315
00194,8.24929
00195,16.37535
00196,6.60674
00197,5.46294
00198,-1.31942
00199,15.21900
00200,16.03426
00201,-2.70832
00202,7.53894
00203,1.70144
00204,0.98785
00205,2.88877
00206,9.39581
00207,11.68346
00208,6.66639
00209,5.18642
00210,2.25518
00211,6.91004
00212,3.44648
00213,0.63850
00214,-1.38907
00215,8.17261
00216,11.96814
00217,2.60570
00218,13.71412
00219,3.75135
00220,0.13372
00221,7.71896
00222,5.38421
00223,-0.52968
00224,6.04077
00225,13.13425
00226,2.43065
00227,0.15483
00228,2.83071
00229,4.82476
00230,15.73746
00231,6.96974
00232,4.88603
00233,11.49868
00234,-0.31624
00235,-0.31635
00236,8.55729
00237,8.09040
00238,-0.15978
00239,-0.46770
00240,11.91817
00241,13.63689
00242,5.49524
00243,3.21663
00244,-2.25236
00245,12.26700
00246,17.34822
00247,-0.92700
00248,1.51787
00249,1.30218
00250,5.40255
00251,13.42522
00252,1.33680
00253,1.22309
00254,16.54749
00255,12.86944
00256,-1.12360
00257,1.68446
00258,1.84322
00259,5.85502
00260,11.40923
00261,0.92823
00262,0.93605
00263,10.27644
00264,4.05254
00265,3.39183
00266,1.60220
00267,5.23524
00268,10.69758
00269,4.18404
00270,3.64902
00271,0.17284
00272,5.18409
00273,8.74396
00274,1.62037
00275,8.62240
00276,10.04346
00277,0.28576
00278,0.22937
00279,0.08147
00280,3.62690
00281,9.46365
00282,1.45243
00283,1.58582
00284,10.87315
00285,15.98509
00286,5.70089
