index,y
00000,6.90781
00001,4.89586
00002,8.14304
00003,4.00156
00004,4.08176
00005,16.74740
00006,4.68895
00007,13.94699
00008,13.73679
00009,14.13225
00010,7.47782
00011,1.22589
00012,7.77566
00013,5.46151
00014,3.07588
00015,3.66438
00016,1.35734
00017,-0.46437
00018,1.00635
00019,0.66033
00020,0.65994
00021,1.39519
00022,0.93270
00023,0.51416
00024,0.16407
00025,-0.06285
00026,0.23340
00027,-0.01862
00028,4.15743
00029,0.56430
00030,-0.03455
00031,0.22912
00032,0.79799
00033,0.73828
00034,-0.44046
00035,1.41103
00036,0.85317
00037,5.75133
00038,8.04746
00039,11.90814
00040,8.40955
00041,18.56501
00042,15.85373
00043,24.94070
00044,31.03035
00045,18.39453
00046,17.17487
00047,18.00590
00048,19.57683
00049,18.46804
00050,27.68266
00051,21.06943
00052,25.07685
00053,22.34997
00054,30.28775
00055,31.65762
00056,34.22260
00057,31.78683
00058,33.62111
00059,41.54281
00060,33.36982
00061,44.30840
00062,44.29519
00063,45.86750
00064,36.26005
00065,38.35708
00066,36.49810
00067,18.87827
00068,10.32412
00069,7.32359
00070,3.87693
00071,5.05676
00072,3.82220
00073,2.28174
00074,4.08485
00075,6.34616
00076,4.57083
00077,8.23616
00078,4.96321
00079,3.82389
00080,5.97662
00081,6.05670
00082,4.98641
00083,3.33280
00084,5.40128
00085,5.51364
00086,0.50278
00087,5.03485
00088,3.11622
00089,6.46705
00090,5.15085
00091,5.89903
00092,10.36141
00093,13.06698
00094,4.45413
00095,6.61688
00096,5.98246
00097,6.93997
00098,8.14977
00099,8.19107
00100,5.84720
00101,6.45600
00102,8.26744
00103,10.48333
00104,9.54048
00105,6.89147
00106,3.45580
00107,0.66406
00108,3.48318
00109,0.93185
00110,2.22573
00111,0.11439
00112,1.60725
00113,0.95822
00114,0.31182
00115,0.69388
00116,-0.20816
00117,1.18973
00118,1.62416
00119,3.13598
00120,7.80731
00121,3.13921
00122,14.50510
00123,11.22506
00124,2.87577
00125,8.05809
00126,0.51340
00127,3.56888
00128,1.22093
00129,6.01617
00130,-0.06850
00131,3.86384
00132,1.50273
00133,2.35902
00134,0.81191
00135,-0.81114
00136,6.11312
00137,16.04210
00138,2.24777
00139,8.90177
00140,10.44604
00141,8.17669
00142,8.84359
00143,18.94660
00144,29.85233
00145,42.98848
00146,22.76946
00147,7.53993
00148,2.28343
00149,6.11643
00150,7.33420
00151,3.21447
00152,7.49074
00153,6.91620
00154,12.84366
00155,8.14903
00156,8.29013
00157,2.78276
00158,3.21517
00159,1.89641
00160,4.05502
00161,0.95472
00162,2.45442
00163,0.24057
00164,3.14206
00165,3.76564
00166,7.06290
00167,0.81230
00168,4.00204
00169,0.48861
00170,2.93452
00171,-0.03021
00172,3.97870
00173,20.02577
00174,15.14179
00175,21.03183
00176,16.80768
00177,22.35553
00178,21.00406
00179,29.19600
00180,19.83609
00181,25.27890
00182,24.93434
00183,20.73377
00184,19.21192
00185,25.11144
00186,18.75206
00187,15.77371
00188,19.19118
00189,13.94808
00190,15.26299
00191,14.05430
00192,26.39091
00193,5.99738
00194,18.55265
00195,13.04711
00196,21.79356
00197,7.33135
00198,17.63909
00199,10.15198
00200,2.48342
00201,15.94935
00202,12.34153
00203,11.67980
00204,8.69263
00205,16.75536
00206,15.00632
00207,14.33646
00208,8.77737
00209,8.14060
00210,10.32721
00211,12.92197
00212,11.64371
00213,10.92279
00214,9.97723
00215,4.78503
00216,0.57593
00217,0.22742
00218,9.65827
00219,7.22570
00220,4.03660
00221,1.96776
00222,0.51833
00223,-0.48774
00224,1.83690
00225,10.08673
00226,2.90654
00227,3.01169
00228,3.50577
00229,9.73686
00230,7.40077
00231,12.80457
00232,1.61575
00233,7.86393
00234,1.30010
00235,3.36336
00236,2.99643
00237,4.51237
00238,6.14346
00239,3.23396
00240,5.40462
00241,4.10467
00242,4.50031
00243,10.86546
00244,6.15984
00245,1.58850
00246,8.92702
00247,5.54834
00248,1.77704
00249,1.14259
00250,7.17251
00251,5.06118
00252,9.36417
00253,4.73790
00254,1.71505
00255,3.83556
00256,4.71331
00257,2.50272
00258,4.56075
00259,5.76500
00260,6.61856
00261,6.39819
00262,3.69008
00263,7.06520
00264,11.88661
00265,0.08691
00266,12.77796
00267,12.96737
00268,21.01588
00269,13.88250
00270,10.36355
00271,12.62381
00272,19.23938
00273,16.26963
00274,16.38370
00275,8.32981
00276,9.76658
00277,27.04911
00278,18.36432
00279,28.18902
00280,30.21102
00281,26.81372
00282,9.11576
00283,10.50400
00284,28.60689
00285,25.07929
00286,18.34656
00287,16.28169
00288,27.66909
00289,33.36408
00290,36.87184
00291,35.01369
00292,27.87493
00293,24.46195
00294,32.30054
00295,34.34548
00296,30.98463
00297,32.52372
00298,24.17905
00299,17.22808
00300,20.40214
00301,22.98061
00302,21.75258
00303,9.61436
00304,7.58880
00305,1.61993
00306,1.90903
00307,2.19395
00308,4.86935
00309,7.54863
00310,16.62201
00311,14.53456
00312,6.90430
00313,12.66963
00314,6.04428
00315,15.82932
00316,12.68585
00317,15.47607
00318,6.40684
00319,9.86492
00320,13.26381
00321,14.89126
00322,11.69648
00323,11.53675
00324,13.59631
00325,5.44365
00326,8.48602
00327,6.68739
00328,10.70012
00329,9.82627
00330,10.00703
00331,5.62565
00332,9.48258
00333,2.80088
00334,4.85330
00335,1.43522
00336,-0.12261
00337,-0.04270
00338,0.72518
00339,-0.16314
00340,1.60159
00341,2.31040
00342,0.78416
00343,0.42180
00344,0.31951
00345,1.48084
00346,0.12199
