index,y
00000,4.72809
00001,5.75525
00002,-0.05958
00003,0.85339
00004,5.34328
00005,2.96174
00006,0.77406
00007,0.60054
00008,1.48514
00009,2.36621
00010,7.57581
00011,11.82162
00012,5.12017
00013,8.38272
00014,3.33352
00015,2.97391
00016,4.78766
00017,1.12546
00018,4.86067
00019,6.33726
00020,3.25979
00021,2.58354
00022,0.36404
00023,4.82029
00024,6.51613
00025,3.48127
00026,6.63681
00027,5.32070
00028,6.37880
00029,2.48032
00030,5.74571
00031,6.41560
00032,-0.14289
00033,4.51657
00034,5.45986
00035,0.74141
00036,5.03833
00037,0.88672
00038,4.87204
00039,3.15921
00040,3.08928
00041,-1.35143
00042,4.16351
00043,6.77555
00044,2.76956
00045,7.13400
00046,3.02356
00047,2.32685
00048,-0.12257
00049,2.61556
00050,6.08486
00051,1.15140
00052,2.43706
00053,6.67936
00054,5.32040
00055,5.29814
00056,4.13955
00057,1.55088
00058,6.59003
00059,6.17574
00060,4.97868
00061,6.81787
00062,8.16111
00063,3.53161
00064,-0.65826
00065,2.61548
00066,1.89837
00067,4.02713
00068,8.29616
00069,4.15200
00070,1.14190
00071,-0.21433
00072,0.57723
00073,-0.74938
00074,2.43164
00075,1.66913
00076,3.67647
00077,7.62601
00078,3.52770
00079,5.24106
00080,2.49083
00081,5.43390
00082,4.23343
00083,6.35079
00084,11.69618
00085,4.14824
00086,7.71986
00087,7.01849
00088,6.54190
00089,9.94815
00090,2.40667
00091,7.60357
00092,6.40811
00093,3.36914
00094,2.31893
00095,2.65126
00096,3.67096
00097,1.58905
00098,0.74228
00099,3.31952
00100,1.38776
00101,9.87702
00102,8.95516
00103,9.32801
00104,5.03619
00105,1.79759
00106,1.25355
00107,0.06890
00108,0.92047
00109,5.01807
00110,6.45759
00111,7.01325
00112,6.99867
00113,2.22489
00114,3.34840
00115,-0.16289
00116,1.41549
00117,1.78091
00118,-0.25347
00119,3.45235
00120,7.32951
00121,2.63994
00122,5.16458
00123,2.86131
00124,4.00143
00125,8.01344
00126,1.32243
00127,3.08444
00128,7.17261
00129,6.45420
00130,4.58993
00131,8.80305
00132,5.20587
00133,7.53180
00134,4.90322
00135,4.96639
00136,7.49865
00137,2.97594
00138,2.42099
00139,3.84834
00140,1.27742
00141,1.91561
00142,2.29234
00143,2.70897
00144,8.82990
00145,7.49450
00146,9.29787
00147,9.12533
00148,5.84509
00149,1.58106
00150,1.59024
00151,1.16475
00152,0.39932
00153,4.63804
00154,2.77569
00155,3.12520
00156,3.71341
00157,6.52008
00158,2.47225
00159,4.81657
00160,0.65221
00161,-0.11143
00162,0.72398
00163,0.17279
00164,2.87124
00165,0.14879
00166,0.58021
00167,5.29169
00168,8.07410
00169,4.58805
00170,1.38228
00171,-0.35438
00172,1.65098
00173,1.21365
00174,3.88613
00175,13.01471
00176,7.88075
00177,4.29577
00178,13.67385
00179,11.74423
00180,12.29286
00181,7.16578
00182,6.54924
00183,6.18699
00184,5.49786
00185,2.34987
00186,0.69749
00187,5.33817
00188,0.36937
00189,3.31324
00190,0.36160
00191,0.68908
00192,0.08962
00193,0.40241
00194,6.30076
00195,9.14108
00196,3.44825
00197,7.11565
00198,2.23795
00199,2.41277
00200,4.38542
00201,7.74224
00202,8.83008
00203,13.68906
00204,12.86193
00205,6.59454
00206,0.67115
00207,0.54505
00208,0.03574
00209,1.43952
00210,4.23836
00211,3.58959
00212,6.90365
00213,4.29067
00214,4.21864
00215,3.18670
00216,1.94377
00217,4.24803
00218,3.81974
00219,3.85342
00220,1.81414
00221,1.79147
00222,4.78814
00223,2.28005
00224,2.42982
00225,5.47312
00226,7.09020
00227,5.82513
00228,10.62967
00229,11.47921
00230,10.81318
00231,11.00608
00232,4.91392
00233,5.65614
00234,7.79463
00235,2.23264
00236,6.42363
00237,10.37010
00238,3.66747
00239,6.04930
00240,3.72280
00241,5.63499
00242,3.75635
00243,1.14944
00244,7.25645
00245,3.25177
00246,3.40445
00247,7.85978
00248,5.63698
00249,5.68392
00250,0.70734
00251,0.22660
00252,0.48804
00253,-0.19991
00254,0.38238
00255,0.58405
00256,1.26313
00257,6.12652
00258,9.24389
00259,6.31517
00260,2.75343
00261,0.13076
00262,-0.16054
00263,2.71591
00264,3.94276
00265,7.86945
00266,10.44766
00267,15.77819
00268,4.03705
00269,6.94630
00270,6.40422
00271,1.86165
00272,4.87867
00273,10.11531
00274,5.22408
00275,1.11367
00276,2.94036
00277,1.15027
00278,0.79166
00279,0.40890
00280,5.12083
00281,3.41358
00282,1.80511
00283,4.42440
00284,3.65604
00285,2.13986
00286,7.03822
00287,7.63421
00288,1.10235
00289,6.66608
00290,4.92471
00291,0.45843
00292,3.16347
00293,3.57540
00294,3.27735
00295,2.72838
00296,1.67790
00297,1.98284
00298,5.22726
00299,3.96928
00300,8.05437
00301,7.92655
00302,7.06551
00303,4.74644
00304,-0.49304
00305,3.69484
00306,1.56319
00307,1.26771
00308,6.32786
00309,0.11815
00310,1.24857
00311,5.48626
00312,1.40800
00313,0.47538
00314,3.28473
00315,4.40783
00316,-0.58491
00317,4.23674
00318,6.72037
00319,6.88725
00320,2.43482
00321,3.74847
00322,5.93658
00323,3.33834
00324,3.07006
00325,6.42338
00326,7.98878
00327,3.48362
00328,2.59949
00329,6.18298
00330,6.07021
00331,1.94968
00332,1.16357
00333,1.47579
00334,2.90221
00335,1.07781
00336,1.75366
00337,5.02273
00338,7.45524
00339,3.66806
00340,1.22295
00341,0.62477
00342,3.31501
00343,4.86446
00344,1.75300
00345,6.57492
00346,8.93983
00347,10.45195
00348,4.96012
00349,6.69880
00350,3.95684
00351,0.64328
00352,2.82763
00353,8.14287
00354,7.18953
00355,4.88919
00356,8.13007
00357,3.29517
00358,6.47800
00359,4.39522
00360,-0.14384
00361,3.97358
00362,5.41929
00363,4.45397
00364,8.03638
00365,6.22497
00366,1.43797
00367,4.23395
00368,1.60587
00369,4.58292
00370,1.44356
00371,1.90770
00372,2.38807
00373,3.44718
00374,7.14173
00375,10.17338
00376,8.49160
00377,3.09637
00378,3.04860
00379,4.90578
00380,4.42998
00381,4.80128
00382,8.51378
00383,4.14666
00384,2.49369
00385,1.76561
00386,1.88863
00387,2.83080
00388,0.39076
00389,0.87984
00390,6.40856
00391,5.19045
00392,1.25136
00393,3.18977
00394,2.28991
00395,1.09015
00396,2.61192
00397,3.72308
00398,0.78167
00399,4.03250
00400,10.48019
00401,8.25139
00402,3.44205
00403,4.27855
00404,8.40054
00405,2.32187
00406,7.05799
00407,4.54062
00408,2.98743
00409,2.35957
00410,1.92333
00411,3.91707
00412,2.84375
00413,2.95460
00414,4.79116
00415,3.15973
00416,2.96317
00417,2.82523
00418,5.36360
00419,4.48786
00420,1.94800
00421,1.43654
00422,6.57518
00423,0.52495
00424,0.87598
00425,5.46512
00426,7.35299
00427,4.30236
00428,2.45662
00429,1.57216
00430,7.01672
00431,6.71946
00432,4.16238
00433,4.77392
00434,1.24914
00435,1.79344
00436,5.20775
00437,4.33314
00438,5.57220
00439,3.28068
00440,4.97172
00441,8.23539
00442,8.40668
00443,10.08274
00444,5.09850
00445,4.49802
00446,4.68343
00447,7.36964
00448,7.95090
00449,6.32568
00450,1.80334
00451,4.33283
00452,1.63629
00453,0.12973
00454,0.03346
00455,1.62551
00456,6.94311
00457,6.41571
00458,3.08191
00459,2.06757
00460,1.95909
00461,1.86054
00462,3.20795
00463,5.26636
00464,1.56403
00465,3.48187
00466,6.43024
00467,5.61698
00468,4.79827
00469,1.52055
00470,0.77753
00471,0.73893
00472,2.77507
00473,7.46056
00474,5.31130
00475,10.79608
00476,2.49784
00477,7.40461
00478,2.50078
00479,2.98357
00480,5.62273
00481,4.92604
00482,3.93614
00483,5.83906
00484,7.40004
00485,7.58413
00486,5.82061
00487,3.99498
00488,4.29558
00489,0.24745
00490,1.17386
00491,4.36466
00492,2.44029
00493,2.12772
00494,3.72891
00495,5.12550
00496,3.05801
00497,2.80006
00498,1.87357
00499,4.90495
00500,6.26966
00501,2.52967
00502,7.22128
00503,2.30956
00504,0.78516
00505,3.60249
00506,5.11379
00507,5.34000
00508,5.33317
00509,8.89593
00510,7.79476
00511,-0.08805
00512,1.61311
00513,2.68733
00514,0.83596
00515,2.08513
00516,3.08477
00517,1.32364
00518,5.14811
00519,4.26368
00520,7.94128
00521,7.61444
00522,7.83243
00523,2.54652
00524,2.24718
00525,4.76163
00526,5.13278
00527,4.11417
00528,8.82607
00529,7.80194
00530,5.17492
00531,4.27232
00532,6.44682
00533,6.52509
00534,11.72840
00535,9.08127
00536,4.56221
00537,2.76313
00538,-0.14838
00539,5.03647
00540,2.37576
00541,3.79853
00542,1.38228
00543,2.73873
00544,3.89413
00545,3.55578
00546,2.23973
00547,2.49647
00548,3.36209
00549,0.89990
00550,4.63716
00551,5.16201
00552,6.64148
00553,3.47645
00554,-0.32834
00555,3.48921
00556,3.00616
00557,3.99273
00558,12.11726
00559,6.53809
00560,3.48694
00561,4.04005
00562,4.17799
00563,4.09281
00564,1.11730
00565,3.34577
00566,3.09822
00567,0.40149
00568,2.82893
00569,4.92141
00570,2.91487
00571,1.64992
00572,1.88781
00573,3.13327
00574,6.83255
00575,6.18308
00576,3.91155
00577,11.11569
00578,9.80550
00579,4.66078
00580,6.77701
00581,7.18797
00582,1.93047
00583,1.39247
00584,4.65988
00585,6.15783
00586,4.33754
00587,1.93668
00588,0.14832
00589,4.23682
00590,11.87462
00591,3.62847
00592,3.64689
00593,4.21542
00594,2.44114
00595,2.12213
00596,2.18591
00597,1.93171
00598,1.84955
00599,2.75773
00600,6.54609
00601,6.65849
00602,3.83844
00603,4.53960
00604,2.69199
00605,6.25843
00606,9.79512
00607,2.36666
00608,2.93829
00609,5.62702
00610,5.59889
00611,8.72362
00612,6.71007
00613,5.10993
00614,1.76416
00615,1.69433
00616,3.98500
00617,3.48625
00618,5.86386
00619,3.86101
00620,0.36253
00621,3.07659
00622,7.94176
00623,6.98453
00624,1.88793
00625,2.96668
00626,7.96872
00627,7.47987
00628,2.45423
00629,4.39784
00630,6.72301
00631,2.03068
00632,6.07669
00633,3.67278
00634,0.67519
00635,6.68751
00636,7.54702
00637,4.87169
00638,4.80363
00639,0.80677
00640,3.32471
00641,5.55835
00642,3.67247
00643,4.61744
00644,3.13374
00645,2.59123
00646,4.73321
00647,4.01941
00648,1.27713
00649,2.15115
00650,3.87112
00651,2.66598
00652,3.97419
00653,6.01959
00654,6.69330
00655,6.97995
00656,7.07920
00657,4.58083
00658,2.78007
00659,4.40410
00660,0.44802
00661,1.46140
00662,5.06302
00663,4.84130
00664,1.54908
00665,3.77319
00666,7.31811
00667,3.35360
00668,3.55708
00669,8.28525
00670,7.33277
00671,8.27372
00672,4.30644
00673,4.28193
00674,8.18957
00675,8.21590
00676,4.19188
00677,7.11499
00678,9.85366
00679,5.95868
00680,8.54893
00681,3.30217
00682,3.96859
00683,4.36709
00684,4.39548
00685,8.60700
00686,0.96853
00687,4.57212
00688,4.54177
00689,1.55973
00690,3.42551
00691,1.80514
00692,3.41526
00693,4.86465
00694,1.63373
00695,1.11883
00696,1.36291
00697,0.46422
00698,4.55010
00699,3.29337
00700,0.39222
00701,3.98646
00702,5.67285
00703,5.65673
00704,3.45090
00705,3.42757
00706,1.75184
00707,1.59634
00708,1.23441
00709,6.17845
00710,3.93535
00711,7.29892
00712,12.17747
00713,6.18757
00714,5.98036
00715,3.49362
00716,8.74667
00717,4.36183
00718,6.89402
00719,3.76954
00720,3.47284
00721,8.58117
00722,5.72986
00723,8.64928
00724,5.53687
00725,5.00839
00726,8.11268
00727,2.34810
00728,4.54958
00729,0.19268
00730,3.72160
00731,3.66831
00732,2.48935
00733,7.75281
00734,4.39396
00735,1.76065
00736,2.34057
00737,0.32593
00738,2.75048
00739,1.78250
00740,3.52128
00741,5.32996
00742,3.76411
00743,2.72479
00744,5.26135
00745,-0.87484
00746,6.99433
00747,5.34118
00748,2.04406
00749,2.09913
00750,7.43789
00751,3.93006
00752,3.09190
00753,1.01073
00754,4.96287
00755,7.24649
00756,7.31105
00757,5.95882
00758,3.15156
00759,2.29597
00760,3.00034
00761,1.18653
00762,4.28986
00763,10.97161
00764,-0.37154
00765,10.38639
00766,5.75967
00767,1.79136
00768,4.53917
00769,7.58490
00770,4.15471
00771,10.10707
00772,5.69083
00773,5.48947
00774,2.36665
00775,3.21411
00776,5.41726
00777,8.05868
00778,6.36155
00779,1.73933
00780,5.20742
