index,y
00000,5.10819
00001,8.25699
00002,9.05276
00003,1.48548
00004,0.85634
00005,2.71246
00006,2.87504
00007,6.25463
00008,0.77708
00009,0.66051
00010,2.46310
00011,4.01756
00012,4.25616
00013,6.92706
00014,10.06257
00015,8.80514
00016,7.40346
00017,7.41446
00018,6.65708
00019,0.20804
00020,3.25199
00021,6.26835
00022,4.40394
00023,8.23738
00024,12.77204
00025,6.76527
00026,0.07189
00027,-0.43092
00028,3.72112
00029,6.67346
00030,4.27339
00031,4.84180
00032,2.86978
00033,5.25878
00034,10.05514
00035,6.84713
00036,2.64725
00037,3.57522
00038,3.38087
00039,7.03230
00040,6.17284
00041,0.04709
00042,2.54771
00043,6.66472
00044,5.93525
00045,3.29315
00046,2.16452
00047,4.25863
00048,4.21827
00049,3.67163
00050,1.36212
00051,-0.05421
00052,0.66377
00053,0.11638
00054,0.11464
00055,1.62678
00056,10.30756
00057,7.46636
00058,2.75122
00059,1.96405
00060,2.66400
00061,-0.43428
00062,6.99844
00063,7.20081
00064,2.67008
00065,2.20721
00066,4.66185
00067,11.96259
00068,4.22162
00069,1.61776
00070,3.41909
00071,8.17349
00072,3.17451
00073,0.76264
00074,1.47949
00075,6.53456
00076,10.37059
00077,4.18260
00078,-0.72759
00079,0.70864
00080,3.43236
00081,1.69003
00082,1.61848
00083,1.13656
00084,9.39491
00085,5.21369
00086,5.83134
00087,7.72694
00088,1.42623
00089,1.65917
00090,4.80691
00091,6.05387
00092,5.74300
00093,-1.25300
00094,6.16403
00095,10.12165
00096,5.92468
00097,2.00814
00098,0.70143
00099,-0.09574
00100,3.81670
00101,5.90748
00102,3.01824
00103,9.24086
00104,7.73328
00105,8.52143
00106,0.33444
00107,0.89504
00108,4.39156
00109,3.39594
00110,3.33533
00111,5.81368
00112,10.60943
00113,10.27973
00114,6.47636
00115,3.21965
00116,3.78848
00117,4.67795
00118,6.01369
00119,6.82345
00120,10.01771
00121,8.73427
00122,2.29303
00123,0.16125
00124,6.55871
00125,6.62796
00126,3.21288
00127,0.99288
00128,-0.40350
00129,0.62378
00130,2.00135
00131,3.18516
00132,6.46239
00133,10.87404
00134,9.65231
00135,6.57962
00136,1.19366
00137,0.36286
00138,0.35093
00139,1.02260
00140,3.15139
00141,1.82009
00142,8.85116
00143,13.06170
00144,6.02632
00145,3.91941
00146,6.86011
00147,1.19881
00148,3.19330
00149,1.09303
00150,2.06696
00151,4.34827
00152,3.68112
00153,3.90996
00154,3.96467
00155,7.31061
00156,5.79352
00157,0.45015
00158,3.89075
00159,3.13396
00160,1.16224
00161,2.52226
00162,0.66781
00163,5.02964
00164,8.19371
00165,9.47687
00166,2.87416
00167,5.85039
00168,3.48296
00169,-0.79286
00170,0.65135
00171,0.41116
00172,4.25115
00173,7.22009
00174,11.76855
00175,8.16581
00176,5.32259
00177,3.80336
00178,1.62734
00179,-0.33278
00180,0.01700
00181,0.84107
00182,3.05992
00183,8.12848
00184,4.07192
00185,9.35912
00186,12.05269
00187,9.57790
00188,3.04672
00189,3.02705
00190,8.36076
00191,9.70110
00192,3.07638
00193,3.25455
00194,8.57984
00195,7.95203
00196,6.34407
00197,5.80019
00198,3.98361
00199,5.45778
00200,1.60900
00201,0.57809
00202,2.67888
00203,2.11506
00204,6.86069
00205,3.96271
00206,2.25421
00207,2.07308
00208,-0.51686
00209,3.67213
00210,3.76559
00211,4.11807
00212,4.03268
00213,-0.56564
00214,1.44733
00215,3.38219
00216,4.59281
00217,4.46808
00218,6.70501
00219,7.09980
00220,5.73408
00221,1.94171
00222,0.75020
00223,2.74403
00224,8.16530
00225,6.81431
00226,5.42177
00227,1.61980
00228,5.40562
00229,3.42003
00230,-0.67707
00231,1.51311
00232,3.47271
00233,3.00580
00234,0.67682
00235,-0.28481
00236,0.70494
00237,0.62149
00238,6.90675
00239,6.51587
00240,8.57424
00241,3.31644
00242,0.34127
00243,3.16479
00244,1.21687
00245,-0.39054
00246,0.23820
00247,0.46066
00248,2.21717
00249,5.45977
00250,0.08227
00251,-0.14462
00252,6.99021
00253,6.88478
00254,1.29876
00255,1.33604
00256,-0.54659
00257,0.32953
00258,-0.20061
00259,0.37003
00260,0.95233
00261,3.44011
00262,2.28767
00263,0.88425
00264,0.22010
00265,2.80997
00266,1.55542
00267,0.71200
00268,-0.09893
00269,-0.03015
00270,1.93694
00271,2.10498
00272,5.52865
00273,6.46105
00274,1.01026
00275,0.75756
00276,0.21120
00277,3.63012
00278,1.11117
00279,3.23806
00280,5.31856
00281,5.40264
00282,9.20279
00283,-0.29040
00284,3.20830
00285,2.94874
00286,5.04388
00287,2.05777
00288,0.42162
00289,8.81879
00290,10.16372
00291,2.34687
00292,0.90967
00293,1.83309
00294,2.25399
00295,5.44366
00296,4.91965
00297,1.03149
00298,1.22287
00299,4.16484
00300,5.77505
