index,y
00000,1.04534
00001,10.45507
00002,12.40133
00003,-1.95133
00004,8.18158
00005,10.29738
00006,4.54664
00007,-0.82095
00008,2.79197
00009,4.15807
00010,4.10684
00011,-2.29126
00012,12.73228
00013,30.34314
00014,5.94136
00015,-0.31208
00016,3.01092
00017,13.66009
00018,-2.32493
00019,12.53808
00020,30.88820
00021,33.67781
00022,34.06376
00023,-6.36683
00024,41.79554
00025,0.81842
00026,11.73978
00027,23.27813
00028,-23.93326
00029,111.81493
00030,75.96347
00031,-0.74385
00032,137.87311
00033,-26.25495
00034,94.60294
00035,46.17135
00036,-6.40806
00037,38.29317
00038,11.70442
00039,7.15217
00040,2.51447
00041,36.33783
00042,-0.45958
00043,18.12473
00044,23.65149
00045,1.84175
00046,3.99608
00047,6.76527
00048,11.62395
00049,6.38706
00050,10.08782
00051,-6.32986
00052,29.11638
00053,25.81215
00054,-4.54752
00055,2.01338
00056,2.61229
00057,3.12440
00058,11.63815
00059,17.91325
00060,3.33279
00061,2.51544
00062,13.27399
00063,3.39335
00064,0.73418
00065,16.48559
00066,2.53693
00067,4.54773
00068,4.78358
00069,15.37555
00070,11.45265
00071,2.65894
00072,16.85105
00073,13.82621
00074,-0.65257
00075,3.32046
00076,7.48176
00077,2.84220
00078,-1.37452
00079,18.61402
00080,10.18917
00081,4.62142
00082,13.81926
00083,5.42683
00084,1.86908
00085,2.56393
00086,5.55587
00087,11.88705
00088,6.19507
00089,18.30187
00090,10.44298
00091,4.97533
00092,11.12389
00093,7.32017
00094,2.42059
00095,12.21430
00096,12.28399
00097,29.24318
00098,-4.06558
00099,12.38964
00100,7.68826
00101,9.56284
00102,1.49126
00103,0.95040
00104,4.44300
00105,15.41511
00106,14.65642
00107,7.90029
00108,3.82551
00109,13.71383
00110,8.41293
00111,2.16963
00112,12.84617
00113,15.85129
00114,1.85176
00115,5.74606
00116,12.69058
00117,11.64835
00118,0.77822
00119,1.48252
00120,7.14262
00121,4.15891
00122,12.68200
00123,9.95995
00124,3.15424
00125,16.29852
00126,2.72958
00127,3.92453
00128,13.68629
00129,-0.24501
00130,12.38078
00131,5.18218
00132,2.10026
00133,7.57429
00134,7.65983
00135,12.89221
00136,14.07300
00137,-0.50737
00138,13.64654
00139,6.84900
00140,15.04429
00141,11.59172
00142,-2.20980
00143,10.32688
00144,19.83516
00145,1.71210
00146,2.30413
00147,9.48261
00148,-0.28699
00149,12.49274
00150,10.99539
00151,-1.50127
00152,8.04360
00153,-0.76962
00154,19.55910
00155,3.70989
00156,7.15198
00157,3.40851
00158,13.73527
00159,3.84140
00160,7.16599
00161,10.60111
00162,7.29517
00163,7.06256
00164,4.56016
00165,2.87258
00166,1.68908
00167,3.52245
00168,8.34074
00169,13.03639
00170,-2.32919
00171,21.72708
00172,7.34820
00173,-1.17580
00174,1.55245
00175,15.30941
00176,1.57201
00177,6.81186
00178,21.04305
00179,2.21338
00180,-0.72617
00181,10.03700
00182,-1.77257
00183,11.38105
00184,22.92644
00185,3.45291
00186,1.47280
00187,13.79551
00188,2.94205
00189,6.06595
00190,0.96677
00191,12.37601
00192,19.32575
00193,1.03884
00194,3.62705
00195,9.72152
00196,9.81716
00197,0.66650
00198,0.55803
00199,16.49535
00200,9.20226
00201,1.22054
00202,11.08629
00203,0.07120
00204,12.38849
00205,8.19712
00206,9.46133
00207,0.27270
00208,13.57409
00209,0.52993
00210,0.93502
00211,1.33778
00212,13.70479
00213,18.13379
00214,-2.85414
00215,10.75639
00216,12.56920
00217,-2.81914
00218,6.77194
00219,6.35001
00220,6.65114
00221,7.80731
00222,7.46810
00223,5.00577
00224,6.25689
00225,0.85657
00226,4.70253
00227,-0.17486
00228,7.34907
00229,1.95361
00230,5.10994
00231,8.94590
00232,4.31107
00233,9.79235
00234,2.34849
00235,6.73406
00236,5.20904
00237,11.74272
00238,6.19896
00239,-0.76525
00240,1.10075
00241,10.33540
00242,9.50760
00243,7.16282
00244,1.91330
00245,5.93423
00246,5.92969
00247,8.43194
00248,-0.01971
00249,17.13468
00250,4.37727
00251,2.05397
00252,8.02468
00253,4.77601
00254,8.69013
00255,4.19198
00256,1.75871
00257,8.23469
00258,12.54975
00259,2.51161
00260,7.40381
00261,7.27915
00262,0.19684
00263,3.71032
00264,15.10175
00265,8.41882
00266,0.45444
00267,14.46852
00268,2.79881
00269,7.98441
00270,2.29698
00271,14.38584
00272,0.55522
00273,14.84180
00274,15.39428
00275,0.13992
00276,0.41753
00277,15.78758
00278,10.49328
00279,2.01053
00280,4.59453
00281,0.85048
00282,5.40467
00283,-0.35805
00284,17.85182
00285,7.82640
00286,3.21834
00287,1.49063
00288,3.21379
00289,8.73262
00290,0.01351
00291,11.92503
00292,17.07234
00293,8.87319
00294,1.21865
00295,3.08801
00296,8.86247
00297,8.31608
00298,11.80376
00299,3.88373
00300,8.07376
00301,3.15647
00302,-2.43354
00303,9.70581
00304,21.68680
00305,-0.13347
00306,3.41369
00307,13.01713
00308,4.84297
00309,2.20402
00310,14.51187
00311,5.80412
00312,2.70736
00313,13.57752
00314,10.47729
00315,5.78935
00316,2.21604
00317,2.32476
00318,4.94220
00319,8.99961
00320,15.68277
00321,0.21281
00322,12.89780
00323,15.41678
00324,-1.70713
00325,2.88500
00326,11.40704
00327,6.92936
00328,16.74332
00329,4.54650
00330,5.82229
00331,8.97399
00332,9.26322
00333,2.91730
00334,0.74001
00335,20.48159
00336,19.45876
00337,0.28031
00338,0.00078
00339,24.34809
00340,4.16644
00341,5.65833
00342,15.20095
00343,0.50217
00344,15.23393
00345,17.46630
00346,6.30073
00347,0.95507
00348,14.80074
00349,16.21861
00350,4.11830
00351,5.59707
00352,5.41209
00353,11.50485
00354,3.66747
00355,4.39120
00356,6.72509
00357,16.85751
00358,0.43341
00359,9.29455
00360,19.78506
00361,-0.82104
00362,2.32164
00363,20.98248
00364,9.75143
00365,4.02095
00366,2.76940
00367,8.51491
00368,4.66045
00369,7.05774
00370,1.37715
00371,9.14388
00372,17.03805
00373,6.81803
00374,5.62624
00375,0.61979
00376,17.77420
00377,1.60817
00378,8.07646
00379,11.34615
00380,1.41110
00381,11.65360
00382,4.09992
00383,4.90434
00384,18.94728
00385,15.34223
00386,6.67300
00387,5.01595
00388,14.63381
00389,0.45981
00390,9.39886
00391,8.69243
00392,0.46985
00393,2.90579
00394,9.56870
00395,0.47810
00396,4.23686
00397,0.63962
00398,14.69687
00399,12.45326
00400,10.25220
00401,5.89687
00402,0.40676
00403,-1.59445
00404,15.15129
00405,23.49055
00406,-3.51710
00407,13.85884
00408,12.35310
00409,0.07795
00410,2.50954
00411,11.82334
00412,4.64449
00413,4.13636
00414,5.19334
00415,15.50458
00416,8.87125
00417,6.33233
00418,4.45074
00419,23.76638
00420,8.47324
00421,-2.61366
00422,12.29822
00423,10.45544
00424,-0.85179
00425,4.59517
00426,8.45835
00427,2.98937
00428,5.06071
00429,1.04339
00430,16.52142
00431,11.20456
00432,-1.45987
00433,18.93824
00434,9.64405
00435,3.19879
00436,2.34944
00437,9.73958
00438,3.14150
00439,2.86119
00440,9.83394
00441,8.25131
00442,0.79804
00443,1.48463
00444,20.49067
00445,4.51864
00446,6.54516
00447,7.44845
00448,0.13427
00449,18.21449
00450,5.71808
00451,-1.07445
00452,12.69278
00453,7.38627
00454,8.11634
00455,18.19356
00456,6.53786
00457,1.53062
00458,7.32146
00459,2.59041
00460,5.39590
00461,9.54381
00462,13.69129
00463,-1.59970
00464,6.53713
00465,8.88664
00466,-0.76571
00467,7.88256
00468,14.05436
00469,7.01622
00470,-0.26865
00471,6.80243
00472,12.25506
00473,1.67390
00474,0.33286
00475,16.49400
00476,13.58845
00477,0.27074
00478,10.71917
00479,-0.14328
00480,11.18866
00481,14.72579
00482,5.59969
00483,3.42488
00484,0.97611
00485,12.80838
00486,8.19179
00487,1.13397
00488,10.76877
00489,3.09327
00490,10.40855
00491,5.94959
00492,6.38713
00493,1.10391
00494,-0.33816
00495,10.30087
00496,15.30184
00497,3.16165
00498,2.80903
00499,13.02081
00500,4.52338
00501,0.97006
00502,-1.93878
00503,15.42018
00504,22.54956
00505,-3.62053
00506,13.81992
00507,10.10455
00508,6.10413
00509,4.89760
00510,-0.92844
00511,11.04908
00512,12.88564
00513,8.87904
00514,4.42474
00515,14.21565
00516,7.63512
00517,-0.49567
00518,7.63154
00519,8.29669
00520,0.13749
00521,14.21382
00522,11.56239
00523,2.49587
00524,-0.12299
00525,3.42034
00526,13.86378
00527,2.34112
00528,18.00255
00529,2.98704
00530,5.45833
00531,1.51690
00532,9.13145
00533,24.84026
00534,6.92938
00535,-1.84064
00536,26.69188
00537,13.77349
00538,6.78346
00539,8.46349
00540,10.02593
00541,13.22499
00542,-0.38208
00543,3.72329
00544,9.56726
00545,6.08267
00546,8.89891
00547,9.47496
00548,6.74554
00549,9.11916
00550,2.63776
00551,-1.77417
00552,19.23780
00553,21.91633
00554,9.53543
00555,25.39031
00556,6.42981
00557,7.81338
00558,0.51696
00559,1.97027
00560,21.00549
00561,5.92092
00562,1.03121
00563,23.32669
00564,3.44112
00565,-0.25132
00566,0.58020
00567,7.33223
00568,29.95520
00569,16.75481
00570,7.77850
00571,13.18340
00572,2.63190
00573,-1.31714
00574,20.54213
00575,12.45488
00576,19.37752
00577,8.77493
00578,1.21209
00579,24.65213
00580,3.23422
00581,-2.01045
00582,13.00793
00583,5.19626
00584,3.51119
00585,10.49655
00586,1.46465
00587,25.71873
00588,7.61535
00589,11.12716
00590,2.42488
00591,2.62737
00592,13.70170
00593,4.76338
00594,1.24303
00595,10.68007
00596,5.60964
00597,-1.78666
00598,15.12936
00599,7.28054
00600,3.89212
00601,9.07730
00602,15.05945
00603,11.54737
00604,0.43507
00605,10.52697
00606,1.54156
00607,4.10892
00608,11.36965
00609,8.96089
00610,6.90528
00611,16.81323
00612,3.69090
00613,3.30900
00614,13.42232
00615,2.41813
00616,15.53454
00617,0.26373
00618,5.83445
00619,6.50129
00620,7.85839
00621,1.67364
00622,1.05111
00623,3.94812
00624,19.60942
00625,22.03111
00626,6.63304
00627,2.29213
00628,2.48381
00629,8.49127
00630,3.80585
00631,2.49653
00632,4.88090
00633,13.51001
00634,-0.40430
00635,9.26714
00636,8.82617
00637,0.26910
00638,13.48755
00639,14.92338
00640,1.61229
00641,4.54125
00642,0.72324
00643,4.08426
00644,20.84027
00645,8.08904
00646,3.10385
00647,2.85116
00648,7.45355
00649,17.65782
00650,7.15118
00651,0.76659
00652,7.73320
00653,14.26460
00654,7.29162
00655,0.19624
00656,11.22775
00657,7.98490
00658,-2.78224
00659,8.24160
00660,16.99576
00661,7.40653
00662,2.02123
00663,4.50839
00664,6.73175
00665,5.53680
00666,3.07121
00667,-1.10137
00668,18.74960
00669,24.09395
00670,1.18228
00671,-0.04434
00672,5.86542
00673,16.16967
00674,7.84470
00675,-0.36204
00676,10.09974
00677,8.31676
00678,1.19722
00679,-0.88722
00680,6.56171
00681,9.91680
00682,2.27025
00683,3.76559
00684,12.80217
00685,3.12449
00686,9.05109
00687,5.89678
00688,1.13750
00689,9.60111
00690,18.27649
00691,5.39238
00692,4.24326
00693,2.75938
00694,9.69838
00695,27.35036
00696,0.71396
00697,-0.18091
00698,3.49291
00699,8.65769
00700,4.58493
00701,17.52587
00702,14.86260
00703,10.53879
00704,0.64246
00705,1.77421
00706,0.28165
00707,15.40840
00708,11.51159
00709,4.05498
00710,8.93208
00711,8.70529
00712,3.20889
00713,-0.02693
00714,1.54598
00715,14.31646
00716,9.40421
00717,7.92031
00718,5.93822
00719,-0.36819
00720,1.24187
00721,7.00051
00722,12.31768
00723,11.24589
00724,14.86108
00725,0.48832
00726,8.77762
00727,5.91042
00728,12.47653
00729,7.31672
00730,3.22182
00731,4.91065
00732,5.82581
00733,2.57634
00734,7.99011
00735,3.14078
00736,7.38732
00737,10.37111
00738,10.95836
00739,1.88266
00740,2.19629
00741,7.80156
00742,2.85098
00743,17.66914
00744,11.30721
00745,-2.36214
00746,14.15561
00747,14.61954
00748,-3.51735
00749,15.01244
00750,13.32693
00751,6.40353
00752,6.35736
00753,-0.80302
00754,7.70739
00755,7.04531
00756,14.05718
00757,2.20377
00758,5.40918
00759,9.94770
00760,3.45863
00761,4.59840
00762,11.32152
00763,1.30704
00764,19.12879
00765,2.82826
00766,2.13853
00767,1.48120
00768,21.99990
00769,4.04567
00770,2.64587
00771,8.48392
00772,14.54514
00773,1.91190
00774,8.62019
00775,10.80344
00776,6.10415
00777,3.50524
00778,6.08400
00779,25.29498
00780,-1.00852
00781,3.97688
00782,22.75825
00783,8.99526
00784,5.63938
00785,2.12272
00786,4.05358
00787,21.53981
00788,11.37278
00789,3.25049
00790,6.02146
00791,15.78642
00792,17.39539
00793,-0.52695
00794,6.09319
00795,8.87031
00796,5.39247
00797,17.66413
00798,10.13362
00799,-1.19253
00800,12.63277
00801,19.66607
00802,6.86447
00803,8.98491
00804,8.30307
00805,14.78267
00806,6.85861
00807,14.18287
00808,23.81226
00809,3.11483
00810,8.36790
00811,5.28370
00812,1.78492
00813,13.89051
00814,4.54737
00815,1.08572
00816,23.24173
00817,10.87913
00818,-1.75529
00819,15.04117
00820,3.69492
00821,2.78821
00822,7.26201
00823,16.38105
00824,14.31719
00825,10.64839
00826,4.23867
00827,15.85354
00828,8.45842
00829,-3.41991
00830,15.57394
00831,10.36015
00832,9.75259
00833,8.30111
00834,-0.03588
00835,16.12805
00836,8.79505
00837,-0.48220
00838,17.81003
00839,2.72959
00840,12.93416
00841,8.32563
00842,4.37476
00843,3.96462
00844,21.53749
00845,9.20907
00846,0.95767
00847,7.28926
00848,16.64813
00849,1.74835
00850,-2.26378
00851,20.04961
00852,26.88826
00853,4.26070
00854,-0.75794
00855,12.08989
00856,27.59341
00857,2.52961
00858,0.84023
00859,12.16287
00860,16.10262
00861,6.58113
00862,1.66091
00863,11.10545
00864,17.92615
00865,6.87718
00866,0.55400
00867,6.42450
00868,10.46273
00869,1.84078
00870,3.75136
00871,14.24996
00872,7.60182
00873,8.11378
00874,0.38882
00875,8.13239
00876,38.76165
00877,0.98741
00878,15.13081
00879,7.34031
00880,-0.70495
00881,3.53233
00882,6.09083
00883,4.05618
00884,24.28429
00885,17.69703
00886,4.57117
00887,3.72653
00888,7.86935
00889,0.39849
00890,3.62025
00891,13.28815
00892,18.27712
00893,0.03686
00894,7.05155
00895,8.85585
00896,1.13051
00897,7.21266
00898,6.34141
00899,9.08627
00900,7.36262
00901,19.43847
00902,14.26897
00903,-0.18191
00904,8.06548
00905,22.27825
00906,0.36632
00907,4.75635
00908,21.33510
00909,7.91034
00910,4.62903
00911,1.03635
00912,15.45756
00913,5.89278
00914,5.16069
00915,5.81190
00916,24.19456
00917,8.64377
00918,-3.60139
00919,11.57029
00920,13.85361
00921,-0.03478
00922,1.97580
00923,5.57870
00924,8.29799
00925,10.62835
00926,21.30217
00927,9.85478
00928,-2.81073
00929,9.26087
00930,16.60044
00931,6.47440
00932,4.78097
00933,15.17785
00934,5.61144
00935,-0.38844
00936,1.22951
00937,15.48023
00938,5.94955
00939,7.17481
00940,6.50038
00941,5.23626
00942,2.16397
00943,0.80168
00944,4.13122
00945,20.14327
00946,6.59858
00947,4.36989
00948,9.81275
00949,5.29252
00950,0.12260
00951,3.53924
00952,9.41365
00953,4.66754
00954,2.50992
00955,10.72052
00956,5.99523
00957,-0.01080
00958,1.05917
00959,9.99878
00960,10.88555
00961,2.17649
00962,15.99776
00963,1.99428
00964,11.58886
00965,3.50729
00966,11.93075
00967,1.91547
00968,17.13758
00969,7.65570
00970,3.45369
00971,9.58667
00972,10.44285
00973,4.57309
00974,2.33991
00975,3.45169
00976,12.97962
00977,6.25960
00978,5.09546
00979,9.64151
00980,5.14380
00981,7.53067
00982,5.70909
00983,-1.36309
00984,15.92743
00985,10.22096
00986,3.19843
00987,8.53958
00988,0.07126
00989,12.43375
00990,10.88507
00991,10.72584
00992,3.44138
00993,12.72535
00994,2.84725
00995,2.41430
00996,5.52955
00997,3.18207
00998,19.91893
00999,14.52806
01000,-2.70948
01001,11.05979
01002,15.29230
01003,1.07308
01004,2.01735
01005,17.68711
01006,7.61116
01007,8.96466
01008,6.23813
01009,4.77051
01010,13.56660
01011,6.06716
01012,-2.78564
01013,14.70956
01014,20.12269
01015,-3.06110
01016,10.67053
01017,12.86443
01018,6.30248
01019,17.14400
01020,8.80831
01021,5.20152
01022,12.66776
01023,3.69491
01024,15.09172
01025,1.82672
01026,7.83433
01027,18.09980
01028,-1.19662
01029,4.85854
01030,9.47605
01031,6.08361
01032,10.59260
01033,12.05561
01034,12.44741
01035,8.22999
01036,22.39388
01037,1.71351
01038,2.98032
01039,7.04261
01040,5.92279
01041,3.74115
01042,7.05163
01043,17.43698
01044,3.27483
01045,3.32968
01046,1.09779
01047,21.95352
01048,7.75575
01049,14.85692
01050,8.49195
01051,8.03238
01052,3.78881
01053,12.88373
01054,4.96350
01055,9.03988
01056,9.61084
01057,10.13803
01058,10.58172
01059,5.23114
01060,8.91699
01061,7.63893
01062,9.71792
01063,1.29312
01064,12.48459
01065,2.44587
01066,11.02008
01067,2.15577
01068,15.44794
01069,24.47285
01070,-0.27293
