index,y
00000,4.21151
00001,2.76783
00002,1.39213
00003,-1.15103
00004,14.00901
00005,21.05469
00006,5.59855
00007,11.22073
00008,5.82555
00009,7.68304
00010,5.44030
00011,1.64619
00012,1.99647
00013,0.75049
00014,0.56648
00015,2.09020
00016,3.27501
00017,4.52334
00018,4.06859
00019,4.93062
00020,3.97070
00021,3.24665
00022,2.57427
00023,2.45301
00024,1.15943
00025,1.19436
00026,5.59631
00027,5.26160
00028,2.98035
00029,3.29662
00030,2.50187
00031,1.28410
00032,5.94835
00033,13.35357
00034,7.63378
00035,5.10595
00036,6.06307
00037,8.56348
00038,5.42289
00039,0.95523
00040,2.40329
00041,5.22258
00042,5.41142
00043,4.52903
00044,1.64386
00045,7.32755
00046,4.86872
00047,3.94616
00048,3.90286
00049,6.91485
00050,9.18646
00051,7.58435
00052,2.94641
00053,2.46800
00054,0.21445
00055,0.85783
00056,3.06802
00057,4.18981
00058,2.03247
00059,3.70510
00060,3.76443
00061,6.96666
00062,4.80232
00063,3.95659
00064,3.10531
00065,1.00202
00066,4.16210
00067,6.40363
00068,4.52642
00069,4.34522
00070,2.52729
00071,3.31192
00072,6.04061
00073,5.71262
00074,2.34516
00075,4.15632
00076,0.77077
00077,2.11721
00078,5.44925
00079,2.86213
00080,3.78528
00081,5.30679
00082,3.69435
00083,3.54796
00084,0.67274
00085,3.76436
00086,2.20941
00087,3.93121
00088,6.32206
00089,4.37142
00090,4.76408
00091,5.62736
00092,5.70353
00093,3.23136
00094,3.61700
00095,4.12361
00096,2.96354
00097,4.48058
00098,7.87339
00099,3.36839
00100,1.76279
00101,0.36271
00102,0.70270
00103,2.17084
00104,2.54823
00105,2.83694
00106,1.83268
00107,2.97386
00108,1.88934
00109,3.61611
00110,5.71065
00111,3.60467
00112,3.40925
00113,3.17558
00114,3.64100
00115,3.33095
00116,2.15142
00117,3.94428
00118,2.85811
00119,3.77327
00120,-0.12361
00121,2.50769
00122,2.91396
00123,1.59034
00124,3.90555
00125,5.18828
00126,7.32051
00127,5.89379
00128,3.63869
00129,1.71035
00130,3.12920
00131,4.99169
00132,4.56865
00133,6.84610
00134,3.41516
00135,2.45583
00136,1.85888
00137,4.97476
00138,6.65172
00139,2.16507
00140,4.84198
00141,7.64167
00142,4.64066
00143,6.87574
00144,5.14382
00145,2.80702
00146,4.12644
00147,2.82081
00148,4.02368
00149,3.78324
00150,3.26339
00151,5.20852
00152,6.98898
00153,5.89261
00154,5.64828
00155,7.52824
00156,7.39170
00157,1.81197
00158,2.42085
00159,2.33402
00160,2.02504
00161,4.29181
00162,8.66567
00163,5.34985
00164,4.81488
00165,3.85392
00166,2.23042
00167,3.48708
00168,4.00922
00169,2.65384
00170,1.48393
00171,2.93894
00172,5.18460
00173,8.16354
00174,3.41794
00175,3.44929
00176,6.92930
00177,7.55035
00178,8.33791
00179,1.06983
00180,2.17192
00181,5.01751
00182,6.83856
00183,1.88770
00184,1.74169
00185,3.45779
00186,5.13765
00187,5.04874
00188,5.94364
00189,2.55331
00190,9.04390
00191,5.92073
00192,3.51358
00193,2.81666
00194,3.26037
00195,-0.17939
00196,0.73308
00197,-0.20053
00198,4.64052
00199,2.64817
00200,2.73880
00201,5.88369
00202,9.94059
00203,5.52715
00204,5.64070
00205,2.73055
00206,3.87388
00207,5.93092
00208,2.85585
00209,2.58650
00210,4.04772
00211,1.84858
00212,3.03816
00213,3.18586
00214,3.68222
00215,3.99683
00216,2.23509
00217,5.74824
00218,5.15000
00219,2.49292
00220,1.90717
00221,3.13339
00222,3.32529
00223,3.68996
00224,3.17659
00225,4.50405
00226,7.95097
00227,8.87422
00228,6.50405
00229,8.29280
00230,3.80267
00231,2.52446
00232,2.77712
00233,5.44798
00234,4.47898
00235,5.75056
00236,9.55611
00237,8.78806
00238,4.77557
00239,10.02966
00240,6.26664
00241,2.83522
00242,4.97248
00243,5.36944
00244,5.65556
00245,7.62425
00246,3.88491
00247,1.05772
00248,2.54840
00249,1.35732
00250,2.61742
00251,2.33927
00252,1.83665
00253,7.89801
00254,7.41111
00255,2.55035
00256,2.03274
00257,6.58071
00258,8.45926
00259,9.67145
00260,1.17181
00261,0.91098
00262,1.22025
00263,4.90762
00264,5.25366
00265,8.37411
00266,0.89367
00267,3.81940
00268,7.58809
00269,5.89797
00270,8.26661
00271,2.89233
00272,0.72280
00273,4.35606
00274,2.00292
00275,3.42174
00276,2.13960
00277,0.27315
00278,4.06170
00279,0.87292
00280,2.03413
00281,2.70639
00282,4.33312
00283,9.65415
00284,8.36871
00285,4.37070
00286,5.58973
00287,5.58577
00288,6.54748
00289,3.50870
00290,2.29989
00291,3.63987
00292,1.84335
00293,3.90231
00294,7.44069
00295,2.15165
00296,3.32345
00297,6.83969
00298,5.90412
00299,6.39867
00300,1.94687
00301,-0.27053
00302,4.17900
00303,4.45581
00304,1.96302
00305,4.73567
00306,0.48432
00307,2.29438
00308,3.56468
00309,4.97302
00310,6.14301
00311,3.70451
00312,1.21385
00313,4.67706
00314,4.66771
00315,8.39831
00316,8.65714
00317,3.50550
00318,4.08680
00319,-0.43956
