index,y
00000,4.95552
00001,6.37688
00002,1.61020
00003,3.27152
00004,6.85767
00005,0.15579
00006,7.71253
00007,8.60187
00008,-1.00242
00009,0.62024
00010,1.67684
00011,8.02973
00012,4.33051
00013,4.26298
00014,7.79493
00015,6.51434
00016,9.35948
00017,12.10184
00018,4.04566
00019,3.85390
00020,14.24006
00021,2.65624
00022,1.40924
00023,2.39834
00024,1.48773
00025,0.48037
00026,3.42225
00027,4.33438
00028,7.15255
00029,9.53247
00030,7.19056
00031,4.45738
00032,6.69877
00033,6.06587
00034,6.28720
00035,4.33160
00036,3.41172
00037,1.46859
00038,1.88539
00039,2.44823
00040,6.00953
00041,3.80609
00042,5.06254
00043,11.47498
00044,7.95070
00045,3.90382
00046,2.33430
00047,1.65353
00048,5.13607
00049,12.53591
00050,1.17879
00051,0.76456
00052,5.95077
00053,2.43580
00054,0.94475
00055,1.26972
00056,3.24140
00057,9.40569
00058,9.24706
00059,3.58531
00060,10.38256
00061,10.09632
00062,8.19370
00063,3.02025
00064,0.37406
00065,6.20181
00066,7.44675
00067,3.53057
00068,2.06298
00069,0.83305
00070,6.40334
00071,2.07653
00072,0.79305
00073,5.31739
00074,8.10459
00075,9.61214
00076,6.38728
00077,0.91213
00078,1.59724
00079,5.51347
00080,8.65320
00081,4.08750
00082,2.08850
00083,4.69132
00084,3.83298
00085,0.88169
00086,2.81006
00087,2.67439
00088,2.46014
00089,6.77041
00090,4.61314
00091,3.42202
00092,5.59008
00093,9.62537
00094,8.96597
00095,3.40609
00096,3.15218
00097,4.59113
00098,4.83600
00099,2.29302
00100,3.93108
00101,2.69853
00102,3.83187
00103,1.62238
00104,3.95549
00105,2.40932
00106,3.14030
00107,3.85534
00108,4.64207
00109,2.60426
00110,2.17960
00111,1.88669
00112,4.86914
00113,8.42606
00114,7.33358
00115,4.47344
00116,5.09984
00117,5.09392
00118,6.22260
00119,6.62621
00120,2.32635
00121,1.38438
00122,4.05934
00123,4.75603
00124,1.42763
00125,0.86443
00126,1.51986
00127,2.40913
00128,3.09038
00129,5.00966
00130,2.73740
00131,6.08039
00132,3.56825
00133,2.47854
00134,4.25364
00135,5.86908
00136,2.18490
00137,5.00074
00138,7.67949
00139,3.10214
00140,2.52802
00141,3.76467
00142,3.80996
00143,0.95015
00144,3.73524
00145,4.28740
00146,-0.20293
00147,9.37824
00148,7.81798
00149,3.80920
00150,5.36614
00151,8.31676
00152,8.27137
00153,5.03631
00154,5.46597
00155,8.40175
00156,0.44777
00157,5.35240
00158,4.68873
00159,3.71936
00160,2.47644
00161,3.91949
00162,3.44340
00163,5.59800
00164,2.66598
00165,1.17009
00166,4.94944
00167,10.21862
00168,5.82190
00169,2.09775
00170,6.67901
00171,5.07845
00172,0.96751
00173,3.23434
00174,6.31488
00175,9.02707
00176,3.27896
00177,0.60865
00178,7.69374
00179,5.62824
00180,0.52417
00181,4.90241
00182,5.37687
00183,4.39998
00184,13.03399
00185,6.45732
00186,1.10320
00187,5.01947
00188,7.43886
00189,10.02483
00190,0.88139
00191,3.21922
00192,8.43878
00193,8.57908
00194,7.02662
00195,3.89947
00196,2.14123
00197,4.79563
00198,2.52007
00199,4.21786
00200,2.98056
00201,0.68781
00202,5.26249
00203,3.10651
00204,4.66744
00205,4.93244
00206,1.19424
00207,8.61985
00208,10.63928
00209,5.69065
00210,7.66158
00211,4.10513
00212,5.44737
00213,3.93340
00214,4.35660
00215,6.14743
00216,1.33381
00217,6.11749
00218,3.20990
00219,0.66330
00220,3.83340
00221,2.60312
00222,0.55158
00223,5.87672
00224,8.49934
00225,4.34759
00226,3.60822
00227,3.38899
00228,4.58513
00229,8.10885
00230,5.33354
00231,1.07318
00232,2.29586
00233,4.45123
00234,10.49765
00235,5.99391
00236,-0.56557
00237,3.34971
00238,12.11199
00239,4.97136
00240,0.73850
00241,2.21015
00242,5.32260
00243,7.23048
00244,3.88231
00245,2.61836
00246,1.98002
00247,8.00077
00248,4.50745
00249,2.85783
00250,2.19934
00251,4.19375
00252,2.24517
00253,5.59890
00254,3.74284
00255,4.99762
00256,4.82514
00257,8.59965
00258,5.77415
00259,4.41752
00260,6.48027
00261,2.65936
00262,3.97741
00263,0.14934
00264,1.77834
00265,6.31208
00266,3.98642
00267,7.06575
00268,4.80057
00269,3.04303
00270,1.32747
00271,7.92360
00272,5.31025
00273,2.79526
00274,2.60030
00275,2.93135
00276,1.99484
00277,3.02969
00278,2.46515
00279,2.03711
00280,3.34341
00281,3.62340
00282,5.82790
00283,7.75194
00284,6.10505
00285,5.04265
00286,6.75026
00287,10.03209
00288,6.62429
00289,8.13122
00290,5.02017
00291,4.42578
00292,4.73740
00293,4.90084
00294,2.75317
00295,0.08427
00296,1.85651
00297,7.22166
00298,2.69224
00299,0.85751
00300,4.43026
00301,3.51180
00302,1.73132
00303,2.08088
00304,3.37323
00305,3.93848
00306,1.89179
00307,6.05360
00308,8.20230
00309,1.67672
00310,5.23257
00311,8.60934
00312,4.17736
00313,2.79879
00314,3.63664
00315,9.17989
00316,6.47783
00317,3.30044
00318,6.30019
00319,4.46315
00320,5.85103
00321,2.78465
00322,2.90807
00323,5.14908
00324,3.02780
00325,1.64664
00326,0.51301
00327,1.99716
00328,6.12034
00329,4.38073
00330,3.29234
00331,3.24657
00332,7.06581
00333,11.42819
00334,5.76736
00335,6.12067
00336,5.41871
00337,4.44646
00338,4.09258
00339,3.60811
00340,2.05311
00341,2.19106
00342,4.99926
00343,5.29416
00344,5.62635
00345,9.10663
00346,1.58360
00347,3.84064
00348,8.03268
00349,3.25857
00350,3.23265
00351,3.45424
00352,1.10944
00353,4.73322
00354,8.94256
00355,6.77466
00356,4.63087
00357,1.34664
00358,4.66028
00359,12.39664
