index,y
00000,3.04454
00001,4.09233
00002,4.67093
00003,1.78427
00004,5.09564
00005,5.37924
00006,0.58618
00007,3.09698
00008,6.11833
00009,3.12471
00010,3.19745
00011,4.35449
00012,5.02411
00013,1.54489
00014,0.97705
00015,3.26191
00016,4.85308
00017,3.00028
00018,3.78018
00019,4.20357
00020,3.21239
00021,3.53061
00022,3.63851
00023,3.88471
00024,7.12358
00025,2.86751
00026,3.61678
00027,5.05208
00028,6.57045
00029,4.18710
00030,3.55987
00031,4.66947
00032,6.47002
00033,3.45172
00034,4.88986
00035,3.91124
00036,2.52726
00037,1.80576
00038,3.40162
00039,3.16369
00040,3.34609
00041,1.01098
00042,5.55730
00043,6.38754
00044,1.69734
00045,2.37868
00046,2.13641
00047,1.07245
00048,4.36431
00049,2.89373
00050,3.87597
00051,3.15897
00052,0.07990
00053,3.68665
00054,3.92706
00055,4.39424
00056,5.83687
00057,4.61070
00058,5.95256
00059,4.54473
00060,2.36750
00061,1.82376
00062,6.13067
00063,4.79375
00064,3.03541
00065,0.09347
00066,4.19139
00067,7.55930
00068,1.87500
00069,0.31117
00070,1.58036
00071,4.48177
00072,5.25067
00073,3.30642
00074,2.42404
00075,4.13017
00076,4.83146
00077,2.87889
00078,1.71438
00079,5.75760
00080,4.28747
00081,1.45534
00082,4.13983
00083,1.48058
00084,4.16755
00085,6.34194
00086,5.43889
00087,5.33226
00088,2.77242
00089,4.36138
00090,4.05784
00091,5.02057
00092,2.51897
00093,1.75258
00094,2.93959
00095,3.51132
00096,1.72534
00097,3.02195
00098,4.10513
00099,3.62040
00100,3.37109
00101,4.76331
00102,2.48576
00103,5.11001
00104,6.54843
00105,3.15431
00106,4.37300
00107,2.73771
00108,3.50615
00109,5.76454
00110,1.42357
00111,2.69031
00112,4.01694
00113,2.88813
00114,2.53726
00115,5.14481
00116,1.56312
00117,3.91803
00118,3.12174
00119,4.73186
00120,3.39203
00121,1.97751
00122,3.31516
00123,1.51445
00124,2.56765
00125,3.03381
00126,1.93335
00127,2.64186
00128,2.51248
00129,2.13007
00130,4.86964
00131,2.04085
00132,3.69052
00133,4.57600
00134,3.98895
00135,4.15063
00136,1.33665
00137,2.41161
00138,4.80602
00139,4.44254
00140,1.15158
00141,3.31288
00142,2.76723
00143,2.38118
00144,4.05199
00145,2.31521
00146,2.01132
00147,2.57177
00148,3.16511
00149,4.65199
00150,4.11052
00151,5.10379
00152,3.47502
00153,2.40753
00154,3.44780
00155,3.00720
00156,5.40564
00157,3.62976
00158,3.85763
00159,2.79124
00160,2.93927
00161,2.29909
00162,3.23224
00163,3.30219
00164,1.71423
00165,4.16582
00166,3.03159
00167,4.77860
00168,2.77780
00169,4.46868
00170,4.57304
00171,3.34387
00172,4.59755
00173,2.60334
00174,2.32662
00175,2.69760
00176,4.25342
00177,2.42319
00178,3.89785
00179,4.45629
00180,3.25107
00181,2.50918
00182,0.67379
00183,0.91115
00184,0.74417
00185,2.55657
00186,2.83530
00187,5.15331
00188,5.28578
00189,4.54829
00190,4.59431
00191,4.02590
00192,4.61698
00193,5.31781
00194,3.81645
00195,5.04340
00196,4.89180
00197,2.18734
00198,2.86282
00199,1.64815
00200,4.07560
00201,3.94770
00202,1.30959
00203,5.47314
00204,5.18761
00205,1.18024
00206,6.24675
00207,1.42371
00208,2.08149
