index,y
00001,7.02632
00002,17.95074
00003,6.13418
00004,0.37825
00005,10.37031
00006,11.33291
00007,-2.44632
00008,5.90219
00009,15.00456
00010,1.61820
00011,0.11680
00012,7.52020
00013,1.16482
00014,5.20614
00015,0.33783
00016,1.52280
00017,6.22905
00018,0.26830
00019,1.88715
00020,5.26774
00021,2.95497
00022,-0.64297
00023,0.93304
00024,0.92544
00025,-0.05350
00026,-0.06961
00027,0.56391
00028,0.76159
00029,-0.08262
00030,-0.01662
00031,0.70093
00032,1.59187
00033,0.28270
00034,-0.07500
00035,0.03641
00036,-0.02058
00037,0.01838
00038,0.00000
00039,0.00000
00040,0.00000
00041,0.00000
00042,0.00000
00043,0.00000
00044,0.00000
00045,0.00000
00046,0.00000
00047,0.00000
00048,0.00000
00049,0.00000
00050,0.00000
00051,0.00000
00052,0.00000
00053,0.00000
00054,0.00000
00055,0.00000
00056,0.00000
00057,0.00000
00058,0.00000
00059,0.00000
00060,0.00000
00061,0.00000
00062,0.00000
00063,0.00000
00064,0.00000
00065,0.01900
00066,0.01946
00067,-0.04843
00068,0.14328
00069,0.16636
00070,4.75662
00071,1.20338
00072,0.17384
00073,11.20481
00074,4.76175
00075,-1.54586
00076,4.27612
00077,-0.01880
00078,4.03724
00079,9.70188
00080,1.51717
00081,5.17525
00082,0.86016
00083,7.18033
00084,1.61406
00085,0.10896
00086,5.66209
00087,11.97394
00088,12.38630
00089,18.26432
00090,29.67304
00091,42.32462
00092,45.81010
00093,45.57019
00094,33.59956
00095,27.71467
00096,23.75076
00097,25.63035
00098,36.51531
00099,37.93001
00100,33.43092
00101,30.09555
00102,30.53934
00103,42.12292
00104,44.65488
00105,38.65165
00106,39.20139
00107,40.16759
00108,37.87424
00109,31.31685
00110,43.39246
00111,33.23775
00112,37.25885
00113,42.95492
00114,47.35217
00115,40.95876
00116,40.54833
00117,46.82743
00118,40.85509
00119,36.79955
00120,36.02971
00121,38.15209
00122,38.54935
00123,23.19916
00124,21.72769
00125,21.72278
00126,7.59000
00127,9.33215
00128,8.30008
00129,10.53146
00130,7.81717
00131,10.38154
00132,10.49865
00133,9.21814
00134,5.51066
00135,2.87725
00136,12.44889
00137,3.17092
00138,15.38473
00139,2.91948
00140,9.13480
00141,24.57017
00142,-2.68877
00143,12.72771
00144,10.20911
00145,-2.06735
00146,14.25943
00147,1.95147
00148,10.96813
00149,18.94530
00150,0.22247
00151,4.07642
00152,3.32579
00153,9.72678
00154,0.98558
00155,17.04712
00156,3.38676
00157,9.08648
00158,7.13468
00159,6.04422
00160,1.48065
00161,1.89143
00162,9.78308
00163,6.38767
00164,8.89395
00165,7.42422
00166,6.71743
00167,5.55121
00168,4.84226
00169,7.14402
00170,5.07650
00171,4.00603
00172,5.44151
00173,5.74360
00174,2.17504
00175,1.17845
00176,2.79796
00177,9.38130
00178,4.55580
00179,1.85534
00180,3.99458
00181,2.98411
00182,2.41009
00183,0.99923
00184,-0.02502
00185,0.32918
00186,-0.26782
00187,3.92030
00188,4.86058
00189,1.89936
00190,2.21362
00191,1.79741
00192,0.07860
00193,-0.40152
00194,2.29604
00195,2.01423
00196,-0.45739
00197,0.12310
00198,0.42886
00199,0.30205
00200,-0.04942
00201,-0.04677
00202,0.28821
00203,0.32260
00204,-0.09422
00205,0.04593
00206,-0.02332
00207,0.01061
00208,0.00000
00209,0.00000
00210,0.00000
00211,0.00000
00212,0.00000
00213,0.00000
00214,0.00000
00215,0.00000
00216,0.00000
00217,0.02574
00218,-0.06096
00219,0.12260
00220,-0.24290
00221,0.62834
00222,3.11551
00223,-0.34407
00224,0.04417
00225,0.37197
00226,0.81438
00227,-0.16185
00228,0.10723
00229,1.20015
00230,1.70095
00231,4.56782
00232,0.97218
00233,1.57736
00234,15.19029
00235,0.91969
00236,8.39283
00237,4.29958
00238,0.12918
00239,5.42752
00240,0.57587
00241,7.54383
00242,1.65613
00243,3.66501
00244,6.28324
00245,7.03818
00246,6.72762
00247,6.63424
00248,13.03367
00249,19.51910
00250,39.70836
00251,41.83184
00252,40.78137
00253,30.58928
00254,35.86457
00255,28.67812
00256,32.03952
00257,34.54073
00258,33.48959
00259,33.97745
00260,35.20715
00261,32.80111
00262,40.77521
00263,36.13086
00264,39.78853
00265,41.41464
00266,42.52473
00267,36.61592
00268,38.73176
00269,37.18622
00270,41.61262
00271,42.45577
00272,39.21109
00273,41.48526
00274,43.37271
00275,46.47679
00276,43.06962
00277,40.88832
00278,34.55320
00279,38.16696
00280,38.21317
00281,38.70483
00282,29.36175
00283,26.79040
00284,23.58061
00285,5.22452
00286,7.08263
00287,11.19842
00288,14.06445
00289,-0.26943
00290,21.07391
00291,3.42718
00292,10.70312
00293,16.35547
00294,3.75768
00295,16.24741
00296,-2.40323
00297,15.30137
00298,8.51221
00299,3.42066
00300,20.00857
00301,6.36335
00302,2.61427
00303,17.00351
00304,4.08021
00305,0.43362
00306,0.74674
00307,4.21615
00308,18.94377
00309,23.06126
00310,3.21145
00311,-0.31958
00312,0.77708
00313,8.41580
00314,13.81492
00315,2.40150
00316,-0.78974
00317,9.48026
00318,11.73362
00319,-3.33200
00320,17.66582
00321,11.92747
00322,0.47594
00323,8.70684
00324,7.96369
00325,14.14388
00326,2.08208
00327,7.46342
00328,1.42680
00329,0.04856
00330,8.44841
00331,4.14683
00332,3.95776
00333,9.04963
00334,2.30273
00335,9.23235
00336,0.64936
00337,-0.24273
00338,3.67217
00339,5.97935
00340,5.38194
00341,8.23406
00342,3.74785
00343,2.78803
00344,0.58701
00345,-0.16591
00346,9.61504
00347,7.14834
00348,-0.36839
00349,3.22115
00350,1.51233
00351,0.18241
00352,0.07850
00353,0.38903
00354,1.34761
00355,-0.09016
00356,0.95713
00357,0.70301
00358,2.60949
00359,-0.30884
00360,0.14172
00361,-0.07426
00362,0.03995
00363,0.00000
00364,0.00000
00365,0.00000
00366,0.00000
00367,0.00000
00368,0.00000
00369,0.00129
00370,-0.00305
00371,0.00613
00372,-0.01214
00373,0.03054
00374,0.15775
00375,-0.02111
00376,0.00959
00377,-0.00490
00378,0.00235
00379,0.00000
00380,0.00000
00381,0.00000
00382,0.00000
00383,0.00000
00384,0.00000
00385,0.03860
00386,0.13370
00387,-0.30047
00388,0.58993
00389,-1.06271
00390,12.70766
00391,10.26614
00392,-1.38232
00393,0.33445
00394,2.27707
00395,17.24384
00396,7.30185
00397,-1.06785
00398,13.35192
00399,9.14947
00400,-1.66391
00401,7.15715
00402,5.57373
00403,-1.48614
00404,10.71682
00405,2.80329
00406,12.67219
00407,4.51665
00408,16.63503
00409,20.65289
00410,45.19440
00411,31.52268
00412,42.10185
00413,38.17984
00414,39.43819
00415,29.06236
00416,31.59590
00417,27.19161
00418,33.43652
00419,34.98970
00420,40.05515
00421,38.80439
00422,34.70184
00423,35.24520
00424,43.33068
00425,35.93982
00426,35.31998
00427,40.56322
00428,43.84433
00429,34.92460
00430,43.10590
00431,40.68011
00432,42.18982
00433,43.91842
00434,42.79936
00435,47.07487
00436,43.34645
00437,36.27299
00438,41.71186
00439,36.47871
00440,38.23170
00441,41.78128
00442,40.96278
00443,37.85347
00444,0.70647
00445,57.42588
00446,22.85472
00447,6.16797
00448,39.07295
00449,34.83069
00450,88.74432
00451,-4.67113
00452,58.77264
00453,87.55189
00454,-2.31718
00455,48.43948
00456,1.19681
00457,14.93073
00458,7.44708
00459,9.34467
00460,20.63715
00461,8.28795
00462,15.75477
00463,-0.15104
00464,9.67933
00465,10.61765
00466,17.08666
00467,15.31259
00468,4.41269
00469,16.52672
00470,0.79598
00471,17.05720
00472,5.93969
00473,6.91257
00474,16.61610
00475,0.59984
00476,12.51193
00477,2.95952
00478,15.90073
00479,1.82275
00480,14.97557
00481,7.49638
00482,12.59581
00483,4.76298
00484,3.35885
00485,0.54061
00486,7.01987
00487,10.65185
00488,3.29201
00489,3.53202
00490,7.91642
00491,5.71704
00492,5.13448
00493,1.97015
00494,3.13585
00495,3.03906
00496,2.00779
00497,2.53525
00498,6.04571
00499,1.21536
00500,4.08735
00501,3.13775
00502,-0.17447
00503,0.12340
00504,0.71261
00505,1.22123
00506,0.25020
00507,0.05341
00508,1.50772
00509,1.72669
00510,0.19625
00511,-0.03387
00512,0.01880
00513,-0.01432
00514,0.02342
00515,0.09443
00516,0.50378
00517,0.07947
00518,-0.03030
00519,0.01534
00520,-0.00786
00521,0.00386
00522,0.00000
00523,0.00000
00524,0.00000
00525,0.00000
00526,0.00000
00527,0.00000
00528,0.00000
00529,0.00000
00530,0.00000
00531,0.00000
00532,0.00000
00533,0.00000
00534,0.00000
00535,0.00000
00536,0.00000
00537,0.00000
00538,0.00263
00539,-0.00597
00540,0.01186
00541,-0.02384
00542,0.06693
00543,0.15811
00544,-0.07362
00545,0.09728
00546,-0.15244
00547,0.73493
00548,0.89889
00549,0.08040
00550,-0.03434
00551,6.07084
00552,7.28824
00553,0.37846
00554,5.83122
00555,7.21498
00556,-0.73153
00557,8.38411
00558,1.16457
00559,5.01380
00560,1.76650
00561,1.21582
