index,y
00000,3.30319
00001,4.38835
00002,3.22981
00003,0.87282
00004,5.44762
00005,6.51050
00006,4.10088
00007,4.22910
00008,7.00065
00009,9.09499
00010,3.17725
00011,2.77236
00012,2.31935
00013,3.38148
00014,3.21266
00015,5.51841
00016,0.85534
00017,9.23980
00018,6.12532
00019,4.49411
00020,1.87603
00021,0.96619
00022,2.16080
00023,5.14098
00024,3.62973
00025,6.82956
00026,3.06101
00027,6.87238
00028,3.87018
00029,0.64804
00030,5.22643
00031,5.25525
00032,5.46887
00033,8.45412
00034,4.68631
00035,3.39541
00036,2.23890
00037,5.36315
00038,1.99698
00039,2.34524
00040,2.56421
00041,9.42525
00042,3.86102
00043,1.95579
00044,1.84298
00045,3.09974
00046,3.19975
00047,2.11640
00048,1.98418
00049,6.89873
00050,4.14395
00051,3.78084
00052,2.72484
00053,4.00448
00054,3.38375
00055,4.73458
00056,5.29258
00057,8.99629
00058,3.71968
00059,5.19291
00060,5.81230
00061,4.96166
00062,1.26915
00063,2.32486
00064,5.75428
00065,10.06929
00066,3.44489
00067,1.72492
00068,4.03174
00069,7.22790
00070,4.96917
00071,2.78673
00072,2.87954
00073,8.35298
00074,5.55758
00075,5.08136
00076,4.35700
00077,2.86436
00078,3.45130
00079,3.07100
00080,2.82565
00081,7.33438
00082,4.66022
00083,4.82615
00084,5.78117
00085,4.03329
00086,0.37527
00087,3.12741
00088,3.60584
00089,7.83068
00090,3.97504
00091,2.75986
00092,3.57772
00093,2.49050
00094,1.84416
00095,2.55551
00096,3.07058
00097,7.73765
00098,2.12977
00099,4.07292
00100,5.36463
00101,4.50456
00102,1.97508
00103,2.41432
00104,2.58576
00105,7.83698
00106,5.75879
00107,2.83551
00108,6.15176
00109,6.66475
00110,3.94854
00111,4.12245
00112,7.17408
00113,12.20185
00114,4.69114
00115,3.21542
00116,3.11470
00117,1.59083
00118,2.19986
00119,3.16254
00120,4.65954
00121,5.54456
00122,1.90761
00123,2.70213
00124,5.15197
00125,2.91429
00126,2.34189
00127,5.77551
00128,6.02734
00129,7.22318
00130,2.34183
00131,3.55088
00132,7.04899
00133,6.01453
00134,4.45256
00135,4.98787
00136,3.82554
00137,10.67428
00138,3.21435
00139,2.14588
00140,5.43782
00141,6.22011
00142,2.42609
00143,2.06798
00144,2.14032
00145,2.59222
00146,2.48891
00147,3.69452
00148,5.75743
00149,7.36519
00150,3.62214
00151,6.31470
00152,4.42148
00153,4.20988
00154,4.51402
00155,4.26538
00156,3.64356
00157,4.08447
00158,4.32427
00159,5.89456
00160,4.28011
00161,5.05397
00162,3.64509
00163,1.64156
00164,5.07651
00165,5.73469
00166,2.85683
00167,2.09705
00168,1.92667
00169,3.42867
00170,3.77967
00171,3.75509
00172,5.09884
00173,4.98399
00174,5.79759
00175,4.53386
00176,1.50538
00177,2.90400
00178,5.49830
00179,4.44635
00180,5.71759
00181,4.65978
00182,3.22515
00183,2.14893
00184,2.68897
00185,2.91979
00186,3.76743
00187,5.92209
00188,6.53195
00189,5.56887
00190,3.71233
00191,4.95862
00192,5.18934
00193,3.85205
00194,2.30167
00195,3.86193
00196,4.74730
00197,4.11445
00198,4.78564
00199,2.68480
00200,1.90336
00201,3.04324
00202,3.76012
00203,2.80119
00204,4.80917
00205,5.43895
00206,5.59336
00207,3.55818
00208,6.10042
00209,6.34668
00210,6.13712
00211,3.16512
00212,4.23748
00213,5.07965
00214,1.87470
00215,3.23676
00216,3.62550
00217,1.30553
00218,1.72256
00219,2.00620
00220,4.60241
00221,3.58629
00222,4.89722
00223,6.43190
00224,3.64191
00225,1.01816
00226,4.15391
00227,3.91729
00228,2.44289
00229,3.21336
00230,3.24604
00231,3.95019
00232,5.09665
00233,5.23603
00234,5.45774
00235,3.91083
00236,4.17851
00237,3.67909
00238,2.01174
00239,3.35832
00240,4.04202
00241,1.27998
00242,3.92020
00243,4.14481
00244,1.93777
00245,3.03370
00246,4.94520
00247,4.94392
00248,2.65850
00249,4.37946
00250,6.28553
00251,6.02441
00252,5.10676
00253,3.66817
00254,6.56880
00255,7.57628
00256,4.17818
00257,2.54614
00258,4.43129
00259,6.58794
00260,6.12459
00261,0.73184
00262,2.30615
00263,5.41097
00264,4.54350
00265,1.92062
00266,3.12911
00267,4.17863
00268,4.33475
00269,1.43517
00270,5.69316
00271,5.47364
00272,6.23632
00273,7.86179
00274,5.90055
00275,3.76295
00276,5.62690
00277,3.59278
00278,2.32243
00279,2.38523
00280,1.97667
00281,3.89209
00282,5.58566
00283,2.88501
00284,1.02057
00285,2.40620
00286,5.99086
00287,4.07964
00288,3.93784
00289,1.53755
00290,3.20140
00291,3.33745
00292,4.62902
00293,5.43576
00294,6.83639
00295,5.69583
00296,3.66734
00297,4.34101
00298,2.67032
00299,5.57382
00300,5.72496
00301,4.59858
00302,1.81006
00303,4.42399
00304,5.70013
00305,3.76020
00306,5.84846
00307,4.01953
00308,1.54789
00309,5.04286
00310,4.27150
00311,3.14484
00312,4.71232
00313,3.45291
00314,4.60127
00315,4.45935
00316,4.48323
00317,1.62873
00318,3.42071
00319,3.73928
00320,6.45559
00321,7.27890
00322,3.12197
00323,5.51049
00324,2.92005
00325,3.41361
00326,3.09614
00327,4.05301
00328,6.80254
00329,6.32309
00330,2.52847
00331,4.00376
00332,3.74559
00333,2.70992
00334,2.98543
00335,2.30353
00336,3.23838
00337,4.76730
00338,2.30219
00339,5.75557
00340,6.23086
00341,5.41404
00342,4.00456
00343,6.63448
00344,9.33441
00345,9.13134
00346,5.04124
00347,4.98706
00348,4.49399
00349,3.86113
00350,2.01887
00351,5.47205
00352,5.03784
00353,5.27484
00354,4.22164
00355,3.93923
00356,2.64114
00357,3.45293
00358,4.82391
00359,2.56551
00360,2.05031
00361,2.87173
00362,3.24271
00363,4.63493
00364,5.89762
00365,3.61594
00366,5.71434
00367,5.94880
00368,4.59187
00369,6.01209
00370,6.27412
00371,3.84754
00372,-0.76481
00373,6.83050
00374,11.61342
00375,5.74864
00376,4.37238
00377,10.00858
00378,0.18144
00379,11.80803
00380,17.87627
00381,-1.28650
00382,6.20564
00383,13.68299
00384,0.94388
00385,-0.37396
00386,6.90036
00387,5.77886
00388,1.37469
00389,3.10192
00390,2.24620
00391,2.87171
00392,8.20149
00393,12.21432
00394,6.00406
00395,5.41681
00396,8.50392
00397,4.71516
00398,0.02791
00399,3.52834
00400,5.76193
00401,3.27381
00402,0.03547
00403,3.15587
00404,5.32874
00405,2.50723
00406,1.89741
00407,4.73383
00408,9.20334
00409,3.77466
00410,2.61118
00411,7.58134
00412,4.62893
00413,1.05338
00414,2.72207
00415,2.98504
00416,4.25210
00417,4.71574
00418,5.53606
00419,6.91818
00420,3.04061
00421,7.31969
00422,4.84745
00423,4.89339
00424,6.23308
00425,10.10878
00426,4.57977
00427,2.18241
00428,4.37665
00429,3.49525
00430,2.48632
00431,3.39669
00432,3.13705
00433,1.56755
00434,4.42039
00435,6.48527
00436,2.56350
00437,5.15601
00438,7.38089
00439,4.68875
00440,1.58531
00441,6.70312
00442,6.39104
00443,4.32541
00444,3.60236
00445,3.69398
00446,2.32754
00447,2.84920
00448,3.48545
00449,3.46782
00450,5.53557
00451,3.98757
00452,6.32507
00453,5.81234
00454,5.22388
00455,7.77530
00456,3.80755
00457,2.56630
00458,4.00696
00459,2.43391
00460,-0.06763
00461,0.66900
00462,5.15002
00463,4.48616
00464,2.83631
00465,2.81003
00466,3.00321
00467,9.10733
00468,8.30520
00469,8.32081
00470,5.43577
00471,3.60876
00472,4.86757
00473,3.74666
00474,1.76377
00475,3.27478
00476,5.32549
00477,6.41614
00478,5.57209
00479,1.75432
00480,1.62811
00481,4.17193
00482,3.58264
00483,0.95058
00484,4.74213
00485,4.41939
