index,y
00000,6.58940
00001,9.47333
00002,15.72124
00003,20.26966
00004,16.78924
00005,5.00485
00006,-0.37826
00007,3.64286
00008,10.21522
00009,5.79652
00010,0.26390
00011,7.92569
00012,8.29615
00013,4.40133
00014,2.85702
00015,0.16729
00016,1.81724
00017,2.45999
00018,0.89932
00019,3.66265
00020,8.00817
00021,11.36604
00022,6.83065
00023,0.34283
00024,1.53047
00025,2.64921
00026,7.90382
00027,6.99297
00028,3.47692
00029,-0.40749
00030,1.76821
00031,2.97410
00032,3.95028
00033,6.07700
00034,4.77051
00035,0.80808
00036,3.33957
00037,13.54479
00038,12.35860
00039,1.70095
00040,0.69148
00041,7.17247
00042,7.32367
00043,2.90116
00044,1.75883
00045,0.52951
00046,0.05569
00047,9.19922
00048,7.77445
00049,1.05465
00050,4.73819
00051,2.28428
00052,1.35547
00053,5.29134
00054,2.51395
00055,-0.63513
00056,8.85618
00057,5.92430
00058,-0.82509
00059,5.64209
00060,3.14532
00061,1.61369
00062,2.54294
00063,1.62833
00064,1.85623
00065,5.42221
00066,5.38835
00067,3.98681
00068,3.92621
00069,6.44074
00070,8.07610
00071,3.95992
00072,0.86320
00073,1.15027
00074,3.84127
00075,1.71660
00076,4.51136
00077,7.30676
00078,3.56631
00079,2.81804
00080,4.06459
00081,0.06080
00082,1.80411
00083,5.91183
00084,1.02119
00085,-0.54220
00086,1.94412
00087,5.06294
00088,7.54203
00089,3.58205
00090,0.18360
00091,-0.68649
00092,6.80977
00093,7.43262
00094,0.32887
00095,1.54918
00096,6.74480
00097,1.20162
00098,11.33915
00099,10.41170
00100,1.42670
00101,8.11063
00102,6.11786
00103,1.88567
00104,2.57873
00105,3.15796
00106,1.77966
00107,1.23569
00108,2.81908
00109,4.76750
00110,0.76624
00111,3.44885
00112,6.79802
00113,-0.00388
00114,4.32301
00115,6.44561
00116,3.50407
00117,2.13294
00118,10.27880
00119,9.05299
00120,1.64929
00121,1.44930
00122,3.69830
00123,0.48285
00124,6.20903
00125,8.96079
00126,0.81144
00127,3.29354
00128,5.49256
00129,5.64247
00130,6.83221
00131,7.19687
00132,4.60809
00133,3.15597
00134,0.76032
00135,0.94165
00136,6.16758
00137,9.79839
00138,12.20078
00139,5.97036
00140,0.18460
00141,3.87925
00142,4.46775
00143,3.12171
00144,6.01613
00145,3.38537
00146,3.32413
00147,5.85416
00148,8.12578
00149,3.06684
00150,-1.89323
00151,11.17516
00152,13.14330
00153,1.00117
00154,2.22544
00155,1.07082
00156,3.85494
00157,11.81790
00158,5.55398
00159,4.92093
00160,3.50762
00161,0.81776
00162,2.64504
00163,-0.27682
00164,6.26332
00165,9.06691
00166,1.22183
00167,4.73609
00168,3.56477
00169,3.46928
00170,5.94418
00171,7.11701
00172,1.99346
00173,1.44846
00174,2.84279
00175,7.44398
00176,7.32257
00177,6.34389
00178,6.59588
00179,4.76436
00180,-0.27040
00181,4.95288
00182,7.78163
00183,5.83392
00184,4.10548
00185,3.47957
00186,0.56557
00187,2.78663
00188,6.65627
00189,5.18240
00190,5.53624
00191,4.37225
00192,3.21196
00193,9.41367
00194,5.97099
00195,2.12229
00196,2.66611
00197,3.03647
00198,6.77826
00199,4.32760
00200,-0.83407
00201,4.36536
00202,8.66879
00203,3.18563
00204,0.84397
00205,3.05652
00206,2.25743
00207,4.23436
00208,5.81223
00209,5.80102
00210,2.34545
00211,0.33033
00212,3.91568
00213,3.24190
00214,1.39296
00215,5.73969
00216,4.64752
00217,4.41571
00218,4.26687
00219,1.31779
00220,1.46095
00221,6.84922
00222,6.76641
00223,0.58330
00224,-0.07034
00225,1.47516
00226,3.76348
00227,4.43771
00228,6.15370
00229,8.37143
00230,5.95989
00231,4.38395
00232,2.54632
00233,0.46470
00234,1.25801
00235,3.56635
00236,5.93169
00237,6.41213
00238,3.62528
00239,0.02207
00240,1.95661
00241,2.94151
00242,3.60417
00243,2.99889
00244,0.00589
00245,2.86023
00246,7.56780
00247,4.47865
00248,3.24383
00249,4.07135
00250,3.46038
00251,6.10920
00252,3.03280
00253,2.20342
00254,1.61644
00255,1.25838
00256,5.80289
00257,3.72216
