index,y
00000,6.79992
00001,2.82101
00002,0.72142
00003,6.78455
00004,4.23618
00005,2.08122
00006,1.56664
00007,3.64787
00008,1.15392
00009,4.75116
00010,4.95051
00011,-0.03433
00012,1.91115
00013,3.14300
00014,1.82374
00015,-0.19790
00016,1.41413
00017,4.55897
00018,1.11036
00019,-0.01618
00020,0.32203
00021,1.84883
00022,1.21385
00023,-0.45672
00024,0.85293
00025,0.39853
00026,-0.09876
00027,0.11545
00028,0.38313
00029,1.20392
00030,1.02428
00031,-0.31112
00032,0.34184
00033,1.00144
00034,-0.00740
00035,0.00480
00036,0.59554
00037,0.91521
00038,0.31273
00039,0.49979
00040,0.59502
00041,0.52991
00042,0.71780
00043,-0.19727
00044,0.80157
00045,1.24892
00046,-0.33213
00047,0.23779
00048,-0.21703
00049,1.41049
00050,1.22624
00051,0.69290
00052,2.64751
00053,-0.10070
00054,6.75741
00055,7.47338
00056,-0.93982
00057,4.02665
00058,2.33857
00059,4.32952
00060,4.98627
00061,-1.00805
00062,4.60697
00063,2.36562
00064,1.48956
00065,-0.87883
00066,4.31186
00067,2.19950
00068,3.99430
00069,5.18431
00070,6.22761
00071,6.78905
00072,9.13451
00073,10.51334
00074,3.89209
00075,6.35146
00076,7.36825
00077,4.94322
00078,6.08269
00079,5.03487
00080,5.99114
00081,8.55912
00082,9.18370
00083,9.79493
00084,12.83772
00085,8.45861
00086,10.36540
00087,12.59105
00088,7.05024
00089,7.37385
00090,13.91875
00091,11.59972
00092,11.60232
00093,12.04584
00094,9.67741
00095,14.58666
00096,12.61197
00097,14.88334
00098,12.39629
00099,7.94900
00100,9.01319
00101,9.75331
00102,9.39221
00103,10.01623
00104,13.54913
00105,7.73354
00106,6.01872
00107,12.15830
00108,1.69724
00109,12.73833
00110,9.84184
00111,5.02581
00112,10.07760
00113,1.86916
00114,6.45725
00115,2.26748
00116,5.47612
00117,14.64363
00118,4.94458
00119,4.16973
00120,12.67049
00121,3.71648
00122,5.37650
00123,8.32491
00124,6.53948
00125,0.71326
00126,3.68024
00127,7.83901
00128,5.71375
00129,4.65871
00130,12.12221
00131,6.35140
00132,0.59131
00133,10.48356
00134,5.57051
00135,9.97109
00136,5.53646
00137,3.39091
00138,6.23895
00139,2.61481
00140,4.69508
00141,4.03202
00142,4.95043
00143,5.41616
00144,4.67240
00145,-0.77188
00146,4.67613
00147,5.57676
00148,3.17327
00149,5.26952
00150,4.37065
00151,3.41681
00152,3.29086
00153,3.99184
00154,4.54733
00155,1.87914
00156,2.45724
00157,2.67766
00158,4.03179
00159,4.02604
00160,1.98003
00161,2.10553
00162,4.07153
00163,1.67271
00164,2.12260
00165,3.03451
00166,5.02515
00167,5.15069
00168,1.98588
00169,1.90960
00170,2.96881
00171,4.49252
00172,2.38823
00173,3.15199
00174,2.48847
00175,3.68815
00176,3.30137
00177,1.59949
00178,4.46474
00179,1.16862
00180,0.99582
00181,0.21811
00182,0.73413
00183,0.55379
00184,0.99606
00185,0.13864
00186,0.05577
00187,-0.12953
00188,0.41330
00189,1.06728
00190,-0.45075
00191,1.39443
00192,0.46459
00193,-0.27577
00194,0.71474
00195,0.00272
00196,0.48153
00197,1.29460
00198,-0.28197
00199,0.16657
00200,-0.13972
00201,0.35056
00202,3.36775
00203,1.56018
00204,0.44247
00205,0.92468
00206,2.23970
00207,1.85338
00208,0.33246
00209,-0.60418
00210,2.73048
00211,1.69520
00212,1.11460
00213,2.84497
00214,-0.44734
00215,3.70958
00216,1.77152
00217,3.94697
00218,5.15068
00219,0.12953
00220,1.69892
00221,1.58822
00222,4.68979
00223,4.37020
00224,8.69817
00225,5.27762
00226,4.20300
00227,2.14894
00228,4.64011
