index,y
00000,5.44291
00001,3.06112
00002,5.62978
00003,3.02799
00004,-0.71001
00005,16.05511
00006,1.91685
00007,55.79314
00008,49.75693
00009,20.38909
00010,15.25293
00011,-0.29378
00012,23.07649
00013,54.89931
00014,0.73716
00015,0.55450
00016,0.33638
00017,-0.43260
00018,4.53704
00019,4.03856
00020,-2.29086
00021,3.29441
00022,-5.78945
00023,21.87096
00024,63.42161
00025,14.10601
00026,42.04074
00027,19.23967
00028,13.23560
00029,-3.36048
00030,9.62403
00031,4.67878
00032,14.72157
00033,9.07305
00034,0.08212
00035,0.41547
00036,-0.47278
00037,10.32699
00038,37.84609
00039,31.04612
00040,8.55593
00041,5.50152
00042,-3.45102
00043,24.29149
00044,18.19209
00045,11.69420
00046,20.35577
00047,10.81994
00048,7.05295
00049,4.16067
00050,-0.25010
00051,24.45037
00052,17.85112
00053,-5.93446
00054,6.75087
00055,20.22295
00056,20.60315
00057,20.47682
00058,53.78532
00059,24.70355
00060,-1.68359
00061,4.47045
00062,12.52608
00063,5.68876
00064,16.18448
00065,8.73288
00066,-0.90531
00067,1.63854
00068,-2.73219
00069,13.72200
00070,10.70687
00071,18.10461
00072,9.50921
00073,1.48508
00074,0.19964
00075,6.93243
00076,10.25044
00077,2.26296
00078,11.79227
00079,15.63954
00080,-1.12165
00081,13.44538
00082,8.97780
00083,6.55155
00084,-1.52065
00085,8.74888
00086,14.87079
00087,-3.26645
00088,13.38445
00089,12.10044
00090,10.48544
00091,19.35366
00092,19.20329
00093,8.42288
00094,13.94178
00095,5.47696
00096,0.29692
00097,12.65706
00098,10.67829
00099,1.72741
00100,19.25036
00101,9.30144
00102,-1.52295
00103,1.17440
00104,4.09922
00105,26.88288
00106,15.40130
00107,1.22486
00108,8.90561
00109,4.95288
00110,0.52335
00111,3.65859
00112,3.07477
00113,17.25750
00114,4.03944
00115,-1.28488
00116,1.55251
00117,11.43908
00118,7.19856
00119,1.97829
00120,7.50147
00121,9.89811
00122,-0.84417
00123,2.01299
00124,4.72028
00125,20.40872
00126,14.35288
00127,3.26275
00128,0.69176
00129,1.27148
00130,6.63364
00131,12.66957
00132,2.45965
00133,5.04491
00134,2.04472
00135,3.30043
00136,15.68542
00137,8.17690
00138,6.93891
00139,13.72874
00140,8.28769
00141,7.91339
00142,7.83145
00143,1.93088
00144,10.14810
00145,-1.77885
00146,11.43772
00147,14.40506
00148,2.95189
00149,0.35012
00150,5.71845
00151,18.76244
00152,8.33528
00153,2.21512
00154,5.25857
00155,9.66616
00156,9.05064
00157,7.86952
00158,2.40798
00159,7.46992
00160,6.02768
00161,5.71819
00162,0.29306
00163,5.96676
00164,-0.05537
00165,1.83512
00166,8.45020
00167,-1.30068
00168,5.79837
00169,19.64126
00170,12.45461
00171,2.01033
00172,11.63622
00173,11.35914
00174,3.98280
00175,2.98018
00176,3.69723
00177,0.22852
00178,5.41206
00179,1.74867
00180,4.24095
00181,17.16171
00182,12.26252
00183,-1.30100
00184,5.63423
00185,-2.13751
00186,10.68383
00187,12.06378
00188,10.56551
00189,15.44334
00190,0.19029
00191,-0.65025
00192,14.99996
00193,5.01181
00194,0.18768
00195,3.43638
00196,10.41413
00197,3.55234
00198,0.19801
00199,14.24087
00200,1.50113
00201,1.24720
00202,14.54999
00203,21.89876
00204,4.81807
00205,-1.94610
00206,6.13551
00207,11.16621
00208,2.56779
00209,14.34630
00210,3.89552
00211,-0.06014
00212,0.44533
00213,1.34237
00214,7.66519
00215,-0.00435
00216,9.13044
00217,17.50830
00218,6.12675
00219,6.44722
00220,7.32742
00221,0.40871
00222,5.88346
00223,15.79894
00224,9.12037
00225,0.52969
00226,5.84384
00227,9.14745
00228,12.26921
00229,5.93516
00230,0.08144
00231,4.86540
00232,1.75271
00233,2.89547
00234,6.89482
00235,11.54499
00236,10.40284
00237,5.17713
00238,9.78838
00239,10.36520
00240,-4.27078
00241,8.57451
00242,5.72921
00243,13.90666
00244,4.47227
00245,3.87596
00246,13.24374
00247,7.98648
00248,3.29482
00249,12.96320
00250,-2.46902
00251,26.17739
00252,8.15786
00253,1.45952
00254,4.67007
00255,-4.11370
00256,17.48343
00257,28.93065
00258,2.38583
00259,11.23422
00260,8.20044
00261,0.18690
00262,-0.17229
00263,2.33420
00264,-0.16943
00265,4.31918
00266,26.10941
00267,4.78639
00268,7.63969
00269,7.34255
00270,5.35634
00271,1.11610
00272,6.97207
00273,15.88431
00274,1.82641
00275,4.46341
00276,4.01558
00277,7.63222
00278,1.77623
00279,-0.16964
00280,2.48774
00281,15.47637
00282,7.59419
00283,11.92955
00284,8.52959
00285,3.49223
00286,10.89212
00287,2.16860
00288,-0.19971
00289,2.86989
00290,-0.08469
00291,18.82726
00292,11.14574
00293,0.70354
00294,8.72693
00295,8.64332
00296,7.79741
00297,11.61298
00298,7.69801
00299,19.87781
00300,8.71449
00301,2.95840
00302,0.88185
00303,4.03271
00304,8.53506
00305,4.50376
00306,25.23217
00307,10.80292
00308,-1.08288
00309,2.19226
00310,-0.47227
00311,3.05967
00312,19.10642
00313,3.47851
00314,5.32439
00315,5.43372
00316,1.66630
00317,8.36808
00318,16.79077
00319,17.15164
00320,-2.70175
00321,2.41329
00322,-2.61829
00323,19.88719
00324,15.50879
00325,12.16005
00326,5.56022
00327,4.07725
00328,3.34501
00329,-1.55759
00330,12.44606
00331,22.51244
00332,9.92086
00333,1.66892
00334,-2.46292
00335,11.03214
00336,8.41261
00337,6.61756
00338,25.65539
00339,14.27621
00340,9.39616
00341,-1.79477
00342,13.53948
00343,2.62373
00344,4.04196
00345,3.12916
00346,3.32638
00347,10.41968
00348,14.45081
00349,5.96356
00350,3.94001
00351,1.77230
00352,9.70602
00353,1.71296
00354,7.47901
00355,3.76004
00356,-0.84974
00357,3.17685
00358,2.90358
00359,12.53167
00360,7.71017
00361,20.47552
00362,1.56403
00363,3.26297
00364,8.28958
00365,3.02441
00366,6.73849
00367,4.39090
00368,-5.15272
00369,25.93490
00370,22.72170
00371,-4.75986
00372,6.96400
00373,3.27882
00374,1.27317
00375,1.07552
00376,0.43011
00377,7.85338
00378,1.17660
00379,5.74806
00380,3.96502
00381,11.25038
00382,8.69926
00383,1.31491
00384,2.61892
00385,10.90488
00386,11.30536
00387,2.40893
00388,1.17521
00389,16.02627
00390,6.00905
00391,1.10405
00392,2.28658
00393,0.13754
00394,1.68863
00395,12.81420
00396,3.51783
00397,0.53701
00398,-2.22627
00399,9.98437
00400,19.42313
00401,9.60052
00402,13.49272
00403,6.87157
00404,5.19204
00405,0.04124
00406,4.29007
00407,5.70533
00408,9.90942
00409,2.97199
00410,16.37086
00411,1.03551
00412,1.18688
00413,-1.30962
00414,12.43019
00415,18.42532
00416,9.89940
00417,1.58563
00418,3.59324
00419,7.28187
00420,16.67831
00421,5.78978
00422,-1.96810
00423,13.74492
00424,7.11995
00425,3.29608
00426,0.30508
00427,7.10185
00428,3.80908
00429,2.82132
00430,4.15815
00431,-1.57819
00432,10.15691
00433,13.94722
00434,14.39674
00435,13.08998
00436,-2.26180
00437,2.44687
00438,6.88905
00439,5.27453
00440,19.14532
00441,5.68164
00442,1.21884
00443,1.03808
00444,0.10870
00445,3.32951
00446,3.17554
00447,4.49497
00448,14.74502
00449,0.43040
00450,7.24828
00451,9.10020
00452,8.50967
00453,7.68833
00454,4.59400
00455,4.35494
00456,-1.18889
00457,8.95878
00458,6.88448
00459,2.49103
00460,2.02767
00461,2.63906
00462,10.37437
00463,6.01970
00464,9.16982
00465,18.46444
00466,10.14099
00467,3.15109
00468,-0.71263
00469,1.80071
00470,3.35590
00471,4.52198
00472,13.61149
00473,5.62235
00474,-1.22557
00475,7.22025
00476,6.62171
00477,-0.01864
00478,2.33439
00479,10.76287
00480,12.15919
00481,-0.54922
00482,4.43694
00483,1.99701
00484,2.49774
00485,6.78240
00486,4.22934
00487,2.21100
00488,8.40640
00489,5.17074
00490,7.87602
00491,2.07265
00492,13.12622
00493,3.31931
00494,2.11295
00495,3.46632
00496,-1.38551
00497,9.60708
00498,13.54596
00499,1.97070
00500,4.78652
00501,1.44678
00502,4.12491
00503,0.76911
00504,10.36307
00505,13.24521
00506,7.96026
00507,-0.67680
00508,2.66940
00509,6.94334
