index,y
00000,0.41822
00001,5.17705
00002,3.62218
00003,1.51889
00004,3.33716
00005,3.94568
00006,3.29014
00007,6.05718
00008,4.34842
00009,3.96065
00010,10.51362
00011,7.59326
00012,2.04589
00013,3.35331
00014,2.25160
00015,1.54537
00016,3.52867
00017,4.93102
00018,3.20102
00019,2.73106
00020,3.49938
00021,5.14793
00022,3.66471
00023,4.71529
00024,3.91326
00025,0.55154
00026,1.53610
00027,4.19157
00028,3.16225
00029,2.06272
00030,2.86297
00031,7.66629
00032,5.33826
00033,6.99679
00034,4.99649
00035,4.24862
00036,2.68887
00037,2.86499
00038,5.58752
00039,1.42916
00040,2.78270
00041,2.82980
00042,5.49214
00043,7.72289
00044,5.49266
00045,0.99699
00046,2.54701
00047,5.41827
00048,1.48228
00049,3.09143
00050,2.99345
00051,0.27545
00052,1.96102
00053,4.54386
00054,3.84004
00055,4.44823
00056,4.74504
00057,4.15535
00058,3.91259
00059,2.34738
00060,5.72767
00061,4.81222
00062,4.64391
00063,3.63007
00064,3.51358
00065,3.86388
00066,3.63957
00067,3.69520
00068,5.55020
00069,2.90205
00070,4.06207
00071,3.59614
00072,2.97118
00073,4.03878
00074,5.01149
00075,3.76679
00076,3.68726
00077,2.76499
00078,3.13743
00079,4.15897
00080,3.87969
00081,4.35686
00082,4.08079
00083,4.98075
00084,0.99244
00085,3.30248
00086,7.10204
00087,5.82010
00088,2.97580
00089,2.76759
00090,4.36774
00091,4.02934
00092,1.33137
00093,3.71016
00094,3.59319
00095,2.08773
00096,2.72156
00097,3.97287
00098,2.21192
00099,2.45599
00100,3.17197
00101,2.40451
00102,2.74377
00103,7.99902
00104,4.01054
00105,1.26698
00106,2.55412
00107,3.36280
00108,3.32573
00109,4.62617
00110,6.75576
00111,3.09948
00112,4.38990
00113,6.50083
00114,5.80114
00115,4.73383
00116,5.80905
00117,0.62653
00118,-0.07752
00119,3.23494
00120,3.78226
00121,0.98534
00122,0.75608
00123,1.61146
00124,7.07611
00125,4.70155
00126,-0.36686
00127,2.92212
00128,4.33695
00129,3.82948
00130,4.05782
00131,1.49322
00132,3.03285
00133,4.35501
00134,4.53073
00135,6.35439
00136,4.73599
00137,3.90155
00138,4.90298
00139,10.69281
00140,5.10362
00141,3.79802
00142,3.58243
00143,4.27533
00144,4.62246
00145,5.63339
00146,3.73036
00147,1.22716
00148,1.10020
00149,1.40938
00150,2.89552
00151,4.27660
00152,4.76305
00153,3.99765
00154,3.91358
00155,4.84604
00156,3.23463
00157,3.14161
00158,2.15079
00159,2.69100
00160,1.27111
00161,2.09349
00162,2.64912
00163,3.71363
00164,4.73079
00165,2.82857
00166,4.43492
00167,4.05605
00168,3.71428
00169,4.42960
00170,3.60249
00171,3.49913
00172,1.53181
00173,5.51256
00174,2.13039
00175,0.66862
00176,1.07460
00177,2.88667
00178,5.02029
00179,4.86938
00180,3.04690
00181,4.01407
00182,4.60422
00183,7.37471
00184,4.69840
00185,3.96786
00186,3.91062
00187,4.52791
00188,6.24433
00189,2.25469
00190,1.82091
00191,4.44106
00192,4.58516
00193,2.48494
00194,2.28988
00195,0.65782
00196,0.56064
00197,2.20870
00198,3.55811
00199,4.43063
00200,4.63115
00201,3.53336
00202,4.58613
00203,6.73586
00204,4.52422
00205,2.68753
00206,5.33474
00207,5.00344
00208,0.86826
00209,6.71291
00210,4.20813
00211,1.62297
00212,7.19564
00213,4.59088
00214,4.60156
00215,4.02558
00216,2.96456
00217,5.21258
00218,3.25434
00219,2.83420
00220,2.36351
00221,0.37282
00222,-0.06153
00223,3.56670
00224,5.33926
00225,5.70135
00226,2.86569
00227,3.34465
00228,4.29021
00229,5.14740
00230,7.52232
00231,5.34675
00232,3.61450
00233,1.94824
00234,5.08360
00235,5.45547
00236,6.03399
00237,4.84842
00238,2.02493
00239,5.74572
00240,4.78811
00241,2.73445
00242,2.62889
00243,4.71409
00244,7.22465
00245,5.35228
00246,-0.17377
00247,1.94578
00248,3.82506
00249,4.34923
00250,3.06126
00251,3.71804
00252,2.48754
00253,3.25102
00254,4.49269
00255,4.76537
00256,2.88660
00257,3.93507
00258,2.82725
00259,2.40429
00260,3.19073
00261,3.18304
00262,4.27046
00263,2.18415
00264,3.95271
00265,4.07476
00266,3.45369
00267,2.60856
00268,5.01650
00269,4.46202
00270,0.74778
00271,1.55527
00272,3.62362
00273,7.56878
00274,4.39394
00275,3.41817
00276,6.83697
00277,6.51162
00278,1.15192
00279,5.99153
00280,6.38770
00281,4.38737
00282,4.01146
00283,5.67359
00284,4.08878
00285,3.10708
00286,2.55499
00287,2.05789
00288,2.35935
00289,0.91298
00290,2.09493
00291,3.84052
00292,4.69342
00293,3.88583
00294,1.77295
00295,1.00002
00296,1.21076
00297,5.35042
00298,3.96736
00299,2.30662
00300,0.63138
00301,6.55130
00302,7.71681
00303,5.07189
00304,3.27151
00305,8.03909
00306,3.43110
00307,4.77467
00308,7.65697
00309,5.39000
00310,2.12583
00311,2.87952
00312,3.24318
00313,3.63821
00314,2.36869
00315,2.93391
00316,2.04951
00317,4.54545
00318,5.98428
00319,3.30677
00320,3.42180
00321,2.87855
00322,7.05291
00323,7.30057
00324,4.86123
00325,6.49036
00326,5.16567
00327,4.03251
00328,6.38908
00329,8.37752
00330,3.87939
00331,4.20667
00332,1.35040
00333,6.51057
00334,6.86808
00335,4.20763
00336,3.72607
00337,4.92338
00338,5.02547
00339,4.28038
00340,2.16357
00341,3.59998
00342,3.33039
00343,4.30195
00344,4.78396
00345,2.89108
00346,5.65682
00347,2.04665
00348,2.41828
00349,4.28140
00350,1.65555
00351,3.60015
00352,4.59295
00353,4.40344
00354,3.97884
00355,6.98865
00356,5.90826
00357,4.60140
00358,1.16503
00359,2.14051
00360,4.51541
00361,2.14061
00362,3.04214
00363,5.02267
00364,3.23423
00365,4.22066
00366,5.04659
00367,3.37350
00368,4.17108
00369,7.79839
00370,3.71669
00371,2.68929
00372,1.02877
00373,2.63843
00374,6.67951
00375,4.89525
00376,1.35405
00377,3.26336
00378,1.52369
00379,7.02012
00380,9.74009
00381,5.70078
00382,5.20770
00383,4.22045
00384,3.30157
00385,2.13192
00386,2.18679
00387,4.36170
00388,6.12036
00389,3.07130
00390,3.43224
00391,1.43970
00392,4.46352
00393,4.12822
00394,3.10404
00395,5.36024
00396,3.06489
00397,4.86051
00398,5.44188
00399,6.09155
00400,5.82925
00401,4.45588
00402,1.70414
00403,2.67782
00404,6.84661
00405,2.99791
00406,1.44549
00407,3.59590
00408,4.90076
00409,2.59033
00410,2.64133
00411,2.13550
00412,5.27726
00413,4.29134
00414,2.45078
00415,3.47006
00416,2.66941
00417,5.17915
00418,5.15832
00419,3.09936
00420,5.94048
00421,9.74237
00422,7.61203
00423,3.88432
00424,2.79548
00425,5.29470
00426,2.49743
00427,4.64307
00428,3.97981
00429,3.48793
00430,4.10947
00431,4.29513
00432,7.31300
00433,5.20515
00434,5.04744
00435,2.23809
00436,1.31883
00437,2.89185
00438,3.75836
00439,4.04278
00440,1.45398
00441,5.13174
00442,4.41261
00443,4.09287
00444,5.75574
00445,2.70570
00446,3.09512
00447,3.98022
00448,1.20762
00449,2.59337
00450,2.70342
00451,3.28861
00452,1.18430
00453,3.54116
00454,6.67133
00455,2.11823
00456,1.31361
00457,3.90192
00458,3.44191
00459,2.50181
00460,5.35549
00461,3.69436
00462,2.29400
00463,3.22495
00464,2.93657
00465,4.76993
00466,3.31028
00467,4.87749
00468,4.70024
00469,1.91710
00470,5.86869
00471,4.76420
00472,3.84330
00473,4.88539
00474,4.79342
00475,4.95214
00476,3.38580
00477,3.42152
00478,5.45115
00479,2.01562
00480,3.65752
00481,4.02618
00482,2.37820
00483,2.59489
00484,1.15688
00485,5.58678
00486,2.32486
00487,2.12446
00488,1.08770
00489,2.09704
00490,3.60455
00491,0.93732
00492,1.62316
00493,5.28054
00494,6.83417
00495,3.83818
00496,3.31830
00497,5.34431
00498,4.81212
00499,4.74186
00500,4.07800
00501,3.24039
00502,3.42473
00503,4.08586
00504,3.35610
00505,3.33979
00506,4.08097
00507,2.28078
00508,4.37058
00509,2.48781
00510,5.25526
00511,4.85557
00512,3.93479
00513,3.70715
00514,4.41661
00515,4.21544
00516,0.40940
00517,4.86159
00518,4.63795
00519,5.79495
00520,5.27921
00521,0.98427
00522,1.42047
00523,3.60213
00524,5.91397
00525,4.13131
00526,4.69815
00527,2.22820
00528,2.33412
00529,2.83521
00530,3.79862
00531,3.95916
00532,4.96277
00533,5.40166
00534,4.73698
00535,2.74700
00536,4.62684
00537,3.22947
00538,3.51780
00539,4.68756
00540,5.98154
00541,5.33475
00542,4.80806
00543,4.01966
00544,4.99975
00545,4.75703
00546,3.62023
00547,2.29848
00548,5.22504
00549,3.73576
00550,1.39859
00551,3.32980
00552,3.71981
00553,3.27476
00554,0.39022
00555,1.55642
00556,3.00616
00557,2.00282
00558,0.77392
00559,-0.39000
00560,4.06976
00561,3.84798
00562,3.29464
00563,3.43838
00564,2.72554
00565,5.23463
00566,1.99581
00567,2.29371
00568,7.95021
00569,8.17334
00570,5.37015
00571,4.57877
00572,4.49204
00573,9.27477
00574,7.95014
00575,5.32171
00576,2.98008
00577,0.78716
00578,0.64776
00579,3.11511
00580,1.07153
00581,1.46664
00582,0.17838
00583,0.92306
00584,1.32781
00585,3.12522
00586,4.71118
00587,4.22874
00588,6.73089
00589,7.61245
00590,5.25507
00591,3.68250
00592,3.93631
00593,1.80250
00594,0.82741
00595,3.24874
00596,2.38502
00597,1.22878
00598,3.83595
00599,4.13031
00600,5.60349
00601,7.26529
00602,5.05106
00603,5.40423
00604,5.09835
00605,6.57350
00606,4.56141
00607,1.56356
00608,4.16579
00609,1.91529
00610,1.18127
00611,3.33684
00612,5.05754
00613,7.22623
00614,6.66018
