index,y
00000,5.39436
00001,6.53356
00002,2.66584
00003,2.01974
00004,7.18319
00005,4.54856
00006,-0.52188
00007,0.39313
00008,-0.04287
00009,0.03282
00010,0.10320
00011,-0.19630
00012,1.94114
00013,0.50556
00014,-0.17675
00015,0.11770
00016,0.18937
00017,8.66568
00018,7.36342
00019,1.47899
00020,5.62186
00021,21.32258
00022,17.11493
00023,7.15591
00024,-1.18588
00025,2.17093
00026,6.72466
00027,14.42285
00028,11.12510
00029,14.25619
00030,14.31919
00031,5.74081
00032,3.16966
00033,14.47569
00034,16.54047
00035,9.51332
00036,19.20610
00037,18.49853
00038,6.31340
00039,-0.20399
00040,10.75944
00041,25.82739
00042,13.63568
00043,13.34781
00044,0.39095
00045,10.14381
00046,4.23704
00047,4.31678
00048,8.17945
00049,13.66606
00050,10.91584
00051,1.94310
00052,3.82910
00053,10.67145
00054,15.95653
00055,15.19099
00056,4.68930
00057,1.32889
00058,4.83317
00059,2.71667
00060,1.91125
00061,7.69704
00062,-0.95502
00063,3.56825
00064,3.76960
00065,2.45205
00066,5.86099
00067,7.77454
00068,2.33058
00069,0.65555
00070,3.33123
00071,-0.24572
00072,6.49139
00073,7.78791
00074,-0.88866
00075,4.84787
00076,7.92716
00077,2.50090
00078,-0.31412
00079,2.35120
00080,3.28951
00081,2.83364
00082,14.71582
00083,2.35779
00084,0.10806
00085,10.86972
00086,14.96573
00087,2.87316
00088,3.34792
00089,6.64566
00090,0.83859
00091,8.15573
00092,13.60898
00093,1.35630
00094,3.88800
00095,3.90672
00096,7.95676
00097,3.98133
00098,6.80528
00099,4.22585
00100,1.75127
00101,1.48744
00102,6.52914
00103,13.22107
00104,14.20412
00105,18.91144
00106,5.23002
00107,6.63652
00108,0.22658
00109,2.09017
00110,2.18645
00111,0.90285
00112,11.86448
00113,10.28546
00114,4.31319
00115,6.09537
00116,1.25988
00117,7.90891
00118,4.81638
00119,6.28442
00120,4.36373
00121,0.21634
00122,2.12037
00123,3.03864
00124,2.38105
00125,5.41499
00126,11.02928
00127,0.84713
00128,-1.01504
00129,7.65277
00130,1.20726
00131,4.95904
00132,12.20312
00133,11.72097
00134,4.52474
00135,6.33545
00136,10.74798
