index,stft_value
00000,686.92200
00001,722.23029
00002,692.72778
00003,784.89185
00004,696.13922
00005,742.49518
00006,689.44855
00007,4445.06348
00008,25600.19531
00009,60787.39844
00010,110661.14844
00011,290111.34375
00012,1094915.00000
00013,2936359.50000
00014,5092526.50000
00015,7006670.50000
00016,8346303.50000
00017,8771094.00000
00018,8865647.00000
00019,8775946.00000
00020,8460998.00000
00021,7629132.50000
00022,5522943.00000
00023,3073701.25000
00024,1559041.37500
00025,804838.68750
00026,448461.78125
00027,303384.93750
00028,169511.18750
00029,67533.77344
00030,30312.02148
00031,17060.79688
00032,42027.75781
00033,72101.26562
00034,45380.62891
00035,19767.05469
00036,6213.25684
00037,1774.02588
00038,1063.98267
00039,864.49115
00040,791.06970
00041,797.18384
00042,697.44116
00043,740.59650
00044,683.15607
00045,651.22253
00046,693.29193
00047,706.10052
00048,647.76929
00049,621.10803
00050,632.34796
00051,623.36389
00052,655.00592
00053,692.27649
00054,630.89612
00055,686.52258
00056,672.10370
00057,613.24652
00058,745.46387
00059,787.21930
00060,757.71002
00061,315.19656
00062,387.21329
00063,347.74747
00064,409.95059
00065,331.96472
00066,399.48511
00067,331.30826
00068,3165.59302
00069,13404.53027
00070,27599.60742
00071,47825.28516
00072,139383.51562
00073,567854.50000
00074,1361115.62500
00075,2200907.00000
00076,2982964.00000
00077,3529260.00000
00078,3671480.50000
00079,3710342.50000
00080,3685798.75000
00081,3541749.00000
00082,3274204.00000
00083,2431451.75000
00084,1357740.50000
00085,686258.68750
00086,351923.40625
00087,185735.60938
00088,136832.65625
00089,80360.55469
00090,30122.81836
00091,14041.73047
00092,5996.62061
00093,22441.45312
00094,33941.42578
00095,20685.95508
00096,9598.61719
00097,3342.19385
00098,841.17108
00099,529.41156
00100,410.27808
00101,378.64557
00102,422.87003
00103,319.14761
00104,387.69489
00105,357.68066
00106,317.12027
00107,344.15283
00108,370.29044
00109,340.27271
00110,314.58157
00111,315.86853
00112,293.10092
00113,328.99933
00114,380.55441
00115,308.62640
00116,342.45142
00117,345.82565
00118,303.65204
00119,350.51352
00120,353.14185
00121,381.82074
00122,48.16501
00123,35.72487
00124,16.73383
00125,28.76173
00126,30.08935
00127,32.14556
00128,19.35357
00129,1736.83582
