index,stft_value
00000,0.79625
00001,1.51592
00002,-246.77272
00003,-136.78773
00004,-50.18133
00005,112.81232
00006,108.28438
00007,-5.15391
00008,-46.31018
00009,-82.22371
00010,-59.75916
00011,53.11261
00012,76.90205
00013,56.47939
00014,2.60237
00015,-61.45955
00016,-64.26900
00017,-16.08178
00018,40.08092
00019,48.19711
00020,39.02604
00021,-25.24464
00022,-68.67145
00023,7.22546
00024,80.78999
00025,-34.87604
00026,-73.75705
00027,-0.09581
00028,-23.50391
00029,60.16938
00030,94.90690
00031,-16.43982
00032,-75.25367
00033,-24.39508
00034,32.97792
00035,31.77417
00036,43.16774
00037,-28.24708
00038,-96.53876
00039,-64.94247
00040,67.85260
00041,136.22963
00042,-3.05216
00043,-91.51291
00044,-32.55984
00045,-10.95337
00046,-23.65371
00047,95.45029
00048,85.29739
00049,-80.54169
00050,-63.64613
00051,-29.29166
00052,-33.77018
00053,111.67569
00054,107.78728
00055,-55.70317
00056,-66.00727
00057,-69.65195
00058,-38.62705
00059,96.18211
00060,98.86900
00061,-12.48113
00062,-65.83484
00063,-63.94891
00064,-10.94814
00065,41.68628
00066,32.81099
00067,45.85135
00068,16.74773
00069,-83.73411
00070,-53.28070
00071,39.36513
00072,25.46449
00073,15.65316
00074,12.00463
00075,-25.70079
00076,1.13731
00077,12.19744
00078,-27.02917
00079,-33.91040
00080,-3.50242
00081,78.67863
00082,64.45331
00083,-81.78577
00084,-86.87504
00085,42.82122
00086,42.30634
00087,7.47621
00088,5.41045
00089,0.86808
00090,14.49357
00091,-36.79887
00092,-49.42820
00093,-14.76036
00094,7.12017
00095,114.67436
00096,110.95673
00097,-121.53484
00098,-192.36977
00099,-5.50565
00100,169.81097
00101,153.09804
00102,-64.44801
00103,-200.28943
00104,-50.33154
00105,89.18536
00106,29.31678
00107,76.56577
00108,72.90678
00109,-79.12955
00110,-71.58169
00111,-28.35940
00112,4.87401
00113,65.00008
00114,19.83603
00115,-30.42213
00116,-0.86904
00117,-16.88078
00118,-20.54624
00119,23.85102
00120,11.81932
00121,11.36176
00122,4.52604
00123,-21.79097
00124,-0.45030
00125,11.93122
00126,-11.51784
00127,-24.21432
00128,-2.48993
00129,0.58788
00130,1.24647
00131,-185.21936
00132,2.11822
00133,8.51174
00134,-32.04510
00135,9.96500
00136,22.54651
00137,-8.29631
00138,4.66271
00139,-4.41518
00140,-17.19409
00141,0.28851
00142,27.59239
00143,2.91226
00144,-5.84029
00145,15.13861
00146,-29.02173
00147,-35.32594
00148,22.70429
00149,13.57730
00150,-0.83136
00151,3.22262
00152,-7.88702
00153,21.22845
00154,27.28981
00155,-10.58768
00156,-43.48664
00157,-8.76831
00158,39.22900
00159,-10.74282
00160,-37.99386
00161,23.57228
00162,3.16837
00163,-12.51962
00164,31.03333
00165,-3.43875
00166,-23.83325
00167,1.10930
00168,1.55492
00169,-4.13570
00170,28.65423
00171,17.37698
00172,-8.96342
00173,-25.48279
00174,-21.07889
00175,35.80764
00176,33.88914
00177,-19.36909
00178,-48.78654
00179,12.70034
00180,36.53682
00181,-38.81091
00182,-27.62728
00183,20.18598
00184,21.30488
00185,18.73870
00186,-13.78072
00187,-18.07633
00188,11.39815
00189,9.21233
00190,-4.71631
00191,-17.71676
00192,6.95321
00193,27.31258
00194,-6.69263
00195,-15.26631
00196,4.03453
00197,11.71621
00198,0.63588
00199,-21.64553
00200,-6.64078
00201,26.03440
00202,-3.39831
00203,-28.64945
00204,6.97689
00205,17.97517
00206,-0.42661
00207,-4.76882
00208,-2.78906
00209,0.37602
00210,0.21016
00211,10.37028
00212,-5.13315
00213,-26.97062
00214,17.92307
00215,19.57852
00216,-12.99193
00217,-1.27438
00218,1.36925
00219,-13.20424
00220,0.31657
00221,23.15640
00222,4.30035
00223,-13.35236
00224,3.39408
00225,0.11690
00226,-14.55340
00227,2.87552
00228,-2.35994
00229,-8.26250
00230,25.01203
00231,-8.84473
00232,-6.41902
00233,22.34455
00234,-14.62278
00235,7.29783
00236,13.76652
00237,-12.16404
00238,-15.99292
00239,0.15634
00240,11.36953
00241,-10.14968
00242,-9.72463
00243,10.43710
00244,7.82048
00245,6.78707
00246,7.97096
00247,-7.63727
00248,-9.15753
00249,-11.66473
00250,-8.38581
00251,20.73935
00252,5.79793
00253,-10.47986
00254,11.24816
00255,-9.13402
00256,-12.94634
00257,12.68837
00258,0.61259
00259,-3.15586
00260,-188.68846
00261,39.42731
00262,11.40481
00263,-34.07520
00264,-14.66645
00265,-10.73352
00266,-1.58888
00267,24.61169
00268,8.14138
00269,-21.16530
00270,-4.74214
00271,12.76595
00272,9.40534
00273,10.87814
00274,-5.98560
00275,-15.51611
00276,1.65441
00277,17.15855
00278,3.27395
00279,-29.61306
00280,-10.25504
00281,19.87524
00282,-5.48684
00283,-0.55577
00284,19.55064
00285,-14.60432
00286,-10.36644
00287,8.38222
00288,-9.69684
00289,16.54145
00290,13.13525
00291,-1.14925
00292,21.53934
00293,-35.67987
00294,-32.32562
00295,50.64684
00296,6.08243
00297,-58.29131
00298,-3.63358
00299,41.97845
00300,28.84646
00301,-8.19869
00302,-33.04275
00303,7.43906
00304,15.25642
00305,-19.06604
00306,-7.37045
00307,16.95141
00308,7.68492
00309,-14.44093
00310,3.34772
00311,-8.54437
00312,-16.77494
00313,26.80817
00314,1.48587
00315,6.86448
00316,2.99432
00317,-52.60052
00318,22.28024
00319,50.45722
00320,-32.63293
00321,-17.49688
00322,25.88439
00323,4.00175
00324,-9.14139
00325,1.27702
00326,-21.45616
00327,-12.21536
00328,36.17623
00329,7.27316
00330,-23.25783
00331,10.80159
00332,14.27714
00333,-8.33853
00334,-21.25199
00335,-3.02170
00336,30.25543
00337,-9.34179
00338,-27.84563
00339,29.76489
