index,stft_value
00000,0.60717
00001,59.36126
00002,12.56166
00003,11.96371
00004,15.73081
00005,14.86765
00006,14.42759
00007,11.58518
00008,8.08378
00009,4.04958
00010,18.50774
00011,20.82071
00012,6.99542
00013,24.89214
00014,26.04567
00015,13.45734
00016,14.05898
00017,15.87767
00018,14.67921
00019,9.40699
00020,17.92932
00021,12.75803
00022,16.49716
00023,20.14971
00024,22.47185
00025,14.98822
00026,24.76435
00027,24.21315
00028,11.77877
00029,12.15233
00030,34.31285
00031,56.60039
00032,52.31572
00033,24.23135
00034,27.75039
00035,32.12988
00036,9.78296
00037,14.78032
00038,37.22053
00039,47.63818
00040,29.80190
00041,7.24103
00042,30.60518
00043,48.97057
00044,34.11380
00045,5.11224
00046,36.02729
00047,31.39100
00048,16.70323
00049,30.09960
00050,13.57495
00051,25.21264
00052,15.36481
00053,37.58509
00054,57.91081
00055,57.47119
00056,40.53682
00057,13.93663
00058,9.14144
00059,18.68272
00060,36.51405
00061,60.70216
00062,79.65385
00063,89.46042
00064,70.01670
00065,89.45066
00066,79.59190
00067,60.59044
00068,36.41858
00069,18.68553
00070,9.25374
00071,14.04806
00072,40.27351
00073,56.58831
00074,57.23604
00075,37.38918
00076,15.40624
00077,25.42397
00078,13.63278
00079,29.27499
00080,16.33979
00081,31.44557
00082,34.77958
00083,5.24860
00084,30.97421
00085,44.36290
00086,29.00201
00087,7.91090
00088,28.63187
00089,44.97976
00090,36.29094
00091,16.18596
00092,7.04054
00093,25.76078
00094,20.58359
00095,30.61438
00096,52.34109
00097,46.60235
00098,24.86900
00099,7.54956
00100,10.08466
00101,19.25929
00102,18.65921
00103,12.22408
00104,19.58209
00105,13.87025
00106,7.92359
00107,8.69369
00108,19.58357
00109,9.39209
00110,13.24517
00111,16.25836
00112,11.06228
00113,7.53775
00114,21.14093
00115,24.02604
00116,6.27064
00117,21.68312
00118,25.57242
00119,10.22782
00120,5.34755
00121,9.93522
00122,18.29534
00123,8.73905
00124,4.76356
00125,6.08900
00126,8.74733
00127,169.57147
00128,0.00000
00129,0.49511
00130,39.85505
00131,34.70605
00132,31.89135
00133,20.31109
00134,11.55858
00135,7.50972
00136,10.12022
00137,17.65040
00138,11.75476
00139,6.32640
00140,9.34657
00141,17.45253
00142,22.04223
00143,31.70392
00144,22.52931
00145,20.34387
00146,21.21362
00147,28.58359
00148,24.29425
00149,24.15042
00150,17.00016
00151,13.07840
00152,6.01245
00153,10.91398
00154,8.01441
00155,3.28628
00156,4.95452
00157,7.34926
00158,13.37904
00159,34.22122
00160,42.48927
00161,18.65935
00162,15.49934
00163,27.54550
00164,20.19458
00165,25.38915
00166,14.48938
00167,10.96623
00168,2.02193
00169,26.29173
00170,41.89191
00171,27.44247
00172,20.41837
00173,11.30062
00174,7.05203
00175,10.58843
00176,11.99564
00177,1.21728
00178,29.24104
00179,29.80286
00180,24.08279
00181,17.07820
00182,19.37129
00183,4.84708
00184,22.05722
00185,44.72414
00186,48.00525
00187,26.45613
00188,15.73849
00189,12.63790
00190,18.62067
00191,46.03756
00192,43.37468
00193,53.40503
00194,43.36570
00195,46.01983
00196,18.62037
00197,12.65790
00198,15.68600
00199,26.41409
00200,47.75599
00201,44.32107
00202,21.91919
00203,4.85274
00204,19.09027
00205,16.63138
