index,stft_value
00000,0.00628
00001,0.00594
00002,0.01045
00003,3.12530
00004,1.18937
00005,19.01071
00006,425.02393
00007,37.71076
00008,3.44601
00009,21.21091
00010,73.66785
00011,96.18504
00012,289.92230
00013,71.39761
00014,345.41702
00015,121.35968
00016,26.49892
00017,41.26673
00018,80.76088
00019,10.70259
00020,38.93454
00021,76.78696
00022,74.71391
00023,18.71364
00024,20.08198
00025,2.98099
00026,0.00329
00027,0.01215
00028,0.01111
00029,0.00185
00030,0.00397
00031,0.00055
00032,0.00696
00033,0.00910
00034,0.00102
00035,0.00579
00036,0.00419
00037,0.00531
00038,0.02749
00039,0.27843
00040,12.70987
00041,0.30121
00042,3.41165
00043,0.02470
00044,0.01170
00045,0.01034
00046,0.00139
00047,0.00899
00048,0.00403
00049,0.00690
00050,0.00140
00051,0.03298
00052,0.00094
00053,0.02554
00054,0.00026
00055,0.00156
00056,0.00010
00057,0.00059
00058,0.00182
00059,0.01424
00060,0.01233
00061,0.00632
00062,0.00679
00063,0.00140
00064,0.00090
00065,0.00158
00066,15.82758
00067,357.27643
00068,18.21162
00069,0.64946
00070,11.11757
00071,38.92941
00072,57.35874
00073,238.21156
00074,13.85987
00075,241.70317
00076,56.84029
00077,8.91615
00078,20.48742
00079,56.19419
00080,4.08931
00081,23.06963
00082,51.41063
00083,53.67667
00084,4.86877
00085,12.25070
00086,2.54597
00087,0.00151
00088,0.00985
00089,0.00299
00090,0.00795
00091,0.01428
00092,0.00173
00093,0.01519
00094,0.00168
00095,0.00025
00096,0.00022
00097,0.00086
00098,0.00082
00099,0.00682
00100,0.81389
00101,11.16679
00102,1.00466
00103,2.99617
00104,0.20981
00105,0.00039
00106,0.00835
00107,0.00139
00108,0.00783
00109,0.00013
00110,0.00862
00111,0.00244
00112,0.02289
00113,0.00094
00114,0.01195
00115,0.00020
00116,0.00035
00117,0.00015
00118,0.00996
00119,0.01164
00120,0.01009
00121,0.01146
00122,0.00245
00123,0.00223
00124,0.00611
00125,0.00104
00126,0.00142
00127,9.76287
00128,259.42245
00129,7.42734
00130,1.86480
00131,2.96023
00132,8.16195
00133,28.40054
00134,155.06224
00135,11.23301
00136,87.49766
00137,11.24322
00138,8.35267
00139,2.02399
00140,19.05467
00141,4.83547
00142,8.65436
00143,23.02947
00144,26.80493
00145,4.20594
00146,2.17729
00147,1.53361
00148,0.00917
00149,0.02059
00150,0.01802
00151,0.00284
00152,0.00200
00153,0.00118
00154,0.00662
00155,0.00801
00156,0.00134
00157,0.00775
00158,0.00601
00159,0.00028
00160,0.03943
00161,1.08764
00162,6.35884
00163,0.81174
00164,1.68947
00165,0.28625
00166,0.01492
00167,0.01198
00168,0.00201
00169,0.01053
00170,0.00522
00171,0.02357
00172,0.00409
00173,0.05416
00174,0.00298
00175,0.03631
00176,0.00025
00177,0.00020
00178,0.00010
00179,0.00072
00180,0.00378
00181,0.02487
00182,0.02336
00183,0.02011
00184,0.02033
00185,0.00468
00186,0.00138
00187,0.00614
00188,2.92549
00189,189.92926
00190,6.94101
00191,0.54564
00192,1.72646
00193,4.03616
00194,9.69692
00195,81.79462
00196,16.41659
00197,13.21822
00198,9.07798
00199,1.14969
00200,3.82980
00201,2.80391
00202,1.41362
00203,4.45056
00204,8.42658
00205,10.36742
00206,2.89309
00207,0.29720
00208,0.53079
00209,0.00608
00210,0.01755
00211,0.00568
00212,0.01454
00213,0.03292
00214,0.00823
00215,0.03396
00216,0.00687
00217,0.00061
00218,0.00065
00219,0.00158
00220,0.00113
00221,0.01870
00222,0.78748
00223,1.62447
00224,1.00492
00225,0.42836
00226,0.21237
00227,0.00135
00228,0.02190
00229,0.00246
00230,0.02226
00231,0.00033
00232,0.02264
00233,0.00562
00234,0.05135
00235,0.00499
00236,0.02776
00237,0.00081
00238,0.00037
00239,0.00075
00240,0.02335
00241,0.02574
00242,0.02718
00243,0.03018
00244,0.01782
00245,0.01768
00246,0.02052
00247,0.00203
00248,0.01687
00249,2.90084
00250,148.63191
00251,2.26995
00252,0.27106
00253,0.09900
00254,1.49254
00255,3.37073
00256,34.98865
00257,2.36353
00258,26.16888
00259,3.12571
00260,1.02950
00261,2.31068
00262,16.01258
00263,1.90628
00264,1.14102
00265,0.58286
00266,0.95299
00267,1.20903
00268,0.31656
00269,0.11162
00270,0.03867
00271,0.12120
00272,0.05830
00273,0.00884
00274,0.01253
00275,0.00492
00276,0.02514
00277,0.02091
00278,0.00378
00279,0.02019
00280,0.01666
00281,0.00081
00282,0.27557
00283,0.19094
00284,0.23893
00285,0.11881
00286,0.10178
00287,0.08419
00288,0.03804
00289,0.03091
00290,0.00574
00291,0.02796
00292,0.01446
00293,0.18421
00294,0.01600
00295,0.34424
00296,0.01124
00297,0.21106
00298,0.00165
00299,0.00352
00300,0.00174
00301,0.00241
00302,0.01292
00303,0.15558
00304,0.14921
00305,0.15108
00306,0.15202
00307,0.03486
00308,0.00398
00309,0.08887
00310,4.14424
00311,111.93067
00312,1.57169
00313,0.25269
00314,0.28523
00315,0.41266
00316,3.88262
00317,27.91797
00318,5.86666
00319,38.69118
00320,3.40058
00321,1.29842
00322,11.49879
00323,40.30024
00324,2.90777
00325,0.70738
00326,0.97024
00327,0.81553
00328,1.51925
00329,1.02856
00330,0.19642
00331,0.61974
00332,0.29919
00333,0.01630
00334,0.04238
00335,0.22484
00336,0.03713
00337,0.22670
00338,0.04980
00339,0.00232
00340,0.00216
00341,0.00454
00342,0.00283
00343,0.83975
00344,1.50521
00345,0.80072
00346,0.23243
00347,0.16957
00348,0.00325
00349,0.00486
00350,0.14968
00351,0.00737
00352,0.15252
00353,0.00120
00354,0.64163
00355,1.06646
00356,0.31991
00357,1.14648
00358,0.52907
00359,0.00281
00360,0.01438
00361,0.00288
00362,0.15748
00363,0.16765
00364,0.48405
00365,0.61802
00366,0.84455
00367,0.42455
00368,0.15969
00369,0.20236
00370,0.36958
00371,2.73824
00372,71.78013
00373,2.59385
00374,0.55355
00375,2.80878
00376,0.31342
00377,1.01227
00378,37.41232
00379,2.38901
00380,37.68253
00381,4.58407
00382,1.42676
00383,28.08830
00384,49.51152
00385,2.99313
00386,0.64067
00387,3.88748
00388,1.85486
00389,9.02725
00390,2.23569
00391,0.40073
00392,2.82449
00393,0.49672
00394,0.42920
00395,0.06708
00396,0.71235
00397,1.55324
00398,0.59427
00399,0.01615
00400,0.02612
00401,0.13865
00402,0.11662
00403,0.00298
00404,1.56660
00405,7.76773
00406,3.98724
00407,1.25346
00408,0.13638
00409,0.12692
00410,0.26124
00411,0.34403
00412,0.83918
00413,0.56540
00414,0.10099
00415,1.23837
00416,5.08201
00417,1.91830
00418,5.51446
00419,0.80617
00420,0.00386
00421,0.02184
00422,0.00374
00423,0.45027
00424,0.41704
00425,0.79578
00426,3.97432
00427,4.18188
00428,0.70958
00429,0.42366
00430,1.67329
00431,0.26793
00432,4.80760
00433,36.31617
00434,2.81881
00435,1.04321
00436,6.69617
00437,1.98824
00438,10.13464
00439,38.11050
00440,18.25230
00441,32.96410
00442,4.70714
00443,0.97634
00444,23.69487
00445,26.56728
00446,3.42105
00447,4.46180
00448,7.39660
00449,1.72159
00450,19.40100
00451,2.51882
00452,0.57885
00453,4.76171
00454,1.39104
00455,0.73055
00456,0.68899
00457,1.04168
00458,6.40462
00459,2.17504
00460,0.47960
00461,0.72768
00462,0.39695
00463,0.34794
00464,0.67440
00465,1.46108
00466,13.53298
00467,6.14598
00468,3.44747
00469,0.50438
00470,1.19060
00471,0.74597
00472,0.54701
00473,4.34742
00474,1.04619
00475,0.24394
00476,1.32070
00477,10.09781
00478,0.81748
00479,11.13870
00480,0.86603
00481,0.00352
00482,0.01435
00483,0.00348
00484,0.75658
00485,4.08326
00486,5.28200
00487,5.68322
00488,6.33073
00489,0.83202
00490,0.70332
00491,4.64432
00492,1.03726
00493,3.72947
00494,20.04950
00495,4.30030
00496,4.89130
00497,6.91738
