index,stft_value
00000,6.36542
00001,-3.82389
00002,-1941.79541
00003,-488.98581
00004,-4.90182
00005,98.27394
00006,-0.72524
00007,48.44122
00008,19.36596
00009,-3.17839
00010,-55.66374
00011,-24.66862
00012,30.54201
00013,56.00916
00014,0.80890
00015,-1.06302
00016,9.66916
00017,-10.17544
00018,27.99272
00019,-39.09121
00020,-37.60863
00021,-2.80650
00022,-80.60086
00023,20.48969
00024,47.43797
00025,110.50626
00026,109.50758
00027,-33.41683
00028,-26.91068
00029,-170.36206
00030,-122.56786
00031,58.70142
00032,57.52432
00033,210.23282
00034,165.12686
00035,-205.24576
00036,-85.53591
00037,-21.84005
00038,-196.71594
00039,3.89585
00040,168.20622
00041,148.98485
00042,-34.73135
00043,-125.10246
00044,-29.77567
00045,59.03683
00046,82.31816
00047,-43.02645
00048,-170.80054
00049,0.80710
00050,167.49693
00051,123.54356
00052,-28.04419
00053,-73.21989
00054,92.58835
00055,-65.18681
00056,-253.30721
00057,-40.96296
00058,140.85291
00059,123.33552
00060,23.10940
00061,22.23105
00062,-6.57737
00063,-74.12080
00064,53.79351
00065,-36.91299
00066,-171.23131
00067,33.50451
00068,56.83160
00069,44.56974
00070,97.98069
00071,23.75380
00072,-3.87150
00073,-119.11839
00074,-90.16371
00075,56.41871
00076,-21.51199
00077,11.94652
00078,95.93987
00079,-18.89667
00080,-76.35582
00081,79.68135
00082,95.01138
00083,4.83499
00084,28.93186
00085,-194.72662
00086,-105.71184
00087,145.17877
00088,42.70877
00089,-37.17869
00090,-97.70431
00091,5.23452
00092,48.18161
00093,176.67294
00094,242.30742
00095,-217.32568
00096,-340.00238
00097,-121.27182
00098,-66.39585
00099,307.12091
00100,453.40048
00101,-36.85135
00102,-238.46503
00103,-239.66380
00104,-111.63357
00105,138.19785
00106,99.86786
00107,16.77651
00108,-38.13861
00109,78.68390
00110,54.16013
00111,-113.26841
00112,-29.70859
00113,-12.69937
00114,18.75000
00115,27.23558
00116,5.40415
00117,8.73027
00118,-28.71836
00119,-2.74051
00120,-7.51427
00121,41.64758
00122,23.10147
00123,-47.83925
00124,64.06900
