index,stft_value
00000,535.13391
00001,-8.39764
00002,-277.95743
00003,-10.05080
00004,6.62758
00005,13.38734
00006,4.72196
00007,-5.61604
00008,4.20551
00009,-3.99726
00010,-12.59115
00011,-5.01557
00012,16.04465
00013,19.35350
00014,-19.00502
00015,-9.02806
00016,40.47673
00017,-8.46403
00018,-72.69911
00019,2.18820
00020,57.42437
00021,0.16304
00022,-17.63731
00023,13.54756
00024,7.30752
00025,-14.35736
00026,-10.65904
00027,6.68273
00028,-0.90921
00029,-5.25679
00030,19.73263
00031,3.63905
00032,-13.48296
00033,17.23213
00034,12.19192
00035,-34.93926
00036,-11.24722
00037,13.39079
00038,-17.34101
00039,-1.34118
00040,21.38562
00041,3.63949
00042,-3.21394
00043,0.13850
00044,-16.42938
00045,18.16067
00046,52.19479
00047,-24.98816
00048,-71.00941
00049,7.00445
00050,33.19637
00051,-1.08608
00052,23.58438
00053,20.70357
00054,-33.78568
00055,-19.80762
00056,8.81050
00057,-1.92232
00058,20.55572
00059,-2.66494
00060,-21.44470
00061,3.08158
00062,-9.37001
00063,4.48270
00064,27.42918
00065,-16.01020
00066,-36.19354
00067,29.61526
00068,30.82242
00069,-9.40686
00070,-0.32941
00071,-16.04346
00072,-17.40203
00073,20.45392
00074,10.63889
00075,-19.85738
00076,-9.55649
00077,10.37276
00078,13.87378
00079,-3.73963
00080,-8.24849
00081,6.72860
00082,0.99009
00083,-6.81885
00084,-1.89817
00085,9.64430
00086,17.19975
00087,-5.58327
00088,-19.72173
00089,-2.97649
00090,0.15254
00091,0.20996
00092,8.54742
00093,-6.66168
00094,-5.84761
00095,19.58047
00096,2.54152
00097,-9.81705
00098,-6.55689
00099,-12.79465
00100,6.57061
00101,9.45760
00102,8.75105
00103,13.03759
00104,-1.03359
00105,-14.03293
00106,-20.18095
00107,2.34935
00108,10.97160
00109,-6.80263
00110,7.25627
00111,13.29638
00112,-4.91358
00113,-3.69993
00114,-3.95252
00115,-2.70593
00116,-1.54513
00117,-0.72061
00118,2.33470
00119,0.08208
00120,11.74359
00121,-1.27367
00122,-6.21296
00123,6.01516
00124,-7.37573
00125,-2.11194
00126,-4.35657
00127,-9.74413
00128,12.81657
00129,518.85236
00130,-1.97931
00131,-261.77960
00132,-0.68885
00133,5.77409
00134,-6.83133
00135,-3.18578
00136,10.86899
00137,-0.84317
00138,-3.39743
00139,-3.47348
00140,-8.35918
00141,1.44719
00142,8.33108
00143,3.72257
00144,4.21549
00145,-8.28357
00146,-11.35075
00147,9.10604
00148,22.18420
00149,4.61813
00150,-16.11560
00151,-7.17796
00152,-5.95749
00153,3.35677
00154,4.65888
00155,-8.61252
00156,2.77201
00157,18.15349
00158,-2.06503
00159,-21.08486
00160,-11.37883
00161,12.64479
00162,6.56549
00163,-8.26006
00164,12.16894
00165,3.79924
00166,-10.28727
00167,-3.09848
00168,9.15721
00169,12.50735
00170,-3.04914
00171,-6.50635
00172,-4.22152
00173,-5.27697
00174,-6.82387
00175,22.33030
00176,12.44193
00177,-42.70161
00178,-9.00690
00179,30.37249
00180,-8.77105
00181,-19.72149
00182,37.80949
00183,11.60628
00184,-23.51337
00185,15.25108
00186,-7.96062
00187,-19.25120
00188,0.64996
00189,7.55575
00190,6.15230
00191,-10.05728
00192,14.28076
00193,5.76883
00194,-16.09030
00195,8.47273
00196,8.87012
00197,-10.42385
00198,-19.74681
00199,14.63020
00200,13.76081
00201,-18.44239
00202,-5.44936
00203,6.52152
00204,12.13805
00205,4.81398
00206,-8.67775
00207,-8.73130
00208,-1.59947
00209,3.59586
00210,1.42568
00211,4.85760
00212,1.53362
00213,-6.79403
00214,0.99129
00215,13.27665
00216,-4.40964
00217,-18.36320
00218,2.82946
00219,6.66903
00220,2.25761
00221,6.67899
00222,0.88875
00223,2.46002
00224,0.44477
00225,-12.18493
00226,-4.67147
00227,-11.62559
00228,-2.51684
00229,29.86393
00230,9.61101
00231,-9.86252
00232,-15.19740
00233,-9.31505
00234,13.13895
00235,8.16801
00236,1.90506
00237,3.68741
00238,-1.08426
00239,-7.02249
00240,-7.61553
00241,-12.29243
00242,2.18533
00243,17.41088
00244,-2.20934
00245,0.74832
00246,0.51633
00247,-9.73701
00248,-1.60271
00249,10.64513
00250,18.81628
00251,-4.68022
00252,-19.29986
00253,-5.46557
00254,-0.45118
00255,-2.06229
00256,5.42454
00257,11.61571
00258,549.36774
00259,-6.51740
00260,-238.88315
00261,7.05268
00262,12.37562
00263,32.00279
00264,13.69135
00265,5.20494
00266,-21.89050
00267,34.62318
00268,-7.05540
00269,2.30563
00270,-11.18452
00271,18.68472
00272,-16.73047
00273,-5.33502
00274,-12.85880
00275,-7.92673
00276,0.49229
00277,-1.93844
00278,-16.80991
00279,-12.85867
00280,4.39793
00281,-1.54950
00282,-1.71571
00283,0.83385
00284,-19.04968
00285,-13.89984
00286,17.59894
00287,-20.84452
00288,0.37511
00289,-9.76739
00290,29.73573
00291,10.72533
00292,1.83561
00293,-13.31904
00294,12.51183
00295,16.07442
00296,3.60923
00297,0.98523
00298,2.57598
00299,18.93581
00300,3.73489
00301,9.47017
00302,-22.18806
00303,10.95073
00304,21.14500
00305,-19.19684
00306,-31.91994
00307,14.09077
00308,16.02336
00309,-12.95706
00310,-13.25935
00311,27.59589
00312,-8.69536
00313,12.44562
00314,-12.00852
00315,-8.95803
00316,-14.33198
00317,-23.69078
00318,-4.24359
00319,-1.54646
00320,8.35190
00321,-6.41929
00322,-10.19362
00323,-38.60672
00324,19.59712
00325,-0.23312
00326,31.35534
00327,-14.31441
00328,15.27730
00329,13.11130
00330,-0.07058
00331,27.07926
00332,2.49488
00333,2.34760
00334,3.41791
00335,13.48500
00336,-18.01638
00337,13.75699
00338,6.96835
00339,-5.14193
00340,-10.65645
00341,2.32732
00342,-2.17985
00343,12.19337
00344,-6.61982
00345,-14.02614
00346,-1.49837
00347,23.60326
00348,-27.54771
00349,-1.76381
00350,-15.32649
00351,-11.18695
00352,1.78776
00353,-21.94581
00354,-9.80127
00355,-34.20576
00356,16.84272
00357,7.18177
00358,23.17409
00359,-13.60895
00360,9.83642
00361,-8.37427
00362,12.65791
00363,8.23004
00364,24.27768
00365,13.97827
00366,-15.44696
00367,9.20772
00368,12.23727
00369,27.71032
00370,-11.91319
00371,-21.96235
00372,-10.25584
00373,19.99210
00374,7.67219
00375,6.60326
00376,-12.31544
00377,-8.19035
00378,-3.57340
00379,8.97948
00380,-5.22136
00381,10.86144
00382,-8.76951
00383,-21.53296
00384,-9.59030
00385,6.16533
00386,-1.42479
00387,2019.93628
00388,49.61493
00389,-1580.20068
00390,-4.44187
00391,948.04199
00392,138.86012
00393,-592.28845
00394,-303.21219
00395,286.97842
00396,375.80261
00397,-26.42570
00398,-340.86005
00399,-199.10457
00400,253.80585
00401,350.57098
00402,-172.49197
00403,-368.82501
00404,74.24367
00405,354.11929
00406,68.88655
00407,-363.62787
00408,-151.84846
00409,292.38489
00410,147.81213
00411,-158.11696
00412,-165.18040
00413,24.58584
00414,200.64938
00415,110.51692
00416,-179.56424
00417,-210.66794
00418,72.04442
00419,271.49918
00420,112.91918
00421,-333.17639
00422,-300.40863
00423,368.53671
00424,420.12381
00425,-332.78772
00426,-470.87183
00427,223.17763
00428,482.44937
00429,-90.91682
00430,-480.73236
00431,12.74812
00432,431.00003
00433,26.07695
00434,-318.40134
00435,-83.27834
00436,170.17412
00437,173.46243
00438,-14.27658
00439,-304.69623
00440,-114.86749
00441,408.95258
00442,222.90018
00443,-407.85309
00444,-348.28400
00445,331.87018
00446,457.67923
00447,-195.11938
00448,-496.61334
00449,5.56407
00450,509.73578
00451,177.99927
00452,-517.39368
00453,-285.85565
00454,439.46735
00455,320.64700
00456,-236.29449
00457,-308.00983
00458,17.70094
00459,214.05051
00460,113.67333
00461,-62.28897
00462,-183.87747
00463,-99.64599
00464,229.56024
00465,239.69269
00466,-243.88489
00467,-328.21259
00468,214.86810
00469,412.87225
00470,-155.66769
00471,-509.75037
00472,132.66185
00473,498.35052
00474,-169.18661
00475,-345.46838
00476,124.59954
00477,177.58548
00478,75.26976
00479,-12.11206
00480,-287.73300
00481,-209.49696
00482,413.18005
00483,484.78156
00484,-443.90131
00485,-788.46161
00486,439.45618
00487,979.70703
00488,-502.21613
00489,-911.23724
00490,523.72913
00491,713.23059
00492,-332.53543
00493,-585.73029
00494,64.03690
00495,481.03690
00496,79.38493
00497,-327.81903
00498,-136.19322
00499,196.29704
00500,171.41087
00501,-107.90988
00502,-161.39461
00503,7.67509
00504,103.14673
00505,111.17624
00506,-44.25206
00507,-203.08556
00508,23.94603
00509,227.93221
00510,-9.18924
00511,-178.65874
00512,-34.91352
00513,92.50672
00514,99.73647
00515,-16.83282
00516,700.04504
00517,5.31946
00518,-258.87546
00519,-72.39368
00520,-20.32029
00521,18.56710
00522,-29.95430
00523,2.41262
00524,-10.66495
00525,39.74242
00526,-28.54090
00527,-6.47445
00528,-7.59457
00529,-37.31338
00530,-20.61442
00531,-24.40724
00532,-25.19258
00533,30.86554
00534,127.63521
00535,-38.06567
00536,-83.81038
00537,5.16430
00538,14.24588
00539,25.72688
00540,-1.47057
00541,27.57677
00542,-2.85672
00543,-2.94167
00544,-19.92320
00545,-10.97696
00546,20.75288
00547,-17.86069
00548,-52.79652
00549,-26.83191
00550,34.52479
00551,31.69389
00552,2.18230
00553,-4.00949
00554,34.31615
00555,28.84024
00556,2.24226
00557,-21.61438
00558,-27.61340
00559,19.48744
00560,-11.58932
00561,9.81291
00562,15.07904
00563,11.23907
00564,-18.08075
00565,-2.45021
00566,29.40046
00567,-52.36139
00568,41.38400
00569,8.09038
00570,-68.55581
00571,-5.94146
00572,48.99619
00573,24.08274
00574,-34.44505
00575,-29.41016
00576,1.76034
00577,33.26271
00578,-26.17793
00579,7.72672
00580,39.04029
00581,-4.15503
00582,-0.76613
00583,-27.96980
00584,-37.78124
00585,-22.44781
00586,41.10382
00587,35.12702
00588,7.58718
00589,-10.78314
00590,5.06757
00591,20.41205
00592,-18.00134
00593,-8.21761
00594,-21.00128
00595,9.57920
00596,-16.83780
00597,-5.12653
00598,39.07903
00599,-30.19626
00600,-10.13034
00601,-41.64779
00602,-68.05557
00603,26.58476
00604,45.89830
00605,48.95073
00606,51.71382
00607,9.93062
00608,-28.77364
00609,2.87100
00610,-6.50377
00611,29.63746
00612,-59.60509
00613,-40.79564
00614,10.60738
00615,74.55383
00616,63.21420
00617,-30.88568
00618,64.44923
00619,-87.25993
00620,-93.96072
00621,-48.36941
00622,24.92202
00623,54.36010
00624,49.62384
00625,7.43388
00626,-10.89502
00627,23.58131
00628,-41.29655
00629,30.62558
00630,-19.68332
00631,-4.13977
00632,23.37105
00633,-21.84401
00634,-17.86966
00635,-25.51696
00636,5.01227
00637,-31.02753
00638,-2.28620
00639,21.32261
00640,21.91722
00641,5.78815
00642,4.76474
00643,41.91470
00644,12.52075
00645,1104.26721
00646,-5.15198
00647,-743.47583
00648,-100.86513
00649,269.81863
00650,181.11876
00651,-76.55350
00652,-220.25494
00653,-47.28035
00654,178.41510
00655,103.93604
00656,-42.98081
00657,-89.36349
00658,-85.92146
00659,22.13872
00660,132.19872
00661,62.88104
00662,-99.25313
00663,-123.07291
00664,-2.02502
00665,86.20547
00666,87.27036
00667,-9.80980
00668,-134.73303
00669,-28.10155
00670,134.20197
00671,70.20165
00672,-46.14779
00673,-111.45243
00674,-31.78506
00675,96.60658
00676,29.62976
00677,-19.74621
00678,8.43678
00679,-56.17377
00680,-64.46815
00681,81.91286
00682,140.85760
00683,-69.87205
00684,-202.87706
00685,29.67492
00686,207.86620
00687,36.69698
00688,-147.14076
00689,-112.93697
00690,62.87412
00691,170.80836
00692,-18.26474
00693,-147.84608
00694,2.13921
00695,53.05287
00696,-3.56527
00697,-13.33076
00698,46.01350
00699,38.45937
00700,-70.25349
00701,-69.80022
00702,65.53263
00703,95.88347
00704,-69.90378
00705,-102.41615
00706,45.36659
00707,105.43270
00708,23.05011
00709,-105.05904
00710,-69.67017
00711,90.64455
00712,62.64256
00713,-46.63342
00714,-25.96104
00715,8.70422
00716,-28.17509
00717,-29.23900
00718,70.73659
00719,95.74715
00720,-66.43995
00721,-174.75966
00722,26.58994
00723,204.28404
00724,18.99843
00725,-143.53238
00726,-62.61504
00727,32.40331
00728,82.20453
00729,42.30896
00730,-67.95828
00731,-59.21461
00732,36.76211
00733,45.79967
00734,22.80935
00735,7.86584
00736,-86.37193
00737,-83.49837
00738,78.17061
00739,132.40840
00740,28.73630
00741,-104.94358
00742,-171.76016
00743,3.51844
00744,304.76755
00745,84.65511
00746,-404.97174
00747,-116.30260
00748,378.49973
00749,141.83916
00750,-224.21091
00751,-180.40176
00752,28.16287
00753,170.16876
00754,140.28954
00755,-73.24565
00756,-194.34860
00757,-48.95682
00758,121.87955
00759,87.42049
00760,1.23892
00761,-36.66503
00762,-94.73357
00763,-44.04950
00764,134.76726
00765,123.39508
00766,-112.96507
00767,-173.12338
00768,36.35122
00769,166.04843
00770,30.26460
00771,-82.15974
00772,-50.97836
00773,-23.96683
00774,572.54498
00775,-19.77362
00776,-260.44873
00777,-23.02314
00778,-20.98708
00779,-4.15195
00780,-12.37961
00781,-14.71054
00782,-1.76383
00783,17.69011
00784,37.12566
00785,8.85808
00786,-39.97008
00787,-15.18248
00788,23.59093
00789,7.65879
00790,-21.09764
00791,-24.61153
00792,10.07008
00793,37.44274
00794,18.10561
00795,-25.44431
00796,-45.00481
00797,1.08468
00798,27.92395
00799,27.70775
00800,15.93845
00801,-14.81666
00802,-1.51446
00803,-19.97279
00804,-35.20529
00805,7.89583
00806,14.49416
00807,0.80776
00808,2.28599
00809,8.02111
00810,-2.70217
00811,-6.78804
00812,-9.06747
00813,15.56497
00814,16.83668
00815,-4.54468
00816,5.03692
00817,12.98176
00818,11.85052
00819,-24.25002
00820,-20.13393
00821,-13.20160
00822,-15.40096
00823,17.81007
00824,20.32023
00825,7.17120
00826,-4.60468
00827,-9.85300
00828,-3.89655
00829,14.38503
00830,18.41308
00831,-22.20940
00832,-34.96161
00833,14.67777
00834,27.33473
00835,3.47694
00836,2.63070
00837,1.77757
00838,-5.03251
00839,-12.75463
00840,-4.81560
00841,-12.07008
00842,-1.78037
00843,24.96067
00844,-4.75080
00845,-6.53507
00846,5.44317
00847,-0.13100
00848,9.14329
00849,2.25573
00850,4.21990
00851,-20.50761
00852,-23.91545
00853,17.30399
00854,3.59755
00855,-9.97403
00856,3.52581
00857,25.85242
00858,6.21334
00859,-19.34392
00860,7.69738
00861,6.68324
00862,-14.68297
00863,-8.34701
00864,2.33232
00865,1.68593
00866,-9.16630
00867,7.85604
00868,22.39336
00869,-1.57478
00870,-24.51501
00871,5.77283
00872,14.61796
00873,19.47848
00874,38.41900
00875,-29.85850
00876,-21.92422
00877,-25.74751
00878,-18.42441
00879,15.03645
00880,-16.68304
00881,-5.01403
00882,16.30627
00883,17.99820
00884,5.60973
00885,24.58194
00886,-15.59843
00887,-41.42108
00888,24.78302
00889,27.17353
00890,-26.93927
00891,-12.62969
00892,23.42772
00893,0.51878
00894,-11.35157
00895,-0.08805
00896,-8.95321
00897,-2.69831
00898,26.91327
00899,17.81581
00900,-10.80565
00901,-13.89895
00902,-3.70988
00903,557.91034
00904,-7.43756
00905,-279.98227
00906,-2.14147
00907,-7.57695
00908,-16.24697
00909,12.36633
00910,26.98811
00911,-3.91176
00912,-6.68634
00913,6.58251
00914,-14.95655
00915,-17.40921
00916,4.37271
00917,13.51624
00918,5.93414
00919,5.55611
00920,0.03556
00921,-13.78174
00922,-0.00728
00923,-2.37201
00924,-7.18143
00925,14.40960
00926,10.32503
00927,-8.64036
00928,-6.25707
00929,5.24122
00930,1.86543
00931,-7.07871
00932,-2.50667
00933,3.23293
00934,14.59332
00935,6.45030
00936,-22.72807
00937,-9.38122
00938,15.98176
00939,2.52872
00940,-13.08595
00941,3.34080
00942,11.94922
00943,-0.61238
00944,-2.70657
00945,-2.56465
00946,-0.51348
00947,0.02515
00948,-8.85212
00949,2.61001
00950,13.84385
00951,-6.94200
00952,-13.97747
00953,16.79080
00954,4.24620
00955,-19.07662
00956,15.89111
00957,3.84301
00958,-20.17019
00959,6.94844
00960,8.57670
00961,-0.91287
00962,1.99592
00963,-3.33191
00964,-2.03866
00965,9.57132
00966,-1.20681
00967,-14.05586
00968,-3.40950
00969,8.32232
00970,2.12832
00971,-13.34451
00972,3.40163
00973,18.00468
00974,3.47665
00975,-8.94563
00976,-7.80083
00977,0.33577
00978,2.25121
00979,-4.09931
00980,4.92611
00981,11.50400
00982,-10.29838
00983,-2.69818
00984,9.62344
00985,-3.35243
00986,-2.98699
00987,-1.80926
00988,-0.71301
00989,4.57030
00990,-6.69292
00991,-2.71525
00992,6.92082
00993,-3.55917
00994,0.64207
00995,8.96472
00996,-4.21560
00997,-3.23490
00998,4.97267
00999,-10.71119
01000,-3.70879
01001,6.58223
01002,5.51607
01003,9.27754
01004,-1.31645
01005,-9.35577
01006,-7.44295
01007,-6.83903
01008,8.92539
01009,13.05923
01010,-12.47259
01011,-14.28711
01012,31.14366
01013,26.53603
01014,-36.25362
01015,-12.37636
01016,18.20395
01017,-7.23130
01018,-3.29800
01019,-2.34132
01020,-13.39623
01021,7.30954
01022,13.17982
01023,-6.21803
01024,0.47628
01025,-1.49842
01026,-9.59446
01027,12.19661
01028,15.59461
01029,-8.47620
01030,1.20664
01031,6.36584
01032,560.71680
01033,9.63675
01034,-283.15692
01035,6.93988
01036,9.02478
01037,-14.00617
01038,4.54839
01039,8.00524
01040,-17.11659
01041,0.90922
01042,4.74232
01043,6.03595
01044,-2.19875
01045,-7.68275
01046,-0.01096
01047,-7.96624
01048,0.86797
01049,12.47342
01050,7.91214
01051,2.26009
01052,-6.12409
01053,-11.19222
01054,2.60532
01055,-0.16922
01056,-2.10745
01057,6.06385
01058,4.76861
01059,-0.47500
01060,-10.79057
01061,2.53581
01062,8.97400
01063,-1.12835
01064,-3.63522
01065,-3.32920
01066,1.48146
01067,2.68611
01068,1.22842
01069,-2.26359
01070,-1.67772
01071,-3.50060
01072,-3.14700
01073,3.05075
01074,5.57976
01075,2.44675
01076,2.89859
01077,2.79901
01078,-9.43293
01079,-6.92190
01080,15.83580
01081,6.92335
01082,-16.15133
01083,-11.96414
01084,-1.07795
01085,5.77319
01086,4.46902
01087,6.87707
01088,2.19418
01089,6.12487
01090,-4.75598
01091,-19.36615
01092,5.80043
01093,10.85063
01094,-2.18727
01095,-8.00032
01096,4.37163
01097,6.05730
01098,-5.60143
01099,1.85128
01100,4.19030
01101,-6.14121
01102,-4.04854
01103,11.11428
01104,-2.57180
01105,-16.04911
01106,10.42776
01107,13.12762
01108,-4.26536
01109,-4.20905
01110,-9.08860
01111,-0.33480
01112,3.35468
01113,2.86552
01114,7.12842
01115,-1.34830
01116,-4.24682
01117,-5.75514
01118,1.34627
01119,2.55539
01120,-3.00648
01121,7.35710
01122,3.96117
01123,-9.10049
01124,-1.62493
01125,11.85002
01126,4.81032
01127,-10.40923
01128,-9.70524
01129,0.12285
01130,3.69673
01131,3.09740
01132,-1.60928
01133,-5.34694
01134,11.51599
01135,8.88221
01136,-10.17470
01137,-5.09027
01138,-2.49854
01139,-4.99336
01140,9.61014
01141,1.74031
01142,-12.74356
01143,7.62546
01144,1.61102
01145,-3.45750
01146,10.49179
01147,6.40404
01148,7.42108
01149,-8.11131
01150,-23.99262
01151,6.12385
01152,11.74278
01153,-12.50798
01154,-4.72609
01155,1.51024
01156,7.76212
01157,20.83767
01158,-7.04582
01159,-17.67521
01160,10.16339
01161,578.46777
01162,-1.70819
01163,-295.16772
01164,-8.85003
01165,9.85654
01166,15.65827
01167,1.96264
01168,-25.10841
01169,-20.67933
01170,16.08809
01171,28.93282
01172,4.81390
01173,-23.98356
01174,-17.85922
01175,9.72713
01176,16.93743
01177,-4.18933
01178,-9.86928
01179,11.90658
01180,4.67671
01181,-9.25499
01182,-2.34384
01183,1.94869
01184,-1.52608
01185,-5.20773
01186,9.43428
01187,10.06695
01188,-12.42723
01189,-10.86001
01190,2.18982
01191,10.62387
01192,6.90003
01193,-6.58130
01194,-6.85273
01195,3.76114
01196,7.11074
01197,-2.11231
01198,-3.74243
01199,-5.33553
01200,0.23976
01201,8.11567
01202,-2.17807
01203,0.90833
01204,-2.60611
01205,-9.77443
01206,10.92920
01207,8.11214
01208,-9.46346
01209,-10.02193
01210,5.43279
01211,14.84993
01212,-5.29141
01213,-5.78817
01214,2.12760
01215,5.47695
01216,3.94987
01217,-14.25371
01218,-11.25468
01219,7.61014
01220,16.50933
01221,3.36247
01222,-9.23280
01223,-8.44987
01224,-1.40239
01225,4.95916
01226,7.26630
01227,3.95560
01228,-9.13837
01229,-8.94524
01230,9.55487
01231,12.03963
01232,-9.75618
01233,-6.70330
01234,10.28244
01235,2.10886
01236,-18.83757
01237,-6.35771
01238,20.45166
01239,4.64865
01240,-5.99175
01241,2.35471
01242,-3.21150
01243,-10.50086
01244,3.93774
01245,13.23602
01246,-7.70047
01247,-5.05568
01248,6.62183
01249,-4.44578
01250,-2.35840
01251,7.41519
01252,0.04962
01253,-9.13331
01254,2.16752
01255,8.71716
01256,0.19469
01257,-2.84642
01258,-3.85809
01259,-6.98624
01260,5.36008
01261,15.02500
01262,-7.66668
01263,-3.74391
01264,3.36161
01265,-6.60372
01266,3.90309
01267,-5.21108
01268,-0.80058
01269,5.96202
01270,1.97624
01271,4.24946
01272,-7.31173
01273,-0.07182
01274,1.31518
01275,0.37062
01276,1.61852
01277,-15.21829
01278,2.92802
01279,19.57582
01280,3.73728
01281,-2.97907
01282,-14.93372
01283,-2.74107
01284,7.27948
01285,-6.08238
01286,10.21966
01287,-6.02593
01288,-6.62473
01289,16.07303
01290,548.17908
01291,5.07645
01292,-271.44727
01293,-16.10923
01294,-5.22115
01295,13.23602
01296,2.03612
01297,-5.24710
01298,-2.09525
01299,0.40800
01300,5.00453
01301,-0.72075
01302,-3.44120
01303,-4.43213
01304,1.39254
01305,7.45750
01306,4.66120
01307,-2.51971
01308,-8.80471
01309,-0.65684
01310,1.35230
