index,stft_value
00000,0.58291
00001,-0.29406
00002,-182.78421
00003,18.70830
00004,13.44955
00005,-35.69165
00006,19.85233
00007,40.29948
00008,-28.83167
00009,-4.88006
00010,-9.56944
00011,-24.37142
00012,13.70713
00013,26.79194
00014,-2.44676
00015,-1.97997
00016,7.51266
00017,-3.45069
00018,-18.37648
00019,-13.60429
00020,31.49467
00021,-9.83263
00022,-36.18912
00023,26.44184
00024,37.07877
00025,-18.97618
00026,-25.75889
00027,14.38680
00028,-0.59776
00029,-18.33537
00030,1.25463
00031,27.19954
00032,8.18851
00033,-15.11617
00034,-0.09423
00035,-2.81965
00036,-0.61226
00037,2.17255
00038,-0.64739
00039,-12.24748
00040,23.88130
00041,-3.94833
00042,-59.63528
00043,13.02669
00044,25.29593
00045,30.45207
00046,27.78594
00047,-41.48618
00048,-54.26015
00049,42.19459
00050,52.88844
00051,-38.40562
00052,-13.90235
00053,23.50700
00054,0.39889
00055,-17.88239
00056,-7.36857
00057,3.27972
00058,10.71762
00059,-15.78660
00060,-7.21906
00061,35.50563
00062,-7.34197
00063,-15.95354
00064,5.19327
00065,-15.58739
00066,-4.46963
00067,31.83700
00068,6.81039
00069,-37.61631
00070,10.00149
00071,27.45471
00072,-15.82598
00073,-8.37173
00074,11.10583
00075,3.75175
00076,-14.67565
00077,-11.77091
00078,13.83393
00079,15.31474
00080,-7.18041
00081,-10.02168
00082,-4.23592
00083,1.48694
00084,19.72134
00085,20.63525
00086,-13.22443
00087,-22.97707
00088,-1.56089
00089,-5.02834
00090,-0.67940
00091,11.08013
00092,6.68176
00093,-7.50856
00094,-22.03434
00095,6.88812
00096,21.06009
00097,11.81592
00098,-3.66910
00099,-27.89214
00100,-2.25899
00101,33.03276
00102,19.19865
00103,-28.36388
00104,-23.16823
00105,3.01001
00106,8.76011
00107,25.75504
00108,-3.22385
00109,-42.77629
00110,4.91100
00111,45.76793
00112,-7.79131
00113,-32.16255
00114,-2.09580
00115,18.92015
00116,12.81791
00117,-10.77159
00118,-7.76196
00119,1.01731
00120,4.60633
00121,-2.02474
00122,-11.62947
00123,9.55534
00124,14.13157
00125,-15.89435
00126,-14.33813
00127,14.59087
00128,14.74734
00129,0.69080
00130,-0.52329
00131,-213.21205
00132,25.86686
00133,-4.71550
00134,36.66752
00135,13.51578
00136,-135.06398
00137,6.06122
00138,117.82430
00139,-21.66979
00140,-17.69267
00141,-15.07609
00142,-24.28316
00143,58.03582
00144,9.15122
00145,-50.71549
00146,-1.82575
00147,11.36659
00148,10.75246
00149,10.64878
00150,-6.91328
00151,-0.91637
00152,-6.15580
00153,-2.91360
00154,7.30198
00155,16.32423
00156,5.40479
