index,stft_value
00000,3.68379
00001,-1.46079
00002,-1118.85107
00003,-247.80029
00004,-10.67845
00005,34.04292
00006,11.52789
00007,13.37786
00008,-10.68346
00009,12.97549
00010,-12.23573
00011,-1.13321
00012,-0.14544
00013,-24.49912
00014,45.83300
00015,41.73715
00016,-84.72433
00017,-25.36629
00018,40.09989
00019,17.48194
00020,24.78390
00021,12.79821
00022,-41.21715
00023,-30.62010
00024,18.36826
00025,44.42983
00026,54.42200
00027,-15.91078
00028,-52.05669
00029,-35.78927
00030,-32.33425
00031,30.71345
00032,44.93810
00033,4.70851
00034,-13.15073
00035,-5.32621
00036,50.26180
00037,10.94304
00038,-31.51603
00039,-70.08659
00040,-5.60607
00041,73.23186
00042,-24.28252
00043,-56.26413
00044,-8.18755
00045,40.08957
00046,13.61168
00047,-17.26996
00048,-16.97928
00049,-0.83555
00050,15.18358
00051,41.41702
00052,5.06050
00053,94.84010
00054,39.27774
00055,-192.10106
00056,-61.32942
00057,63.27074
00058,94.44946
00059,76.55999
00060,-92.01961
00061,-126.30428
00062,-14.27438
00063,28.92790
00064,125.03497
00065,63.27465
00066,-159.59416
00067,-60.90078
00068,45.71639
00069,26.28413
00070,73.69058
00071,39.03209
00072,-43.05777
00073,-16.85887
00074,5.04260
00075,-51.96940
00076,25.41966
00077,65.18332
00078,8.00602
00079,-42.47798
00080,-103.35521
00081,-24.72556
00082,142.70427
00083,15.23580
00084,-155.37155
00085,3.17956
00086,63.34769
00087,41.86696
00088,-29.54753
00089,-57.29845
00090,120.70805
00091,108.04643
00092,-111.41480
00093,-78.70105
00094,22.09923
00095,16.58182
00096,74.23346
00097,-66.31484
00098,4.43526
00099,49.80183
00100,-130.37521
00101,-28.68738
00102,60.74218
00103,15.19059
00104,-3.66228
00105,13.26467
00106,-14.16233
00107,15.42543
00108,5.60178
00109,13.46920
00110,19.10530
00111,-35.27113
00112,31.79352
00113,32.72578
00114,-29.58241
00115,-26.85911
00116,-8.38550
00117,-5.19318
00118,9.53026
00119,-6.50775
00120,-13.20545
00121,8.04413
00122,17.16010
00123,-21.13433
00124,-25.68948
00125,35.21955
00126,-17.28415
00127,-12.23559
00128,50.71820
00129,2.74721
00130,-1.85406
00131,-827.64929
00132,-188.92131
00133,-26.33441
00134,34.21767
00135,6.38077
00136,15.63510
00137,-15.90872
00138,-4.30556
00139,11.55040
00140,22.20573
00141,27.01904
00142,-17.99902
00143,-6.25429
00144,8.64894
00145,-39.30553
00146,-18.50974
00147,25.82194
00148,10.37201
00149,-7.21380
00150,24.35504
00151,5.94845
00152,-22.64498
00153,3.94257
00154,35.60440
00155,-17.33728
00156,-50.17598
00157,10.10889
00158,4.64986
00159,3.11972
00160,42.06771
00161,-3.08844
00162,-48.76400
00163,19.80564
00164,23.19263
00165,-30.84679
00166,19.35070
00167,42.03519
00168,-45.86724
00169,-70.80429
00170,74.83768
00171,36.68188
00172,-70.84180
00173,23.59744
00174,3.94291
00175,-11.45052
00176,50.59835
00177,-26.39098
00178,-38.55274
00179,77.32079
00180,11.46616
00181,-143.38541
00182,-49.03532
00183,108.88427
00184,77.67711
00185,-42.35843
00186,-20.72769
00187,66.32616
00188,-33.30460
00189,-29.64854
00190,1.34112
00191,-65.95557
00192,28.28141
00193,29.23998
00194,13.96045
00195,27.91105
00196,-11.98222
00197,32.66825
00198,6.27506
00199,-66.24896
00200,-59.09958
00201,50.12629
00202,39.43799
00203,-49.62765
00204,16.72538
00205,5.14553
00206,3.91821
00207,39.00301
00208,-17.93369
00209,10.62081
00210,-14.31037
00211,-47.36765
00212,12.37682
00213,8.75469
00214,-10.65149
00215,-28.22899
00216,52.32378
00217,70.56653
00218,-64.43942
00219,-6.12640
00220,22.32226
00221,-62.45948
00222,-33.61771
00223,5.95103
00224,59.54081
00225,65.52120
00226,22.23944
00227,-16.54119
00228,-113.36147
00229,-16.32970
00230,84.74602
00231,-24.79974
00232,-15.86419
00233,2.12694
00234,20.58927
00235,30.27523
00236,-38.45685
00237,-12.25073
00238,12.83961
00239,-14.20781
00240,-10.99060
00241,21.08874
00242,31.36996
00243,0.00884
00244,-1.63137
00245,3.29587
00246,-40.07476
00247,-14.11121
00248,56.35363
00249,-1.60697
